Compound name (unique),Compound name(synonyms),HMDB,KEGG,HMT ID,InChIKey
1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide,1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide;5-Aminoimidazole-4-carboxamide ribotide;AICA ribonucleotide;aminoimidazole carboxamide ribonucleotide,HMDB0001517,C04677,M00205,
"N6-(1,2-dicarboxyethyl)-AMP","N6-(1,2-dicarboxyethyl)-AMP;Adenylsuccinic acid;N(6)-(1,2-dicarboxyethyl)-AMP;Adenylosuccinic acid;adenylosuccinate;Succinyladenosine monophosphoric acid;Succinyl AMP;adenyl-Succinic acid;6-Succino-5'-adenylate;6-Succino-5'-adenylic acid;Succinyladenosine monophosphorate;Succinyladenosine 5'-monophosphate;D-ribofuranosyl)-9H-purin-6-yl];N-(1,2-Dicarboxyethyl)adenosine 5'-phosphoric acid;Aspartyl adenylate",HMDB0000536,C03794,M00161,
3-Sulfino-L-alanine,3-Sulfino-L-alanine;cysteine sulfinic acid;L-Cysteinesulfinic acid;3-Sulphino-L-alanine;3-Sulfinoalanine;Cysteine sulfinate;Cysteinesulfinic acid,HMDB0000996,C00606,M00259,
GMP,GMP;guanosine 5'-monophosphate;5'-GMP;guanosine 5'- monophosphate (5'-GMP);guanosine 5'- monophosphate,HMDB0001397,C00144,M00078,
"beta-D-Fructose 1,6-bisphosphate","beta-D-Fructose 1,6-bisphosphate;D-Fructose-1,6-bisphosphate;Fructose 1,6-diphosphate;Fructose-1,6-diphosphate;D-Fructose 1,6-biphosphate;Fructose 1,6-bisphosphate;fructose-1,6-diphosphate;fructose bisphosphate;F1,6P;fructose-1,6-bisphosphate;D-Fructose 1,6-bisphosphate;fructose-1,6DP",HMDB0001058,C05378,M00071,
Sarcosine,Sarcosine;N-Methylglycine;Methylglycine;Sarcosinic acid;,HMDB0000271,C00213,M00136,
Tiglic acid,Tiglic acid;Tiglate,HMDB0001470,C08279,M01234,
glucose 6-phosphate,glucose 6-phosphate;glucose-6-phosphate;G6P;glucose-6;beta-D-Glucose 6-phosphate;D-Glucose 6-phosphate;glucose-6-phosphate (G6P),HMDB0001401,C00092,M00068,
thiamin,thiamin;Thiamine;Vitamin B1;thiamin (Vitamin B1),HMDB0000235,C00378,M00846,
Glycerone phosphate,Glycerone phosphate;dihydroxyacetone phosphate;Dihydroxyacetone phosphate;3-Hydroxy-2-oxopropyl phosphate;DHAP;dihydroxyacetone-phosphate;dihydroxy-acetone-phosphate,HMDB0001473,C00111,M00058,
UTP,UTP;uridine 5'-triphosphate;Uridine triphosphate,HMDB0000285,C00075,M00087,
D-Glyceraldehyde 3-phosphate,D-Glyceraldehyde 3-phosphate;Glyceraldehyde 3-phosphate;G3H;(2R)-2-Hydroxy-3-(phosphonooxy)-propanal;D-glyceraldehdye-3-phosphate;DL-Glyceraldehyde 3-phosphate,HMDB0001112,C00118,M00144,
GTP,GTP;guanosine 5'-triphosphate;Guanosine triphosphate,HMDB0001273,C00044,M00090,
Dodecanedioic acid,"Dodecanedioic acid;1,12-Dodecanedioate;DODECANEDIOIC ACID;1,12-Dodecanedioic acid;1,10-Decanedicarboxylic acid;Decamethylenedicarboxylic acid;1,10-Dicarboxydecane;n-Dodecanedioic acid;n-Dodecanedioate;dodecane dioic acid;n-Dodecane-a,w-dioate;1,10-dicarboxy decane;ACMC-1BHHD;Decamethylenedicarboxylate;1,10-Decanedicarboxylate;n-Dodecane-a,w-dioic acid;1, 10-Decanedicarboxylic acid;Decane-1,10-dicarboxylic acid;Dodecanedioate",HMDB0000623,C02678,M00342,
glycerophosphorylcholine,glycerophosphorylcholine;Glycerophosphocholine;GPC;Glycerophosphocholine;sn-glycero-3-phosphocholine,HMDB0000086,C00670,M00459,
"Ribulose-1,5 diphosphate","Ribulose-1,5 diphosphate;D-ribulose-1,5-bisphosphate;RuBP;D-Ribulose-1,5-bisphosphoric acid;Ribulose 1,5-bisphosphate;Ribulose 1,5-diphosphate",NA,C01182,M00773,
6-Phospho-D-gluconate,6-Phospho-D-gluconate;6-phosphogluconate;6-Phosphogluconic acid;6-phospho-D-gluconic acid;6-O-phosphono-D-gluconic acid;gluconic acid-6-phosphate,HMDB0001316,C00345,M00069,
S-Adenosyl-L-methionine,S-Adenosyl-L-methionine;S-adenosylmethionine;SAM;S-adenosylmethionine (SAM);SAM+,HMDB0001185,C00019,M00046,
glycerol 3-phosphate,glycerol 3-phosphate;Glycerol 3-phosphate;alpha-glycerophosphate;Glycerophosphoric acid;Glycerol-3-phosphate;G3P;glycerol-3P;sn-Glycero-3-phosphate;Glycerol 1-phosphate;D-(glycerol-1-phosphate);sn-glycerol-3-phosphate;Glycerol-3-phosphate;Glycerol-3-phosphate,HMDB0000126,C00093,M00059,
beta-hydroxyisovalerate,beta-hydroxyisovalerate;3-hydroxyisovaleric acid;3-Hydroxyisovalerate,HMDB0000754,C20827,M03034,
Phenylpropanoate,Phenylpropanoate;3-Phenylpropionic acid;3-phenylpropionate;3-Phenylpropanoate;Hydrocinnamate;3-Phenyl-propionic acid;3-Phenylpropanoic acid;Hydrocinnamic acid,HMDB0000764,C05629,M00741,
D-Fructose 6-phosphate,D-Fructose 6-phosphate;Fructose 6-phosphate;fructose-6-phosphate;fructose-6P;fructose-6-P;D-fructose-6P;fructose -6P;F6P;Beta-D-Fructose 6-phosphate,HMDB0000124,C00085,M00067,
L-aspartate,"L-aspartate;aspartate;aspartic acid;H-Asp-OH;Asparagic acid;L-Aminosuccinic acid;(S)-2-Aminosuccinic acid;(2S)-2-aminobutanedioic acid;Aspatofort;L-Asparagic acid;Asparaginic acid;L-Asparaginic acid;(S)-Aspartic acid;(2S)-Aspartic acid;(S)-Aminobutanedioic acid;L-Aspartinsaeure;L-Asparaginsaeure;L-Asparaginsyra;Aspartic acid, L-;Acidum asparticum;L-(+)-Aspartic acid;L-Asp;L-2-Aminobutanedioic acid;Aspartate, L-;Asparaginsaeure [German];Aminosuccinic acid;Butanedioic acid, amino-, (S)-;Aspartic acid (VAN);Asparagic acid (VAN);Asparaginic acid (VAN);Acide aspartique [INN-French];Acido aspartico [INN-Spanish];(L)-ASPARTIC ACID;(+)-Aspartic acid;(S)-(+)-Aminosuccinic acid;FEMA No. 3565;CCRIS 6181;Acidum asparticum [INN-Latin];HSDB 1430;L( )-Aminobernsteinsaeure;AI3-04461;NSC 3973;25608-40-6;Aspartic Acid [USAN:INN];MFCD00002616;BRN 1723530;Beta-L-Aspartic Acid;Calcium diaspartate;EINECS 200-291-6;(S)-(+)-Aspartic acid;(S)-2-aminobutanedioic acid;Calcium dihydrogen di-L-aspartate;CHEMBL274323;asp;CHEBI:17053;UNII-Z4FZM6CA61;CKLJMWTZIZZHCS-REOHCLBHSA-N;6899/3/2;(S)-Aspartate;(+)-Aspartate;L-Aspartic acid-13C4;1-Amino-1,2-carboxyethane;39162-75-9;(S)-Aminobutanedioate;(2S)-2-azanylbutanedioic acid;l(+)-aspartic acid;L(+)-Aspartic acid, 98+%;Asparaginsaeure;Polysuccinimide;Acido aspartico;Z4FZM6CA61;Acide aspartique;Polyaspartic acid;L-Aspartic acid homopolymer;L-Aspartic acid, homopolymer;Poly-DL-succinimide;4-04-00-02998 (Beilstein Handbook Reference);L(+)-Aminobernsteinsaeure;Aminosuccinate;Asparagate;Asparatate;L-Asparagate;L-Aminosuccinate;Aspartic acid [USAN:USP:INN];(L)-Aspartate;L- Aspartic acid;alpha-Aminosuccinate;(2S)-Aspartate;EINECS 254-327-0;L-(+)-Aspartate;[3H]-L-aspartate;L-[14C]aspartate;L-Aspartic acid, 2;[3H]L-aspartic acid;(R)-2-aminosuccinate;(S)-2-aminosuccinate;Tocris-0214;[3h]-l-asp;(S)-amino-Butanedioate;alpha-Aminosuccinic acid;(S)-Aminosuccinic Acid;(S)-(+)-Aspartate;[3H]-L-aspartic acid;L-Aspartic acid (9CI);2-Amino-3-methylsuccinate;Biomol-NT_000168;bmse000031;bmse000875;Aspartic acid (USP/INN);EC 200-291-6;AC1L1LI6;L-Aspartic acid (JP17);SCHEMBL3231;(S)-amino-Butanedioic acid;L-Aspartic acid, >=98%;L-Aspartic acid, 99.0%;Lopac0_000133;Aspartic acid, L- (8CI);KSC269K5J;DL-Aspartic acid, homopolymer;L-Aspartic acid (H-Asp-OH);AC1Q4U77;BPBio1_001128;GTPL3309;GTPL4534;DTXSID7022621;aspartic acid (L-aspartic acid);BDBM18125;CTK1G9554;L-Aspartic acid, >=98%, FG;HMS3260K08;ZINC895032;.alpha.-Aminosuccinic acid, (L)-;Tox21_500133;ANW-32591;PDSP1_000819;PDSP2_000806;AKOS006239578;AKOS015853957;AM81585;CCG-204228;DB00128;LP00133;LS-2569;MCULE-6700641640;RP16381;RP20039;RTC-066533;L-Aspartic acid (H-Asp-OH) USP grade;NCGC00024499-01;NCGC00024499-02;NCGC00024499-03;NCGC00024499-04;NCGC00024499-05;NCGC00024499-06;NCGC00260818-01;27881-03-4;AJ-24135;AN-23565;BP-13291;SC-05405;SC-91380;TL806193;L-Aspartic acid, Vetec(TM) reagent grade;AB1002629;DB-029944;ST2414603;TC-066533;A0546;EU-0100133;FT-0627708;FT-0655880;FT-0693446;L-Aspartic acid, BioXtra, >=99% (HPLC);V1940;L-Aspartic acid, BioUltra, >=99.5% (T);A 9256;C-4546;C00049;D00013;M03000;L-Aspartic acid, SAJ special grade, >=99.0%;A817928;A824434;L-Aspartic acid, reagent grade, >=98% (HPLC);SR-01000597734;I04-1073;I04-1122;I14-2732;SR-01000597734-3; (S)-Aminobutanedioic acid;F8889-8684;Z1270403519;A4B5FB11-A4B6-4D75-9860-2ACF670700B9;UNII-28XF4669EP component CKLJMWTZIZZHCS-REOHCLBHSA-N;UNII-30KYC7MIAI component CKLJMWTZIZZHCS-REOHCLBHSA-N;Aspartic acid, European Pharmacopoeia (EP) Reference Standard;L-Aspartic acid, certified reference material, TraceCERT(R);Aspartic acid, United States Pharmacopeia (USP) Reference Standard;L-Aspartic acid, BioReagent, suitable for cell culture, suitable for insect cell culture;L-Aspartic acid, Pharmaceutical Secondary Standard; Certified Reference Material;L-Aspartic acid, from non-animal source, meets EP, USP testing specifications, suitable for cell culture, 98.5-101.0%;L-Aspartic acid, PharmaGrade, Ajinomoto, EP, JP, USP, manufactured under appropriate GMP controls for Pharma or Biopharmaceutical production, suitable for cell culture;(S)-2-Aminobutanedioate;(2S)-2-aminobutanedioate;17090-93-6;L-aspartate(2-);AC1NUTDI;L-aspartic acid dianion;(2S)-2-aminosuccinate;CHEBI:29993;CTK4D3747;CKLJMWTZIZZHCS-REOHCLBHSA-L;L-Aspartic acid, sodiumsalt (1:?);LS-190242;(2S)-2-ammoniobutanedioate;(2S)-2-azaniumylbutanedioate;2nwl;L-aspartate(1-);hydrogen L-aspartate;AC1NUT1U;L-aspartic acid monoanion;(2S)-2-ammoniosuccinate;CHEBI:29991;2v25;CJ-04444;ZB014959;FT-0653860;FT-0657391;A831202;L-aspartic acid",HMDB0000191,C00049,M00020,
Á-glutamylmethionine,Á-glutamylmethionine;Á-Glu-Met;Á-L-glutamyl-L-methionine;L-Á-glutamyl-L-methionine,NA,NA,M03161,
