,条件1（ID）,data group name,data group,i,j,ip,jp,PMID (i),PMID (j),PID (i),PID (j),odds,odds(*_1),p_value,a_count,b_count,c_count,d_count,total,,iname,jname,sample sorce (i),sample sorce (j),plat from,plat form,Check,list,filter,a,b,c,d
11,38_774,[PID010-3]-[PID080-1],u,38,774,PID010,PID080,PMID26023239,PMID24928511,PID010-3,PID080-1,4.906890596,4.906890596,1.53E-05,18,3,4,20,45,"[PC9 PKI587 vs PC9 DMSO], [HCC827_ERLO vs HCC827_DMSO]",PC9 PKI587 vs PC9 DMSO,HCC827_ERLO vs HCC827_DMSO,Lung cancer (Non-small cell lung cancer),Lung cancer (Non-small cell lung cancer),CE-TOFMS,"CE-TOFMS (HMT, C-Scope)",1,o,2,Glycine|L-Serine|L-Proline|Val|L-Threonine|isoleucine|leucine|L-Ornithine|L-aspartate|L-Glutamine|lysine|L-Methionine|His|phenylalanine|L-Citrulline|L-Tyrosine|L-Tryptophan|L-Cystathionine,D-Glyceraldehyde 3-phosphate|Pyruvate|Argininosuccinic acid,5-Phospho-alpha-D-ribose 1-diphosphate|L-alanine|Creatine|S-Adenosyl-L-homocysteine,"NADH|glucose 6-phosphate|D-Fructose 6-phosphate|Ribose 5-phosphate|CoA|Ribulose-5-phosphate|Glycerone phosphate|beta-D-Fructose 1,6-bisphosphate|6-Phospho-D-gluconate|Carbamoylaspartate|2-phosphoglycerate|2,3-Bisphospho-D-glycerate|3-phosphoglycerate|Phosphoenolpyruvate|Lactate|2-hydroxyglutarate|Succinate|Malic acid|2-Oxoglutarate|Fumarate"
12,39_833,[PID010-4]-[PID081-A-45],u,39,833,PID010,PID081,PMID26023239,PMID29490947,PID010-4,PID081-A-45,4.787902559,4.787902559,0.000244455,13,2,4,17,36,"[HCC827 PKI587 vs HCC827 DMSO], [H446 Gedatolisib vs H446 DMSO]",HCC827 PKI587 vs HCC827 DMSO,H446 Gedatolisib vs H446 DMSO,Lung cancer (Non-small cell lung cancer),Small cell lung cancer,CE-TOFMS,CE-TOFMS,1,o,2,"N6-(1,2-dicarboxyethyl)-AMP|Choline|L-Proline|Val|L-Threonine|isoleucine|leucine|L-Asparagine|L-Ornithine|L-Glutamine|phenylalanine|L-Arginine|L-Citrulline",GMP|Glycine,Acetyl-CoA|Xanthosine 5'-phosphate|Isocitrate|Putrescine,"Urate|D-Glucose 1-phosphate|Ribose 5-phosphate|alpha-D-Ribose 1-phosphate|D-Glyceraldehyde 3-phosphate|6-Phospho-D-gluconate|Carbamoylaspartate|5-Phospho-alpha-D-ribose 1-diphosphate|2-phosphoglycerate|2,3-Bisphospho-D-glycerate|Lactate|Pyruvate|Succinate|Malic acid|2-Oxoglutarate|Fumarate|Citrate"
13,105_946,[PID018-3]-[PID106-D-2],u,105,946,PID018,PID106,PMID26886430,PMID34168290,PID018-3,PID106-D-2,4.764150423,4.764150423,0.01006825,12,11,0,12,35,"[L428 MN4 treated  vs  control], [A549 shP4HA3 2 vs A549 shLacZ]",L428 MN4 treated  vs  control,A549 shP4HA3 2 vs A549 shLacZ,Pancreatic adenocarcinoma,non-small cell lung cancers,"GC-MS, LC-MS",CE-TOFMS,1,s,2,His|lysine|L-Tyrosine|leucine|isoleucine|Val|Xanthine|Hypoxanthine|Inosine|Cytidine|Uridine|Uracil,Glycine|L-alanine|L-Tryptophan|Pyroglutamate|Phosphoenolpyruvate|Acetyl-CoA|carnitine|AMP|Adenine|GMP|CMP,,GSH|GSSG|glucose 6-phosphate|D-Glucose 1-phosphate|Citrate|Succinate|IMP|GTP|CTP|UTP|UDP|UDP-glucuronate
14,774_833,[PID080-1]-[PID081-A-45],u,774,833,PID080,PID081,PMID24928511,PMID29490947,PID080-1,PID081-A-45,4.607330314,4.607330314,0.000552424,13,4,2,15,34,"[HCC827_ERLO vs HCC827_DMSO], [H446 Gedatolisib vs H446 DMSO]",HCC827_ERLO vs HCC827_DMSO,H446 Gedatolisib vs H446 DMSO,Lung cancer (Non-small cell lung cancer),Small cell lung cancer,"CE-TOFMS (HMT, C-Scope)",CE-TOFMS,1,o,2,Choline|L-Proline|Val|L-Threonine|L-Cysteine|Creatine|isoleucine|leucine|L-Ornithine|L-Glutamine|carnitine|phenylalanine|L-Citrulline,"3',5'-Cyclic GMP|5-Phospho-alpha-D-ribose 1-diphosphate|AMP|Glycine",Putrescine|GSH,"glucose 6-phosphate|Ribose 5-phosphate|D-Glyceraldehyde 3-phosphate|Glycerone phosphate|beta-D-Fructose 1,6-bisphosphate|6-Phospho-D-gluconate|Carbamoylaspartate|2-phosphoglycerate|2,3-Bisphospho-D-glycerate|Lactate|Pyruvate|Succinate|Malic acid|2-Oxoglutarate|Fumarate"
15,504_948,[PID047-1]-[PID107-1],u,504,948,PID047,PID107,MTBLS745 (PMID30393775),PMID34646134,PID047-1,PID107-1,4.584962501,4.584962501,0.008193028,6,4,1,16,27,"[MB231_Arg 24h vs MB231_Ctrl], [MSTO 211H_Drug 1 vs MSTO 211H_Control 1]",MB231_Arg 24h vs MB231_Ctrl,MSTO 211H_Drug 1 vs MSTO 211H_Control 1,Breast cancer,Malignant pleural mesothelioma (MPM),LC-LTQ-MS,CE-TOFMS,1,?,2,L-alanine|Glycine|L-Serine|L-Asparagine|L-aspartate|L-Glutamine,CDP-choline|Choline|CDP|GMP,Creatine,Acetyl-CoA|Pyroglutamate|L-Arginine|L-Cystathionine|Creatinine|(S)-2-Aminobutanoate|acetylcarnitine|carnitine|3-phosphoglycerate|Glycerone phosphate|D-glucose|Lactate|Pyruvate|2-hydroxyglutarate|L-Citrulline|L-Ornithine
16,39_946,[PID010-4]-[PID106-D-2],u,39,946,PID010,PID106,PMID26023239,PMID34168290,PID010-4,PID106-D-2,4.491853096,4.491853096,0.0028314,10,8,1,18,37,"[HCC827 PKI587 vs HCC827 DMSO], [A549 shP4HA3 2 vs A549 shLacZ]",HCC827 PKI587 vs HCC827 DMSO,A549 shP4HA3 2 vs A549 shLacZ,Lung cancer (Non-small cell lung cancer),non-small cell lung cancers,CE-TOFMS,CE-TOFMS,1,?,2,Sarcosine|Choline|Val|isoleucine|leucine|L-Ornithine|lysine|His|L-Citrulline|L-Tyrosine,IMP|GMP|GDP|Glycine|L-alanine|Hydroxyproline|L-Tryptophan|L-Cystathionine,Ribose 5-phosphate,UDP-glucose|Urate|NADP+|D-Fructose 6-phosphate|D-Glucose 1-phosphate|Acetyl-CoA|6-Phospho-D-gluconate|2-phosphoglycerate|3-phosphoglycerate|Phosphoenolpyruvate|Lactate|2-hydroxyglutarate|Succinate|Malic acid|Fumarate|Citrate|cis-Aconitate|Isocitrate
17,38_789,[PID010-3]-[PID081-A-1],u,38,789,PID010,PID081,PMID26023239,PMID29490947,PID010-3,PID081-A-1,4.362134417,4.362134417,0.032821692,21,0,11,5,37,"[PC9 PKI587 vs PC9 DMSO], [DMS114 Gedatolisib vs DMS114 DMSO]",PC9 PKI587 vs PC9 DMSO,DMS114 Gedatolisib vs DMS114 DMSO,Lung cancer (Non-small cell lung cancer),Small cell lung cancer,CE-TOFMS,CE-TOFMS,1,o,2,Glycine|L-Serine|L-Proline|Val|L-Threonine|Hydroxyproline|isoleucine|leucine|L-Asparagine|L-Ornithine|L-aspartate|L-Glutamine|lysine|L-Methionine|His|phenylalanine|L-Arginine|L-Citrulline|L-Tyrosine|L-Tryptophan|Argininosuccinic acid,,"glucose 6-phosphate|D-Fructose 6-phosphate|Ribose 5-phosphate|Phosphocreatine|Glycerone phosphate|beta-D-Fructose 1,6-bisphosphate|3-phosphoglycerate|Malic acid|Fumarate|L-alanine|Creatinine",Carbamoylaspartate|5-Phospho-alpha-D-ribose 1-diphosphate|2-hydroxyglutarate|2-Oxoglutarate|Creatine
18,936_957,[PID105-E-1]-[PID107-10],u,936,957,PID105,PID107,PMID33596851,PMID34646134,PID105-E-1,PID107-10,5.691161905,5.691161905,0.002535797,15,4,0,7,26,"[Gln  vs Gln   changed under glutamine starvation in A2780cis cells ], [MSTO 211H_Drug 1 vs TCC MESO 2_Control 3]",Gln  vs Gln   changed under glutamine starvation in A2780cis cells ,MSTO 211H_Drug 1 vs TCC MESO 2_Control 3,ovarian cancer,Malignant pleural mesothelioma (MPM),CE-TOFMS,CE-TOFMS,1,保留,2,L-Serine|lysine|CDP|Glycine|L-Arginine|GDP|L-Threonine|phenylalanine|AMP|ADP|L-Methionine|S-Adenosyl-L-methionine|L-Tyrosine|GSSG|L-Asparagine,"beta-D-Fructose 1,6-bisphosphate|Taurine|2-hydroxyglutarate|D-Glucose 1-phosphate",,Citrate|beta-Alanine|GSH|cis-Aconitate|Fumarate|Malic acid|L-Glutamate
19,936_966,[PID105-E-1]-[PID107-19],u,936,966,PID105,PID107,PMID33596851,PMID34646134,PID105-E-1,PID107-19,5.56139403,5.56139403,0.003906447,12,4,0,8,24,"[Gln  vs Gln   changed under glutamine starvation in A2780cis cells ], [MSTO 211H_R_Drug 2 vs TCC MESO 2_Control 3]",Gln  vs Gln   changed under glutamine starvation in A2780cis cells ,MSTO 211H_R_Drug 2 vs TCC MESO 2_Control 3,ovarian cancer,Malignant pleural mesothelioma (MPM),CE-TOFMS,CE-TOFMS,1,保留,2,L-Serine|CDP|Glycine|GDP|L-Threonine|phenylalanine|Val|ADP|L-Methionine|L-Tyrosine|GSSG|L-Asparagine,"beta-D-Fructose 1,6-bisphosphate|Taurine|2-hydroxyglutarate|D-Glucose 1-phosphate",,Citrate|beta-Alanine|cis-Aconitate|Fumarate|Malic acid|L-Glutamate|L-aspartate|L-alanine
20,836_892,[PID081-C-1]-[PID099-A-1],d,836,892,PID081,PID099,PMID29490947,PMID30996345,PID081-C-1,PID099-A-1,-5.888385127,5.888385127,0.000252584,8,26,9,0,43,"[Tumor vs Non tumor], [LLGL2 KD vs shGFP]",Tumor vs Non tumor,LLGL2 KD vs shGFP,Small cell lung cancer,breast cancer,CE-TOFMS,LC?MS/MS,1,o,2,"Putrescine|Guanine|lysine|glycerol 3-phosphate|GSSG|Urate|beta-D-Fructose 1,6-bisphosphate|Guanosine","Argininosuccinic acid|L-Homoserine|Xanthosine 5'-phosphate|L-Proline|S-Adenosyl-L-methionine|L-Cysteine|N6-(1,2-dicarboxyethyl)-AMP|S-Adenosyl-L-homocysteine|L-alanine|CoA|Hypoxanthine|N,N-Dimethylglycine|GMP|L-Asparagine|His|Val|L-Ornithine|GDP|phenylalanine|Hydroxyproline|L-Tyrosine|Spermidine|L-Tryptophan|Glycine|IMP|L-Arginine","glucose 6-phosphate|3',5'-Cyclic AMP|Acetyl-CoA|ATP|3-phosphoglycerate|Phosphocreatine|2,3-Bisphospho-D-glycerate|Isocitrate|Phosphoenolpyruvate",
