,Stage II Colorectal Cancer_female vs Healthy Control_female,Stage III Colorectal Cancer_female vs Healthy Control_female,Stage IV Colorectal Cancer_chemotherapy_female vs Healthy Control_female,Stage IV Colorectal Cancer_female vs Healthy Control_female,Stage III Colorectal Cancer_female vs Stage II Colorectal Cancer_female,Stage IV Colorectal Cancer_chemotherapy_female vs Stage II Colorectal Cancer_female,Stage IV Colorectal Cancer_female vs Stage II Colorectal Cancer_female,Stage IV Colorectal Cancer_chemotherapy_female vs Stage III Colorectal Cancer_female,Stage IV Colorectal Cancer_female vs Stage III Colorectal Cancer_female,Stage IV Colorectal Cancer_female vs Stage IV Colorectal Cancer_chemotherapy_female,Stage II Colorectal Cancer_male vs Healthy Control_male,Stage III Colorectal Cancer_male vs Healthy Control_male,Stage IV Colorectal Cancer_chemotherapy and radiation therapy_male vs Healthy Control_male,Stage IV Colorectal Cancer_male vs Healthy Control_male,Stage III Colorectal Cancer_male vs Stage II Colorectal Cancer_male,Stage IV Colorectal Cancer_chemotherapy and radiation therapy_male vs Stage II Colorectal Cancer_male,Stage IV Colorectal Cancer_male vs Stage II Colorectal Cancer_male,Stage IV Colorectal Cancer_chemotherapy and radiation therapy_male vs Stage III Colorectal Cancer_male,Stage IV Colorectal Cancer_male vs Stage III Colorectal Cancer_male,Stage IV Colorectal Cancer_male vs Stage IV Colorectal Cancer_chemotherapy and radiation therapy_male
heneicosanoic acid,0.357833725,0.376475617,0.372805175,0.268468766,1.052096519,1.041839126,0.750261216,0.990250521,0.713110635,0.720131542,1.130616398,0.695469162,1.199099125,1.268742861,0.615123894,1.060571143,1.122169167,1.724158584,1.824297799,1.058080049
"cis-8,11,14 eicosatrienoic acid",11.81945964,11.25587286,17.74426249,8.421249765,0.952317044,1.501275273,0.712490251,1.576444822,0.748164969,0.474590013,1.293376703,1.21483385,1.122209513,1.640209307,0.939273026,0.867658672,1.268160547,0.923755551,1.35015114,1.461589203
unknown_01,51.0663942,64.94326735,76.18635488,38.77850349,1.271741786,1.49190786,0.759374224,1.17312168,0.597113528,0.508995391,1.356896509,0.87013655,1.033797888,1.566422032,0.641269651,0.761884109,1.154415257,1.188086959,1.800202545,1.515211097
"cis-11,14,17 eicosatrienoic acid",0.856729435,0.733051668,1.514312854,0.555929035,0.855639643,1.767550865,0.648896853,2.065765513,0.758376331,0.367116368,1.313478846,0.703425755,1.177343449,1.357177732,0.53554403,0.89635509,1.033269577,1.673728096,1.929383055,1.152745813
docosanoic acid,8.678554141,9.742272777,12.24910534,4.824402874,1.122568647,1.411422357,0.555899381,1.257314963,0.495203017,0.393857571,1.287840455,1.007260358,0.99958687,1.649149783,0.782131322,0.776172907,1.280554417,0.992381823,1.637262671,1.649831379
unknown_02,0.549889047,0.83752839,0.8455914,0.281295188,1.523086148,1.537749123,0.511548993,1.009627148,0.335863466,0.332660891,0.475801419,0.376259129,0.909053875,1.795167022,0.790790263,1.910574117,3.772933312,2.416031415,4.771092274,1.974764171
erucic acid,16.30102882,10.00888167,21.97126943,9.032468873,0.614003066,1.347845567,0.554104221,2.195177259,0.902445365,0.411103641,1.855147792,1.270907565,1.051203992,1.628386218,0.685070791,0.566641643,0.877766303,0.827128598,1.281278248,1.549067765
"cis-13,16 docosadienoic acid",0.215594601,0.109050434,0.140082977,0.108953437,0.505812451,0.649751784,0.50536255,1.284570561,0.999110539,0.777777858,1.205336584,0.736962466,1.568201774,0.925212284,0.611416326,1.301048847,0.767596617,2.127926245,1.25544017,0.589982934
tricosanoic acid,3.443903085,4.223716141,4.341575762,2.386489411,1.226432927,1.260655615,0.692960676,1.027904247,0.565021259,0.549682775,0.807106662,0.872164622,1.215285984,1.410802417,1.080606397,1.505731574,1.747975186,1.39341353,1.617587302,1.160881007
lignoceric acid,2.910282482,3.786393519,5.195845362,1.684930897,1.301039862,1.785340562,0.578957853,1.372241246,0.444996245,0.324284265,0.044609746,0.752290623,1.261574972,2.265663004,16.86381755,28.28025435,50.78852027,1.676978197,3.011685824,1.795900406
nervonic acid,1.22486586,1.673990316,1.90988389,0.729744519,1.36667236,1.559259632,0.59577505,1.140916929,0.435931147,0.38208842,0.195395354,0.854926775,1.340807002,1.990936884,4.375369002,6.862020894,10.18927443,1.56832964,2.328780594,1.48487954
