,CTD_MYC vs CTD_WT,HFD_WT vs CTD_WT,HFD_MYC vs CTD_WT,HFD_WT vs CTD_MYC,HFD_MYC vs CTD_MYC,HFD_MYC vs HFD_WT
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),0.790946447,0.85141125,0.083269,1.07644614,1.178527628,1.094831951
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1),1.096163048,0.581853686,0.064196831,0.530809433,1.017212699,1.916342542
1-palmitoyl-GPA (16:0),1.249794605,1.133219385,0.360497082,0.906724497,1.014963247,1.11937336
1-palmitoyl-GPC (16:0),1.932353296,2.878515484,3.684211176,1.489642443,1.586396119,1.064950939
1-palmitoyl-GPE (16:0),3.31021966,1.666800117,0.307164263,0.503531575,1.078194543,2.141265012
1-palmitoyl-GPG (16:0),18.18403756,2.016338028,0.537285167,0.110885056,1.113523701,10.04214399
1-palmitoyl-GPI (16:0),1.695044002,1.893307087,0.351941845,1.116966335,1.492102962,1.335853119
1-palmitoyl-GPS (16:0),13.80241862,3.255319149,1.69954522,0.235851356,1.161265884,4.923719345
1-palmitoylglycerol (16:0),1.735267427,1.374563454,0.624963807,0.792133496,1.531860609,1.933841476
1-pentadecanoyl-GPC (15:0),1.205707754,1.407912688,0.403835809,1.167706422,0.872767584,0.747420386
1-pentadecanoylglycerol (15:0),2.156903548,2.42021295,0.921256363,1.122077504,1.08683068,0.968587888
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),0.647884786,1.014166112,0.153192833,1.565349479,1.238142102,0.790968483
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),0.614888149,1.427399651,0.405728489,2.32139724,1.533062926,0.660405251
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),1.002900307,0.848784449,0.131256473,0.846329833,1.135778826,1.342004951
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),0.520068992,0.819062375,0.156432448,1.574910999,1.053456998,0.668899385
1-stearoyl-2-oleoyl-GPC (18:0/18:1),0.632782263,0.925964373,0.206973985,1.463322262,1.332124919,0.910342823
1-stearoyl-2-oleoyl-GPS (18:0/18:1),0.652653979,0.913777172,0.282792523,1.400094385,1.188384864,0.848789108
1-stearoyl-GPC (18:0),1.717579164,4.102852308,4.915510374,2.388741314,2.228111531,0.932755472
1-stearoyl-GPE (18:0),4.907793679,2.432072859,0.532385515,0.495553199,1.228582668,2.479214482
1-stearoyl-GPI (18:0),3.124927058,2.64179963,0.549753801,0.845395614,2.030344662,2.401650337
1-stearoyl-GPS (18:0),29.97055556,2.687936508,1.457257968,0.089685909,1.126187343,12.55701547
10-heptadecenoate (17:1n7),1.409990671,1.554131343,0.566717224,1.102228104,1.555429295,1.411168241
10-nonadecenoate (19:1n9),1.907250633,2.41856715,1.432690247,1.268090889,1.619627085,1.277216878
13-HODE + 9-HODE,0.663536507,1.332321757,0.647530646,2.007910255,2.117560765,1.054609269
2'-deoxycytidine,6.372884503,1.421229243,0.508691756,0.223011925,1.884694097,8.451091099
2'-deoxyguanosine,0.773879858,0.668870867,0.381707925,0.864308407,1.779814121,2.059234998
2'-deoxyinosine,N.A.,N.A.,N.A.,N.A.,2.183654789,N.A.
2'-deoxyuridine,1.658935804,0.816997725,0.389938499,0.492483026,1.450700692,2.945686684
2-aminoadipate,0.340322728,1.060017625,0.472776587,3.114742388,1.181206655,0.379230931
2-arachidonoylglycerol (20:4),2.189364706,1.875105882,1.675372018,0.856461181,1.203765798,1.405511218
2-docosahexaenoylglcyerol,2.598815495,1.198200121,0.363142786,0.461056248,1.794197959,3.891494731
2-hydroxy-3-methylvalerate,0.803053008,1.082339307,0.240092333,1.347780653,1.279359076,0.949233893
2-hydroxybutyrate/2-hydroxyisobutyrate,1.930232558,1.059628157,0.247004664,0.548963985,1.182276105,2.153649671
2-hydroxyglutarate,1.075095222,0.873030644,0.217954319,0.812049599,1.374129393,1.692174215
2-hydroxypalmitate,1.295726837,2.420147764,1.271883177,1.867791647,1.002142087,0.536538477
2-hydroxystearate,1.332202993,2.208536015,1.340241629,1.657807426,1.534573861,0.925664729
2-linoleoylglycerol (18:2),2.920115655,1.82094176,0.216072877,0.623585493,2.235204255,3.584439152
2-methylbutyrylcarnitine (C5),2.352345366,1.539246099,0.176273675,0.654345285,1.560816008,2.385309475
2-methylbutyrylglycine,1.402422098,0.550052161,0.492852646,0.39221584,0.518294458,1.321452132
2-oleoylglycerol (18:1),1.56731379,1.053168138,0.387603879,0.671957425,2.417191852,3.597239591
2-palmitoleoylglycerol (16:1),2.84489917,0.930061289,0.473690124,0.326922409,1.139708352,3.48617385
2-palmitoyl-GPC (16:0),1.479476308,1.66985044,0.348862002,1.128676702,1.393698432,1.234807478
2-palmitoylglycerol (16:0),1.329533226,1.103448442,0.509745324,0.829951761,1.714990334,2.066373512
2-stearoyl-GPC (18:0),2.170723817,6.954357056,6.852444254,3.203704221,1.867385716,0.582883309
2-stearoyl-GPE (18:0),5.740607944,2.524899406,0.531471438,0.439831361,1.239494778,2.818113684
3-(4-hydroxyphenyl)lactate,0.717798132,0.679885057,0.373102964,0.947181425,0.834988866,0.881551141
3-hydroxy-3-methylglutarate,0.90492964,0.947896365,0.170891201,1.047480735,1.304129619,1.245015374
3-hydroxybutyrate (BHBA),0.928176796,1.176855201,0.504766677,1.267921377,1.939319973,1.529526994
3-hydroxyisobutyrate,0.954051167,1.012526355,0.127043651,1.061291459,1.744804316,1.644038781
3-indoxyl sulfate,0.73984452,0.336376328,0.259967023,0.454658132,0.269979281,0.593807218
3-methyl-2-oxovalerate,1.012927369,1.118028387,0.571553141,1.103759679,1.731846876,1.569043433
3-phosphoglycerate,0.376725738,1.314520319,0.397652137,3.489329738,1.421109018,0.407272779
3-ureidopropionate,1.431008005,0.690993599,0.148705845,0.482871931,0.930528515,1.927071041
4-hydroxyphenylpyruvate,1.374238133,0.303911295,0.240670786,0.221148932,0.241393524,1.091542799
4-methyl-2-oxopentanoate,0.6535863,0.720279624,0.064172529,1.102042108,1.944823003,1.764744731
4-vinylphenol sulfate,2.40170808,0.531541052,0.656145902,0.221317927,0.114366079,0.516750182
"5,6-dihydrouracil",0.989778064,1.170476103,0.157442536,1.182564198,1.267789356,1.072068103
5-methyl-2'-deoxycytidine,4.791243512,1.005040247,0.155744822,0.209766054,2.472266709,11.78582834
5-methylcytidine,2.036057084,0.928984118,0.200698568,0.456266244,1.953315789,4.281087665
5-methyltetrahydrofolate (5MeTHF),1.203648782,2.806484228,1.555208565,2.331647129,1.277995968,0.548108653
5-methylthioadenosine (MTA),0.718898895,1.240982943,0.371628918,1.726227362,1.779745829,1.031003139
5-oxoproline,1.668565058,1.411385503,0.29390258,0.845867829,1.949077705,2.304234349
7-methylguanine,3.155264305,0.559617214,0.20690265,0.177359853,0.874193498,4.928925474
acetylcarnitine,0.858058118,1.118565627,0.090526322,1.30360124,1.165513952,0.894072448
acetylcholine,0.591768089,1.097635187,0.254982081,1.854840109,1.438994229,0.775804999
adenine,0.346293024,1.050576454,0.146272579,3.033778858,1.921409478,0.633338674
adenosine,0.755442931,0.948715859,0.388943529,1.255840542,1.094548828,0.871566724
adenosine 2'-monophosphate (2'-AMP),0.797519562,0.917356066,0.609285841,1.150261523,1.424053077,1.238025483
"adenosine 3',5'-cyclic monophosphate (cAMP)",1.408258365,1.274173193,0.477043958,0.904786525,1.513442713,1.672706955
adenosine 3'-monophosphate (3'-AMP),1.100554467,0.929689163,0.275679273,0.844746163,1.067340444,1.263504341
adenosine 5'-diphosphate (ADP),1.029549985,1.02745486,0.454394936,0.997965009,1.590599474,1.59384293
adenosine 5'-diphosphoribose (ADP-ribose),0.760277031,0.963098935,0.260747412,1.266773684,0.824674053,0.651003462
adenosine 5'-monophosphate (AMP),0.789765215,0.926145636,0.49067382,1.172684766,1.554253394,1.325380391
adenylosuccinate,0.279308725,0.441060813,0.211240865,1.579115776,4.055949682,2.568494182
adrenate (22:4n6),6.311369429,4.278212221,3.466886651,0.677857994,1.513340753,2.232533608
alanine,1.288067801,1.307547619,0.16859457,1.015123286,1.659163771,1.634445584
alanylleucine,6.269976483,2.337183172,0.903773161,0.372757885,0.871274255,2.337373105
allantoin,1.451779108,0.616266682,0.144402533,0.424490667,0.833958186,1.964609002
alpha-hydroxyisovalerate,0.745227292,0.662761261,0.197462982,0.889341101,0.96716173,1.087503691
alpha-hydroxyisovaleroyl carnitine,0.8512786,0.974235724,0.278504137,1.144438171,0.810017881,0.707786494
alpha-ketoglutarate,2.514542385,0.907222959,0.170790122,0.360790482,1.181752353,3.27545324
anserine,0.627636052,1.212072942,0.308011722,1.931171635,1.05954771,0.548655381
arabitol/xylitol,0.807899527,1.084983618,0.24023817,1.342968504,1.064907854,0.792950729
arabonate/xylonate,0.841422338,1.092551481,0.245969872,1.298457899,1.271027612,0.97887472
arachidonate (20:4n6),2.343874189,2.506640399,1.520819329,1.069443237,1.795307654,1.678731131
arginine,1.2408205,1.367799709,0.271956355,1.102334873,1.69364465,1.53641574
ascorbate (Vitamin C),0.725668494,1.025618668,0.34498947,1.413343251,1.51707959,1.073397838
asparagine,1.945087292,1.231628096,0.26441841,0.633199395,1.841308772,2.907944618
aspartate,1.698418088,1.15661327,0.259534435,0.680994437,1.054990415,1.549190944
azelate (nonanedioate),1.755700509,0.951031073,0.334967784,0.541681835,1.191438789,2.19951771
benzoate,0.790619663,1.150082337,0.39598374,1.454659415,1.089311888,0.748843252
beta-hydroxyisovalerate,1.130186061,1.04748814,0.271256342,0.926828048,1.442351646,1.556223562
beta-hydroxyisovaleroylcarnitine,0.764093559,0.845922596,0.064647241,1.107092955,0.946738491,0.855157182
betaine,1.510520069,1.080545965,0.135630152,0.715346977,0.863685608,1.207365986
betaine aldehyde,0.737347827,1.259795901,0.530984301,1.708550368,1.048496587,0.613676136
biopterin,1.107981819,1.023607748,0.319021069,0.923848867,0.983376145,1.064434
butyrylcarnitine,1.274183045,1.016865096,0.141927605,0.798052603,1.396713277,1.750151896
butyrylglycine,1.089497027,0.365529723,0.222878471,0.335503185,0.570453259,1.700291634
C-glycosyltryptophan,1.418929528,1.20243373,0.285496025,0.84742315,1.170216921,1.380912146
carnitine,1.14027896,1.365896024,0.223603505,1.197861288,1.111749204,0.928111806
carnosine,0.556913649,1.401377129,0.484376718,2.516327496,1.226751065,0.487516457
choline,0.743664012,0.959528382,0.070615765,1.290271369,1.103975276,0.855614798
choline phosphate,0.854702208,1.02834521,0.129163133,1.20316199,1.166025074,0.969133901
cis-4-decenoyl carnitine,1.437528604,2.708592075,1.019345349,1.884200473,1.069605724,0.567670871
citrate,1.251305586,0.987780616,0.182055187,0.789399989,0.905725487,1.147359387
citrulline,0.82438777,1.439124765,0.307970556,1.745689125,1.755198538,1.005447369
coenzyme A,1.45677423,1.477552733,0.414368687,1.014263365,1.130275121,1.114380308
creatine,0.722009507,1.225052254,0.161067849,1.696725931,1.278014039,0.753223615
creatine phosphate,0.469436819,0.747018334,0.376680379,1.591307505,0.864516291,0.543274187
creatinine,0.843637266,1.029470711,0.270054128,1.220276477,0.818140682,0.670455178
cyclo(his-pro),0.129086357,1.293874463,0.598148465,10.02332467,0.689709348,0.068810437
"cys-gly, oxidized",5.528687515,2.263317738,1.200031221,0.409377041,0.885548429,2.163160949
cystathionine,0.753408523,0.952604043,0.429992917,1.264392443,1.80622806,1.428534368
cysteine,1.892583454,1.068421259,0.639671371,0.564530593,1.698434159,3.008577713
cysteine-glutathione disulfide,0.864611079,1.148134772,0.293761922,1.327920496,1.686873434,1.27031207
cysteinylglycine,1.223021381,0.990064928,0.498667176,0.80952381,0.975706124,1.205284036
cystine,2.41363772,1.572993136,1.690925428,0.651710538,1.268147031,1.945874675
cytidine,2.459489925,1.259659011,0.336900384,0.512162704,1.580040103,3.085035459
"cytidine 2',3'-cyclic monophosphate",0.204516939,0.81517813,0.56698805,3.98587098,0.384829894,0.096548507
cytidine 3'-monophosphate (3'-CMP),19.40231299,1.234498031,1.137595502,0.063626333,0.809996069,12.73051624
cytidine 5'-diphosphocholine,1.260446724,1.170514054,0.198041093,0.928650161,1.732279125,1.865373202
cytidine 5'-monophosphate (5'-CMP),0.743167799,1.036445135,0.107920726,1.394631383,1.519894584,1.089818143
cytidine 5'-monophospho-N-acetylneuraminic acid,0.455132263,1.080858047,0.163147279,2.374821861,2.019350629,0.850316675
cytidine-5'-diphosphoethanolamine,1.140199933,1.121458418,0.284998433,0.983562957,1.654961265,1.682618539
decanoylcarnitine,1.066839414,1.268095549,0.490980468,1.188647075,1.000530811,0.841739178
dehydroascorbate,0.882484039,1.071085316,0.370378184,1.21371636,1.272959251,1.048811149
deoxycarnitine,0.973232562,0.959360731,0.161708159,0.985746643,1.311438279,1.330400958
dihomo-linoleate (20:2n6),2.341960498,2.909497614,2.097991057,1.242334196,2.850334649,2.294338075
dihomo-linolenate (20:3n3 or n6),4.296422487,1.823206511,1.133469889,0.424354569,1.882800247,4.436856312
dihydrobiopterin,1.380956809,1.132130736,0.705758909,0.81981618,1.078056089,1.314997331
dimethylarginine (SDMA + ADMA),2.295863918,0.908810782,0.130484871,0.395846973,1.559774781,3.940347879
docosadienoate (22:2n6),2.892552714,2.458815612,1.140940702,0.850050407,2.562264444,3.014250005
docosahexaenoate (DHA; 22:6n3),5.828185116,1.931131142,0.856034973,0.331343481,1.399536015,4.223822399
docosapentaenoate (n3 DPA; 22:5n3),3.031334414,2.04938507,1.415990044,0.676066969,1.850587606,2.737284456
docosapentaenoate (n6 DPA; 22:5n6),6.323681131,1.688543066,0.948436504,0.267019009,1.473022532,5.516545581
docosatrienoate (22:3n3),3.303851101,1.898827268,1.337185412,0.574731491,2.249653056,3.914267954
eicosapentaenoate (EPA; 20:5n3),1.311010947,1.055510839,0.408319921,0.805112148,1.05945072,1.315904527
eicosenoate (20:1),1.805601274,2.294363651,1.38045136,1.270692309,1.900494613,1.495637142
ergothioneine,1.05182006,1.465002914,0.843094708,1.392826558,0.646667674,0.464284423
erucate (22:1n9),1.892951542,1.652863436,0.600234928,0.873167326,1.720425103,1.970326937
erythritol,1.096138664,0.664968061,0.236878245,0.606645932,0.97097179,1.600557654
erythronate,0.958700026,1.032255442,0.248295047,1.07672412,1.127859399,1.047491533
ethylmalonate,1.355809769,0.933830334,0.141966734,0.688762064,1.317438046,1.912762209
flavin adenine dinucleotide (FAD),0.646346982,0.955711262,0.094624919,1.478634988,1.657143502,1.120725207
flavin mononucleotide (FMN),0.814757679,1.021776561,0.364136026,1.254086445,2.96376272,2.363284232
fructose,0.607556731,0.660387751,0.273010921,1.086956522,3.434021105,3.159299416
fructose-6-phosphate,0.551194152,1.196507388,0.207698973,2.170754866,1.704067099,0.7850113
fumarate,1.013152286,1.258052731,0.179453085,1.241721257,2.002884789,1.612990659
galactitol (dulcitol),1.46771467,1.172341857,0.388971936,0.798753246,0.996385184,1.247425521
gamma-glutamylalanine,0.623950247,1.008863317,0.188866615,1.616897053,2.640069116,1.632799757
gamma-glutamylcysteine,1.151369959,1.177772802,1.316714892,1.022931677,3.539144766,3.459805622
gamma-glutamylglutamate,1.17174193,1.239195159,0.356739198,1.057566625,2.64615021,2.502112062
gamma-glutamylglutamine,0.350309962,0.881914111,0.215986403,2.517525066,2.171887051,0.86270722
gamma-glutamylglycine,0.421029376,0.81888916,0.41815138,1.944969179,2.139398545,1.099965268
gamma-glutamylleucine,1.755028696,1.147824149,0.288671114,0.65402016,2.189634098,3.347961165
gamma-glutamylmethionine,0.632142586,0.850224056,0.187314585,1.344987785,2.488285474,1.850043177
gamma-glutamylphenylalanine,3.174015839,1.431550823,0.90225085,0.451021953,2.60672218,5.779590467
gamma-glutamylthreonine,1.174630803,0.880780204,0.286183808,0.74983578,2.513023021,3.351431191
gamma-glutamyltyrosine,1.848542732,1.607739232,0.991400905,0.869733333,3.415333333,3.926874138
gamma-glutamylvaline,1.503047216,0.956793687,0.200997318,0.636569282,1.712243112,2.689798518
gluconate,0.654387989,1.591229696,0.188674572,2.431630353,1.223284979,0.503071932
glucosamine-6-phosphate,0.597254849,1.779824885,0.814101696,2.980009102,1.574535171,0.528365893
glucose,3.313341954,1.287504408,0.760067396,0.388581808,0.585249729,1.506117157
glucose 6-phosphate,0.787110652,1.258461798,0.107878211,1.598837209,1.657646554,1.036782572
glucuronate,1.268253552,0.660925938,0.27657723,0.52113076,0.47145992,0.904686416
glutamate,1.923690925,1.289163195,0.174645987,0.670150895,1.509029896,2.251776289
"glutamate, gamma-methyl ester",1.345565338,1.314246029,0.200015676,0.976724052,1.496736705,1.532404882
glutamine,0.483969714,1.134458897,0.16743509,2.344070019,0.933613267,0.398287278
glutamine-leucine,N.A.,N.A.,N.A.,0.325619806,1.464063424,4.496235784
glutarate (pentanedioate),0.637570659,0.884287864,0.2184295,1.38696449,1.267656357,0.913978956
glutarylcarnitine (C5),1.002013979,0.990996327,0.330547069,0.989004493,1.724462048,1.74363419
"glutathione, oxidized (GSSG)",0.17328413,0.948853397,0.636981305,5.475708565,1.695402477,0.309622482
"glutathione, reduced (GSH)",0.683157727,0.990554047,0.98179959,1.449963908,1.279760876,0.882615677
glycerate,0.7490449,1.214887237,0.249398474,1.621915104,1.455056488,0.897122472
glycerol,1.115357228,1.251364823,0.213038228,1.121940838,1.366762432,1.21821257
glycerol 3-phosphate,0.571614258,1.01259811,0.19809571,1.771471051,1.522848522,0.859651938
glycerophosphoethanolamine,1.68219991,0.942141097,0.102576981,0.560064884,1.981904942,3.538705958
glycerophosphoglycerol,0.182783594,0.918646103,0.366030391,5.025867378,2.008725108,0.399677301
glycerophosphoinositol,0.632687644,0.998772899,0.362026456,1.578619257,1.09676749,0.694763785
glycerophosphorylcholine (GPC),1.303395724,1.059702597,0.13306328,0.813032126,1.55187876,1.908754538
glycine,0.583198708,0.860122107,0.167018498,1.474835414,1.153146023,0.781881159
glycylisoleucine,2.965058312,1.030413903,0.211235084,0.347518934,1.239653869,3.567154905
glycylleucine,3.385083227,1.42899061,0.532897986,0.42214342,1.503388495,3.561321635
glycylvaline,N.A.,N.A.,N.A.,0.201867086,1.120269896,5.549542125
guanidinoacetate,4.78286346,N.A.,N.A.,N.A.,1.045109914,N.A.
guanine,0.86469273,1.412765092,0.438062499,1.633834822,1.913493183,1.171166851
guanosine,0.987001804,1.1913031,0.430316168,1.206991816,1.562627228,1.294646084
guanosine 5'- monophosphate (5'-GMP),0.890713016,0.858509723,0.431179808,0.96384549,1.713661948,1.777942591
guanosine 5'-diphospho-fucose,0.540460106,0.921342975,0.215817007,1.704738175,1.822030527,1.068803734
gulonic acid,1.004946715,0.651239999,0.330120337,0.648034357,0.809613479,1.249337276
heptanoate (7:0),1.291779784,1.070695478,0.311664569,0.828852945,1.212310628,1.46263657
hexanoylcarnitine,0.862069544,1.192083291,0.145944438,1.382815691,1.338143488,0.967694753
hexanoylglycine,1.403234332,0.200074287,0.25864821,0.142580809,0.271916518,1.907104605
hippurate,1.534927157,2.000776989,0.443942432,1.303499635,1.660209297,1.27365536
histamine,0.645464248,0.806163287,0.458388497,1.248966601,0.996105232,0.797543531
histidine,1.303270413,1.067756804,0.170176822,0.819290298,1.763730064,2.15275351
homocitrulline,0.919016828,0.671321454,0.64409783,0.730477868,0.972968509,1.331961653
hydroxybutyrylcarnitine,0.489726918,1.371140628,0.673896247,2.79980654,1.738107883,0.620795708
hypotaurine,0.24107801,1.404514742,0.363650708,5.825976177,1.384769731,0.237688876
hypoxanthine,0.833806626,1.287047233,0.507321625,1.543580001,1.801839581,1.16731208
imidazole lactate,0.57946519,0.797848019,0.401155258,1.376869627,0.670140934,0.486713426
imidazole propionate,0.95420863,0.964013756,0.851070579,1.010275662,0.745983053,0.738395549
indolelactate,0.893022026,0.501021203,0.298871703,0.561040141,0.562010912,1.001730307
inosine,0.874061129,1.131032944,0.263036315,1.293997533,1.458182669,1.126882109
inosine 5'-monophosphate (IMP),0.782049192,0.713786246,0.437454045,0.912712721,1.255213164,1.375255472
inositol 1-phosphate (I1P),0.54430262,0.979439565,0.211076228,1.799439374,2.108501692,1.171754783
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate",0.720601458,1.344592953,0.314226043,1.86593149,1.59403428,0.854283391
isobutyrylcarnitine,1.909773251,1.219420421,0.217851184,0.638515814,1.72555755,2.702450767
isobutyrylglycine,0.891649746,0.905793287,0.276402629,1.015862216,0.874221228,0.860570669
isocitrate,8.654513693,0.851574382,0.208971947,0.098396561,0.604693527,6.145474215
isoleucine,1.698326949,1.175883181,0.216482124,0.69237739,1.682082819,2.4294306
isoleucylglycine,4.905542831,1.533394411,0.376926584,0.312584043,1.526034663,4.881997969
isovalerylcarnitine,1.714116748,1.310548752,0.290629385,0.76456213,1.624029671,2.12413041
isovalerylglycine,1.378594742,0.331211536,0.340337416,0.240253009,0.321562345,1.338432122
kynurenine,8.631203352,0.863428048,0.274387216,0.100035651,0.972503091,9.721565059
lactate,0.859175959,1.399376299,0.213367832,1.628742383,1.584020766,0.97254224
laurylcarnitine,0.99541746,1.541188944,1.418604646,1.548284017,0.950515427,0.613915416
leucine,1.621261563,1.120707721,0.12803458,0.691256578,1.627347429,2.354187258
leucylglutamine,4.196987366,1.672254616,0.853642591,0.398441661,1.020990113,2.56245823
leucylglycine,4.16136263,1.972363663,1.079462462,0.473970629,0.932856747,1.968174165
linoleamide (18:2n6),1.87304074,4.594523171,1.039213756,2.452975567,1.496181271,0.609945444
linoleate (18:2n6),3.570977549,1.826980044,0.8217905,0.511619023,1.725836908,3.37328526
linolenate [alpha or gamma; (18:3n3 or 6)],2.105965884,0.866928642,0.309706972,0.411653697,1.01209686,2.458612342
linoleoylcarnitine,1.292396788,4.731636906,5.916367847,3.66113329,2.143216012,0.585396882
lysine,1.069845735,0.963774298,0.169637116,0.900853522,1.410207777,1.565412958
malate,0.8231796,1.104747746,0.073847805,1.34204947,1.689674126,1.259025218
malonate,0.999647367,0.982794904,0.108243521,0.983141592,0.956186916,0.972583119
malonylcarnitine,0.969054701,1.465361357,0.304153677,1.51215546,1.406333848,0.930019357
maltotriose,3.375048069,1.785145306,0.777713911,0.528924409,0.351954337,0.665415192
mannitol/sorbitol,0.581245999,0.800978793,0.243069705,1.378037516,2.1690351,1.574002939
mannose,1.249061327,1.074509804,0.525331573,0.860253841,1.02255177,1.188662836
methionine,1.384130764,1.071805938,0.157263929,0.774353093,1.450272382,1.872882533
methyl glucopyranoside (alpha + beta),1.069166176,1.703889216,0.824109177,1.593661729,1.206636812,0.757147386
methylmalonate (MMA),0.513594496,1.361599711,0.261166607,2.651118194,1.460025929,0.550720799
methylphosphate,0.760657367,0.937298122,0.130472098,1.232221185,1.295170322,1.051085907
methylsuccinate,1.003778233,0.782293903,0.100446002,0.77934934,0.994329111,1.275845195
myo-inositol,1.555032975,1.010482471,0.199245572,0.649814176,1.00473209,1.546183704
myristoleoylcarnitine,1.131878974,2.140685522,2.540214692,1.891267151,1.185423729,0.626788092
myristoylcarnitine,0.862469832,2.170157888,2.745417791,2.516213099,1.705921306,0.677971713
N-6-trimethyllysine,1.25125558,0.993777902,0.183978249,0.794224551,1.500100346,1.888760985
N-acetyl-1-methylhistidine,1.635597083,0.326534488,0.062425176,0.199642376,0.332781803,1.666889613
N-acetyl-aspartyl-glutamate (NAAG),1.416422045,1.401252335,0.33681712,0.98929012,1.387193002,1.402210508
