,MDA-MB-231 p38 gamma knockdown vs MDA-MB-231,MDA-MB-231 scrambled control vs MDA-MB-231,MDA-MB-231 p38 gamma knockdown vs MDA-MB-231 scrambled control
Ketoleucine,0.240488793,0.257677468,0.933293839
5-Hydroxy-tryptophan,#DIV/0!,0.469538003,#DIV/0!
5-Hydroxyindoleacetic acid,1.565069333,0.74833208,2.091410185
5-Hydroxyindoleacetic acid,1.834659831,0.993952632,1.845822198
Pyroglutamic acid,1.729293228,1.269503708,1.362180525
5'-Deoxyadenosine,5.88707908,1.133471952,5.19384628
5'-Deoxyadenosine,0.637901694,0.341697102,1.866863049
5'-Methylthioadenosine,1.367995355,0.760628489,1.798506597
5'-Methylthioadenosine,1.936626058,0.832122957,2.327331606
6-Phosphogluconic acid,0.220916682,0.212285448,1.040658625
6-Phosphogluconic acid,0.206494984,0.141308205,1.46130923
Adenine,0.01536942,0.011268203,1.363963743
Adenosine,5.023571014,2.564666718,1.958761728
Adenosine,4.158539372,2.120353034,1.961248578
"3',5' cyclic AMP",12.35250314,2.022663073,6.107049321
ADP,0.537483654,0.5906034,0.910058517
AMP,0.94111009,0.595650724,1.579969691
ADP,0.551396308,0.300274824,1.836305489
ADP-ribose,0.082546119,0.12959238,0.636967382
Alanine,1.017911628,0.845684136,1.203654633
Allantoin,1.585817624,1.199716451,1.321827022
Allantoin,1.076212363,0.919505516,1.170425129
Allantoin,1.441101201,1.097059234,1.313603821
Androsterone,0.843763398,1.001848105,0.842206911
2-Aminobenzoic acid,0.688608193,0.847202686,0.812802184
Arg-Val-Trp,0.478659997,0.41132039,1.163715702
Arginine,0.993248915,1.418801604,0.700061878
Vitamin C,1.781503992,1.031915147,1.726405507
Asparagine,1.525103926,1.367555634,1.115204301
Asparagine,1.05437231,1.276719341,0.82584502
Aspartic acid,0.827512251,0.600584917,1.377843877
Benzoin,0.61517976,0.912544468,0.674136748
Biotin,1.01038804,1.320776704,0.764995353
bis(2-Ethylhexyl)phthalic acid,1.229248489,1.090327148,1.127412531
bis(2-Ethylhexyl)phthalic acid,0.917037804,0.926128981,0.990183681
bis(2-Ethylhexyl)phthalic acid,1.214031978,1.096384361,1.107305085
bis(2-Ethylhexyl)phthalic acid,0.501910504,1.033931064,0.485439041
bis(2-Ethylhexyl)phthalic acid,0.562209047,1.165135602,0.482526708
bis(2-Ethylhexyl)phthalic acid,0.861340724,0.940861096,0.915481284
bis(2-Ethylhexyl)phthalic acid,0.627781093,0.951342581,0.659889619
bis(2-Ethylhexyl)phthalic acid,1.390102872,0.746796898,1.861420254
bis(2-Ethylhexyl)phthalic acid,3.55616507,1.807102547,1.967882274
bis(2-Ethylhexyl)phthalic acid,0.557738955,0.611705552,0.91177684
Caffeine,0.664512011,0.61137605,1.086912075
Caffeine,0.967339752,0.741777463,1.304083503
Carnosine,0.998087845,1.27081034,0.78539481
Citramalic acid,1.34905561,1.201595304,1.122720441
Citric acid,0.995604293,0.634170257,1.569932178
Citric acid,0.629598368,0.434905405,1.447667378
Corticosterone,0.711480723,0.843886851,0.843099667
Cortisol 21-acetate,0.743775149,0.868183733,0.856702471
Cortisol 21-acetate,0.499974444,0.801733652,0.623616637
Cortisone,0.527960423,0.912943719,0.578305554
Creatine,1.190094345,0.972382993,1.223894652
Creatinine,1.150228704,1.114037545,1.032486481
Creatinine,0.770747735,1.628140617,0.473391381
Cysteic acid,1.054454362,0.860322185,1.225650553
Cysteine,1.029121046,1.062548879,0.968539958
Cystine,1.456963847,2.643182424,0.551215774
Cystine,0.136158886,#DIV/0!,#DIV/0!
Cytidine,1.545630221,0.934461885,1.654032385
"2',3' cyclic CMP",1.666001382,2.172866068,0.766729899
CDP,1.153915497,0.481562553,2.396190257
Cytidine 5'-diphosphocholine,1.985687832,1.76885534,1.122583507
Cytidine 5'-diphosphocholine,0.925943127,0.618845566,1.496242645
CMP,2.454451159,1.191404018,2.060133357
CMP,2.303673954,1.368206729,1.683717749
CMP,1.022578448,1.099367963,0.930151216
CMP,1.01806708,1.095576575,0.929252326
Cytosine,1.014319119,1.323112898,0.766615699
Deoxycholic acid,1.080123877,0.894980064,1.206869204
Deoxycholic acid,1.274126722,1.196022055,1.065303701
11-Deoxycorticosterone,0.650478426,0.713759253,0.911341497
11-Deoxycorticosterone,0.623822155,0.455112801,1.370697888
2-Deoxy-ribose,0.733434678,0.988799964,0.741742217
Dethiobiotin,1.071142059,1.01783288,1.052375178
Dethiobiotin,0.927589268,1.067425535,0.8689967
dGTP,1.698478195,0.651402485,2.607417435
Dihydroxyacetone phosphate,1.286169977,0.997560594,1.28931514
dGTP,2.303868787,0.657026456,3.5065084
dGTP,0.361606744,0.532065618,0.679628098
dGTP,0.995333351,0.924854927,1.076204843
Dihydrofolic acid,0.604950201,0.75810168,0.797980293
"4,5-Dihydroorotic acid",0.996074655,#DIV/0!,#DIV/0!
"4,5-Dihydroorotic acid",1.546741815,0.718932571,2.151442121
Dihydroxyacetone phosphate,3.580768923,2.370722026,1.510412813
Dimethylbenzimidazole,0.955665595,1.033603184,0.924596218
Dimethylbenzimidazole,1.410931953,1.257534177,1.121982987
Dimethylbenzimidazole,0.77729291,0.858783221,0.905109568
Dimethylbenzimidazole,1.134169203,0.987547436,1.148470606
Docosahexaenoic acid,0.247182551,0.44760747,0.55223062
Docosahexaenoic acid,0.364204966,0.330875647,1.100730648
Edetic acid,0.460407653,0.349749056,1.316394269
Edetic acid,0.837066694,1.036668791,0.807458179
Erythritol,1.094826757,2.146496442,0.51005291
Estradiol-17alpha,0.463520192,0.753310859,0.615310647
Ethyl 4-oxocyclohexanecarboxylate,1.281766388,0.928347657,1.38069653
Ethyl 4-oxocyclohexanecarboxylate,0.927403693,1.019723183,0.909466126
FAD,1.259227157,0.320181549,3.932853599
Folic acid,0.788084072,0.869960038,0.905885371
N-Formylmethionine,1.198367283,1.084527904,1.104966759
"Fructose 1,6-bisphosphate",4.129216113,1.602329192,2.577008603
"Fructose 1,6-bisphosphate",4.052429285,1.975859678,2.050970182
GDP-glucose,0.483841967,0.428197416,1.129950692
Glucosamine 6-phosphate,1.090722525,0.885017899,1.232429905
Glucosamine 6-sulfate,0.870958347,0.625713627,1.391944028
Glutamic acid,1.498784223,1.125913891,1.331171268
Glutamine,0.728799196,0.980790791,0.743073042
Glutamine,0.778386437,1.077587405,0.722341811
Glutathione,2.04710432,2.432387985,0.84160271
Glutathione,3.330467887,1.959337404,1.69979294
Glutathione,2.657060206,3.483712522,0.762709377
Glyceric acid,1.485828208,1.244907747,1.193524751
sn-Glycero-3-phosphate,3.478251211,5.533004547,0.62863697
Glycine,1.283030662,1.690451251,0.758987082
Glycine,0.720999572,0.780284867,0.924020959
Guanine,1.375371065,1.035682098,1.327985748
Guanosine,1.168518702,1.315859798,0.888026751
GDP,0.700754506,1.036274268,0.676224942
GMP,0.234174208,0.120455941,1.944065242
Sorbitol,1.636236072,2.045656232,0.799858768
Hexose,1.517389758,2.667453348,0.568853344
Hippuric acid,1.109047896,1.161544896,0.954804158
Hippuric acid,2.571995891,2.797446108,0.919408557
Histidine,1.190777795,1.297029629,0.918080643
Homocysteine,0.8275325,1.031587431,0.802193275
Homocystine,0.093247366,0.061666112,1.512133041
Homoserine,1.255532588,1.297957351,0.967314209
2-Hydroxyphenylacetic acid,0.31087813,0.289172845,1.075059902
Hypotaurine,1.357181985,1.074715342,1.262829265
Hypoxanthine,1.074655173,1.35480999,0.79321468
Hypoxanthine,1.496524344,1.537156609,0.973566606
Indoleacetic acid,2.24725666,2.659615632,0.844955426
Indoxyl,1.005990641,0.979880011,1.026646762
Inosine,2.740558988,8.353346153,0.328079184
Inosine,2.168375131,3.863219702,0.561287035
Inosine,#DIV/0!,3.995161367,#DIV/0!
IDP,0.59677726,0.305399753,1.954085603
Isocitric acid,1.468196827,0.730306879,2.010383402
Kynurenine,1.019949585,0.815264766,1.251065454
Leucine,1.14513197,1.342210007,0.853169
Lumichrome,#DIV/0!,#DIV/0!,#DIV/0!
Lumichrome,0.236487312,0.282546038,0.836986828
Lysine,1.135110672,1.246912648,0.910336962
Malic acid,1.723036284,0.754165831,2.284691528
Mannose 6-phosphate,0.866107013,0.743213286,1.165354587
Melatonin,0.875959853,1.061895804,0.824901888
Methionine,1.377861734,1.093126879,1.260477407
Methyl beta-D-galactoside,1.173777795,1.080161278,1.086669018
Methyl jasmonate,0.485551973,0.449716764,1.079683954
Methyl jasmonate,0.31809683,0.564830576,0.563172115
Methylparaben,0.269813377,0.217847145,1.238544472
Monoethyl malonic acid,1.113272695,1.121528893,0.992638444
N-Acetylhexosamine,1.846465403,1.723280876,1.071482559
N-Acetylhexosamine,0.635906156,0.502985013,1.264264619
N-Acetylglutamic acid,1.134322719,1.172017314,0.967837851
N-Acetylglutamic acid,1.188226889,1.268574473,0.936663093
N-Acetylmethionine,2.438930916,1.065971234,2.287989431
N-Acetylmethionine,2.021761973,0.767603658,2.633861826
N-Acetylalanine,1.018660171,0.702789833,1.449452059
N-Acetylaspartic acid,1.068404468,0.727749963,1.468092782
N-Acetylaspartic acid,1.023233708,0.462207405,2.213797741
N-Acetylleucine,0.664494158,0.864854668,0.768330429
N-Acetyl-alpha-neuraminic acid,1.210780608,1.649152951,0.734183332
N-Acetylputrescine,1.459019562,2.592850799,0.562708646
N-Acetylserotonin,1.258231404,1.01738902,1.236725952
N-Acetylserotonin,1.278553537,1.132047748,1.129416616
N-Cyclohexylformamide,0.841484734,1.007479576,0.835237511
N-Cyclohexylformamide,0.778941574,0.931080878,0.83659926
Cyclamic acid,1.189273141,1.170619375,1.015934954
3-Methylhistidine,0.701532342,1.12599557,0.62303295
N-6-Trimethyllysine,0.928603002,1.557156947,0.596345156
N6-(delta2-Isopentenyl)-adenine,1.668469585,1.493848634,1.116893336
N6-(delta2-Isopentenyl)-adenine,1.008140866,1.042573379,0.966973535
Niacinamide,1.22120767,0.605137281,2.018067154
NAD+,1.311174319,0.564364557,2.323275447
NAD+,0.762666763,0.570021941,1.337960362
NADP+,1.025429869,0.387245895,2.648007071
NADP+,0.558250715,0.593794672,0.940140998
Nicotinamide purin-6-ol-dinucleotide,1.59754742,0.589480537,2.710093582
Nicotinamide ribotide,1.211129272,0.557804948,2.171241535
Nicotinamide ribotide,1.538297616,0.626897011,2.453828282
NAADP,1.319524561,0.565890509,2.331766549
NAADP,0.674310025,0.570353191,1.182267472
CAR 2:0,0.868263715,0.914182402,0.94977076
CAR 2:0,0.717900783,0.606619885,1.183444198
DL-O-Phosphoserine,2.275078831,0.974449463,2.334732501
DL-O-Phosphoserine,0.819965313,0.811947184,1.009875185
DL-O-Phosphoserine,0.929410899,0.652335227,1.424744304
DL-O-Phosphoserine,1.164275146,2.644591712,0.440247597
Ophthalmic acid,0.132199835,0.178497612,0.74062523
Ornithine,0.762063706,0.942938734,0.808179449
Orotidylic acid,2.676264783,1.892433811,1.414192014
Pantothenic acid,1.532803082,1.066911342,1.436673341
Pantothenic acid,1.582498232,1.109905321,1.425795698
Arabitol,0.862856594,1.111186433,0.776518295
Pentopyranose,0.496993221,0.503162607,0.987738784
Phenylacetic acid,1.3592474,1.204423947,1.128545645
Phenylacetic acid,1.042141471,1.270982537,0.819949481
Phenylalanine,1.323859237,1.189142135,1.113289319
Phenylalanine,1.283604544,1.153143114,1.113135506
Phosphoric acid,0.938199256,1.369571513,0.685031229
Phosphoric acid,1.579181143,1.865195401,0.846657215
Phosphoenolpyruvic acid,1.090394645,1.00863627,1.081058333
Phosphoenolpyruvic acid,0.283551562,0.223277846,1.26994938
Choline phosphate,1.489299278,1.940483338,0.767488826
Choline phosphate,1.25952499,1.460710226,0.862268893
Phosphocreatine,1.136268356,0.565724559,2.008518703
Phosphocreatine,3.38375,1.181531723,2.863867243
Phosphoglyceric acid,1.837155122,1.160131589,1.583574776
Phthalic acid,1.089003027,0.953699568,1.141872203
Pipecolic acid,1.167601189,1.084931092,1.076198477
Pipecolic acid,0.907430778,0.586423181,1.54739923
Pregnenolone,0.784250136,0.875819002,0.895447729
Progesterone,0.773008869,0.776243278,0.995833253
Proline,1.646401695,1.133525434,1.452461185
Pterin,0.919982716,0.96171971,0.956601707
Pyridoxal,0.78497816,0.398528479,1.969691507
Pyridoxal 5'-phosphate,1.79879357,0.878716743,2.047068733
Pyridoxamine,1.010437587,1.32924906,0.760156706
Pyridoxine,1.375672388,1.220624351,1.127023549
Raffinose,1.615580838,1.312838254,1.230601586
Riboflavin,1.078279766,0.97832714,1.102166875
Ribose 5-phosphate,0.388975937,0.430744718,0.903031242
"Ribulose 1,5-bisphosphate",0.495095016,0.824921119,0.600172556
S-Adenosylhomocysteine,1.499111486,1.06664863,1.405440783
S-Adenosylhomocysteine,1.889865225,1.163523783,1.624260073
S-Adenosylmethionine,2.231629353,1.161583167,1.921196361
S-Adenosylmethionine,0.221203801,1.329743048,0.166350786
Salsolinol,0.701839834,0.951045371,0.737966721
Salsolinol,1.095572495,0.926918482,1.18195129
Serotonin,3.719538298,2.768550622,1.343496582
Shikimic acid,0.60082202,0.93219579,0.644523421
sn-Glycero-3-phosphocholine,8.949136841,4.8794364,1.834051334
Sorbic acid,0.68535582,0.36757506,1.864532972
Spermidine,1.474486245,0.940092657,1.568447783
Spermine,2.154474382,1.164832886,1.849599549
Sphinganine,1.447137472,0.454421581,3.184570301
Sphinganine,1.323215087,0.445321466,2.971370542
SM 18:0;O2/22:1,0.51564887,0.683645625,0.754263394
Stachyose,1.132542399,0.974238972,1.162489318
Taurine,1.332939475,1.087947485,1.22518733
Taurine,1.313714587,1.07882253,1.217730026
Taurine,0.509870369,0.729317578,0.699106102
Theophylline,0.693136452,0.721521131,0.960659947
6-Methylthiopurine,1.121803697,1.306036816,0.85893727
Thymidine,1.670298477,0.817432691,2.043346806
"trans-Cyclohexane-1,2-diol",0.946246487,1.15834634,0.816894269
Trigonelline,1.224636608,1.041413876,1.175936519
Tryptophan,1.443184641,1.325021593,1.089178206
Tryptophan,1.264069326,1.218672038,1.03725144
Tryptophanamide,2.941197921,2.624736342,1.120568902
Tyrosine,1.315375766,1.137777626,1.156092136
Uric acid,1.098700639,0.914670414,1.201198401
Uric acid,0.243464653,0.10191405,2.388921378
Urea,0.942169755,1.025367118,0.918860902
Uridine,4.082482231,3.038589884,1.343544995
Uridine,3.621468922,2.74211956,1.320682356
Uridine,3.076210176,3.06934001,1.00223832
UMP,0.994992893,1.061593467,0.937263579
UDP,0.560884765,0.223580258,2.508650676
Urocanic acid,0.782366829,0.978445143,0.799602139
Valine,1.426939013,1.192058536,1.197037704
Valine,2.641664918,1.510809395,1.748509724
Xanthine,1.461017088,1.071049129,1.36409904
Xanthosine,1.099007873,0.781376855,1.406501698
XMP,1.764771131,1.680942749,1.049869862
