,Apc+/Ģ716 (Normal) vs C57BL/6N (Normal),Apc+/Ģ716 (Adenoma) vs C57BL/6N (Normal),Apc+/Ģ716 (Adenoma) vs Apc+/Ģ716 (Normal)
Saccharopine,9999,9999,9999
5-Aminoimidazole-4-carboxamide ribotide,9999,9999,9999
5-Hydroxyindoleacetate,9999,9999,9999
1-Methyladenosine,9999,9999,9999
Noradrenaline,9999,9999,9999
N-epsilon-Acetyllysine,9999,9999,9999
gamma-Glu-cys,9999,9999,9999
10-Hydroxydecanoate,9999,9999,9999
Adenosine 5'-phosphosulfate,9999,9999,9999
Indole-3-acetamide,9999,9999,9999
Glucosamine,9999,9999,9999
Cadaverine,9999,9999,9999
Ala-Ala,9999,9999,9999
Pyridoxal,9999,9999,9999
N-Acetylornithine,9999,9999,9999
Gly-Leu,9999,9999,9999
Pentanoate,9999,9999,9999
Nicotinate,9999,9999,9999
