,breast cancer vs control,breast cancer_stage3 vs control,breast cancer_stage2 vs control,breast cancer_stage2 vs breast cancer,breast cancer_stage3 vs breast cancer,breast cancer_stage3 vs breast cancer_stage2
2-Methyl-3-hydroxy-5-formylpyridine-4-carboxylate,0.61008851,0.659608769,0.651465219,1.06782083,1.081168975,1.01250036
2-Hydroxybutyric acid,1.048380926,0.993350531,1.006274753,0.959836953,0.94750916,0.987156368
2-Hydroxybutyric acid,9.515000379,9.943534579,9.908426371,1.041347974,1.045037749,1.003543268
2-Hydroxybutyric acid,20.4233376,22.03603825,20.84955714,1.02086924,1.078963619,1.056906777
2-Phenylacetamide,1.231246707,1.438557523,0.95330247,0.774257884,1.168374717,1.509025277
Pipecolic acid,0.544009281,1.021183517,0.677871398,1.246065868,1.877143555,1.506456121
Pipecolic acid,0.301429702,0.252518305,0.281063939,0.932436109,0.83773531,0.898437225
Pipecolic acid,0.772394622,0.721143758,0.643653869,0.833322567,0.933646789,1.120390621
"2,3-Dihydroxybutanoic acid",0.507020874,0.480298951,0.490320127,0.967061028,0.947296208,0.979561973
"2,4-Dichlorophenol",1.163780096,1.275834557,1.236273186,1.062291055,1.09628491,1.032000509
"2,4-Dichlorophenol",1.370129569,1.570581626,1.619012507,1.181649199,1.146301534,0.97008616
20-Carboxy-LTB4,0.15995175,0.09628697,0.067143646,0.419774377,0.601975095,1.434044401
3-Furoic acid,1.032379684,0.905807437,0.820322715,0.794594012,0.87739758,1.104208649
3-Hydroxybutyric acid,0.433096662,0.486865928,0.582024285,1.343866937,1.124150728,0.836504491
3-Hydroxyisobutyric acid,1.196767594,1.145894146,1.088361494,0.909417584,0.957490955,1.052861712
3-Hydroxyisobutyric acid,0.697543347,0.618094334,0.612981041,0.878771253,0.886101683,1.008341682
3-Hydroxypyridine,0.994924899,0.948887391,0.981608087,0.986615259,0.953727656,0.966666233
3-Indolebutyric acid,0.203609551,0.172298037,0.176943695,0.869034354,0.846217853,0.973744996
3-Indolebutyric acid,2.161802019,1.970046955,2.138643872,0.989287572,0.911298508,0.921166437
3-Indolebutyric acid,0.407448917,0.428992199,0.422711367,1.03745856,1.052873578,1.014858442
3-Pyridylacetic acid,0.500273351,0.900001355,1.008424306,2.0157466,1.799019184,0.892482807
2-Phenylacetamide,0.849560672,1.146459167,1.299136736,1.529186531,1.349472975,0.882477675
"3,4,5-Trimethoxycinnamic acid",4.904589842,4.028152285,5.027313209,1.025022147,0.821302579,0.801253496
Pipecolic acid,0.448926214,1.631217235,0.937275425,2.087816207,3.633597648,1.740381953
"3b,16a-Dihydroxyandrostenone sulfate",0.43953335,0.492407491,0.621050932,1.412977951,1.120296086,0.792861689
3-Hydroxypyridine,3.749683505,5.05001553,2.787502371,0.743396707,1.346784475,1.811663223
4-Aminobutyric acid,1.32903167,0.644896191,0.814611998,0.612936484,0.48523764,0.791660561
cis-4-Hydroxyproline,1.141225254,1.118828187,1.135706668,0.995164333,0.980374544,0.985138345
4-Hydroxybenzoic acid,0.040576908,0.046885408,0.040821929,1.006038443,1.155470207,1.148534844
4-Hydroxybutyric acid,1.09643965,1.157462202,1.138685286,1.038529832,1.055655185,1.016489997
Hydroxyphenyllactic acid,0.412543482,1.610542006,0.988583106,2.39631251,3.903932742,1.629141744
Hydroxyphenyllactic acid,1.227033266,1.098703885,0.748463238,0.609977951,0.895414913,1.467946359
Ketoleucine,2.662097401,2.729078811,2.689748532,1.010386972,1.025161142,1.014622288
5-Methyldeoxycytidine,3.213374172,3.626190138,3.44057857,1.070705864,1.128468066,1.053947778
5-Acetylamino-6-formylamino-3-methyluracil,1.226483811,1.179890233,1.16100991,0.94661658,0.962010442,1.016261983
5-Acetylamino-6-formylamino-3-methyluracil,0.120162448,0.171131002,0.169584389,1.411292727,1.424163745,1.00912002
Hydroxyphenyllactic acid,0.936275787,0.992789246,0.959757175,1.025079564,1.060359843,1.034417113
5-Methyldeoxycytidine,6.330810333,7.318258892,6.171431882,0.974824953,1.155975066,1.185828351
Pyroglutamic acid,0.387980332,0.44020786,0.417260373,1.075467851,1.134613857,1.054995606
Pyroglutamic acid,0.444740917,1.35448644,0.807610536,1.815912378,3.045562907,1.677153008
6-Hydroxynicotinic acid,0.088836811,0.100904089,0.092725363,1.043771846,1.135836451,1.088203763
6-Hydroxynicotinic acid,5.861498304,4.012603243,3.433779456,0.585819406,0.684569548,1.168567549
CAR(2:0),1.178107975,1.195560247,1.190646629,1.010643043,1.014813813,1.004126848
N-Acetylglycine,0.779930177,0.849255224,0.975129221,1.250277588,1.088886222,0.870915573
Alanine,0.622390332,0.638278483,0.596223614,0.957957704,1.02552763,1.070535396
Allyl isothiocyanate,6.280881882,6.107979776,6.377507031,1.01538401,0.972471683,0.957737835
alpha-N-Phenylacetylglutamine,1.130842002,1.097789004,1.046067841,0.925034478,0.970771338,1.049443412
Aminoadipic acid,0.711144614,1.426025025,1.079896594,1.518533043,2.005253218,1.320519976
Aminomalonic acid,0.483725405,0.520092466,0.475144773,0.982261357,1.075181208,1.094597889
Androstenedione,0.807416249,1.145258678,1.102177111,1.365066795,1.418424114,1.039087698
2-Aminobenzoic acid,0.379288043,0.425337432,0.438564939,1.156284642,1.121410073,0.969839114
Arabinose,0.454038686,0.73341588,0.760363831,1.674667498,1.615315835,0.964559136
Arabitol,0.63764017,0.616476331,0.566863218,0.889001735,0.966809119,1.087522195
Arachidonic acid,0.205751264,0.267022056,0.277026868,1.346416359,1.297790594,0.963885046
Arginine,0.280052445,0.271871174,0.270318951,0.965244032,0.970786648,1.005742192
Asparagine,1.469444182,1.680998804,1.534924431,1.044561236,1.143969145,1.095167143
Aspartic acid,0.184408487,0.250087138,0.255470301,1.385350021,1.356158508,0.978928421
Bilirubin,1.171945486,1.261864205,1.19486287,1.019554991,1.076726025,1.056074497
Benzaldehyde,0.552386487,0.586723601,0.597150733,1.081037909,1.062161394,0.982538526
beta-Alanine,0.908840809,0.911758855,0.903748599,0.994397027,1.003210734,1.008863368
Betaine,0.916272359,0.923997489,0.898091673,0.980157989,1.008431041,1.028845404
Betaine,,0.18727041,0.012711479,,,14.73238573
Bilirubin,25.55972311,25.50684791,26.08721972,1.020637806,0.997931308,0.977752638
Crotonic acid,9.95669681,10.29394725,9.82559283,0.986832583,1.033871719,1.047666785
CAR(4:0),1.511020414,1.855236528,1.424683361,0.942861756,1.227803748,1.302209725
Cadaverine,1.606102126,1.169894582,1.599327197,0.995781757,0.728406097,0.731491707
Caproic acid,0.217892074,0.245092785,0.243256146,1.11640658,1.124835703,1.007550227
Carnitine,2.166845785,2.306150786,2.210169327,1.019993828,1.064289301,1.043427197
Cholesterol,1.20067088,1.407559805,1.182387682,0.984772515,1.172311104,1.190438488
Choline,0.130960803,0.166999374,0.165103485,1.260709173,1.27518594,1.011483034
CAR 14:1,1.932863888,1.609863814,1.862585426,0.963640243,0.832890419,0.864316767
Citric acid,0.936080511,0.912196824,0.822358034,0.878512077,0.974485435,1.109245348
Citrulline,0.758112789,0.796260511,0.790740869,1.043038555,1.050319322,1.006980343
Citrulline,29.04102751,38.84113815,32.60063922,1.122571824,1.337457435,1.191422594
Cortisol,1.124120067,1.128346935,0.984908731,0.876159728,1.003760157,1.145636036
Creatinine,1.023000171,1.060653537,1.035937361,1.012646322,1.036806803,1.023858755
Creatinine,1.696339803,1.681048493,1.556982204,0.917848064,0.990985703,1.07968382
Cyclohexanone,3.514900552,85.54776938,2.556092596,0.727216192,24.33860307,33.46818089
Cyclohexanone,0.9308226,1.03511383,0.969907921,1.041990086,1.112042005,1.067228969
Cys-Gly,0.587299513,0.875134305,0.690729643,1.176111385,1.49009881,1.266970823
Cystine,5.703051816,5.723624149,5.131841137,0.899841226,1.00360725,1.115315926
Cytidine,0.276144776,0.431729083,0.408576763,1.479574479,1.563415719,1.056665778
Cytosine,0.997331557,0.956594518,1.010025785,1.012728193,0.959153966,0.947099105
Cytidine,1.073537825,1.136669738,1.100721567,1.025321644,1.058807349,1.032658732
Gluconic acid,0.649712496,0.583130505,0.552979061,0.851113477,0.89752084,1.054525471
Glucuronic acid,0.939958431,1.15846899,1.068227135,1.136462103,1.232468321,1.084478153
Capric acid,1.156109143,1.188929174,1.124210975,0.972409034,1.02838835,1.057567663
CAR(10:0),5.377107739,3.119576199,3.496902681,0.650331526,0.580158768,0.892096945
Capric acid,0.339920089,0.221538074,0.268376378,0.789527854,0.651735749,0.825475308
5-Hydroxylysine,2.181021123,2.337201917,2.230113863,1.022509062,1.071609024,1.048019097
Dihydrothymine,2.041878605,5.588296217,4.404669507,2.157165218,2.736840576,1.26872089
Dihydrouracil,0.733625493,0.699666064,0.69099519,0.941890919,0.953710129,1.012548385
Dimethyl sulfone,0.946323096,6.340151949,4.444323442,4.696412315,6.699775135,1.426573028
Dimethyl sulfoxide,1.117703785,1.27800985,1.209488901,1.082119357,1.143424463,1.056652813
Dihydrouracil,0.708663043,0.742582599,0.793836507,1.120188946,1.047864152,0.935435184
Dimethylbenzimidazole,0.234653308,0.254976811,0.244801479,1.04324751,1.086610767,1.041565646
Dimethyltryptamine,1.794511131,1.465315348,1.243264373,0.69281508,0.816554059,1.178603183
2-Aminooctanoic acid,1.327162917,1.356178673,1.653794254,1.246112465,1.021862995,0.820040746
CAR 12:0,2.027291618,1.592938336,1.858316812,0.916649976,0.785747015,0.857194169
dUMP,0.826734719,1.034273953,0.95127794,1.150644721,1.25103486,1.08724686
Ecgonine,0.660742715,0.767821463,0.685864589,1.03802066,1.162058159,1.119494249
Elaidic acid,0.923848437,0.630997722,0.507352068,0.549172404,0.683010001,1.243707796
Elaidic acid,0.505210273,0.597615835,0.64660377,1.27987059,1.182905154,0.924238093
Estradiol-17beta 3-sulfate,1.253574906,1.34594238,1.271425104,1.014239435,1.07368325,1.058609253
Estrone 3-sulfate,0.468740142,0.641633605,0.765231209,1.632527577,1.368847144,0.838483321
Ethanolamine,0.394363096,0.367690747,0.408118252,1.034879418,0.93236601,0.900941688
Fructose,1.240379043,0.7484319,0.649734582,0.52381938,0.603389668,1.151904055
Galactose,1.827175069,1.797861563,1.859007542,1.017421687,0.983956926,0.967108268
Gluconic acid,0.077328706,0.106464431,0.091608335,1.184661436,1.376777615,1.162169691
Glucose,1.066797089,1.528524245,1.321944038,1.239171022,1.432816288,1.156270009
Glucose,0.603244605,0.732487977,0.684601175,1.134864976,1.214247041,1.069948467
Glutamic acid,0.086261602,0.100029963,0.120295493,1.394542775,1.1596117,0.831535411
Glutamine,2.606693704,2.938645635,2.684163065,1.029719395,1.127345967,1.094808909
Glu-Phe,0.353953611,0.482850952,0.442324641,1.249668396,1.364164503,1.091621191
Glutaric acid,0.278911244,0.234726272,0.30512593,1.093989349,0.841580529,0.769276712
Glutarylglycine,0.80494615,0.801078068,0.817451499,1.015535634,0.995194608,0.97997015
Glutathione,0.729624475,0.734861275,0.692330535,0.948886117,1.007177392,1.061431265
Glyceric acid,0.562597474,0.735387044,0.680185637,1.209009403,1.307128236,1.081156385
Glycerol,0.201854113,0.225860195,0.261343036,1.294712466,1.118927881,0.864228862
sn-Glycero-3-phosphate,0.414701902,0.482899393,0.482716174,1.16400762,1.164449429,1.000379558
Glycine,0.516451844,0.546610208,0.547842064,1.060780536,1.058395306,0.997751439
Glycocholic acid,5.436622543,1.433636237,1.218923845,0.224206083,0.263699793,1.176149143
sn-Glycero-3-phosphate,1.005265768,1.048701464,1.001997148,0.996748502,1.043208172,1.046611226
Glycolic acid,0.873948323,0.927246455,0.893312692,1.022157339,1.06098545,1.037986434
Guanidinosuccinic acid,1.070259686,0.993324317,0.951667692,0.889193253,0.928115233,1.043772239
Margaric acid,1.002286957,0.999590842,0.948719718,0.946554987,0.997310037,1.053620815
Palmitic acid,0.351177613,0.415844912,0.436232367,1.242198678,1.184144138,0.95326469
CAR(6:0),3.531104728,2.510192943,2.43252061,0.688883734,0.710880344,1.031930802
Hippuric acid,1.204099062,1.42848896,0.926374154,0.76935045,1.186355015,1.542021604
Histidine,1.004331871,1.079718363,1.116281025,1.111466296,1.075061335,0.967246006
Histidine,1.29126435,1.325837867,1.322796614,1.024419682,1.026774934,1.002299108
Homocysteic acid,1.306375678,2.239428901,1.380897271,1.057044535,1.714230401,1.62172013
Homoserine,0.743176607,0.672689069,0.638408343,0.859026424,0.905153718,1.053697178
Homoserine,1.366283163,0.952217729,1.101656851,0.806316641,0.69694025,0.864350572
Palmitic acid,0.714331036,0.646003373,0.672524228,0.941474182,0.904347341,0.960565205
Palmitic acid,2.359816164,3.086870109,2.817299835,1.193864115,1.308097706,1.095683914
Hypoxanthine,0.560989575,0.842069836,0.882594836,1.573282063,1.501043644,0.954084254
Indole,0.861672612,0.839706386,0.889881286,1.032737114,0.974507458,0.943616187
"Indole-5,6-quinone",3.933410224,3.281070007,3.243549567,0.824615126,0.834154034,1.01156771
Indoleacrylic acid,0.965171592,0.958346807,0.977855073,1.013141168,0.992928941,0.980049941
Indoxyl,0.606953727,0.657772655,0.63845922,1.05190757,1.083727846,1.030250069
Indoxyl sulfate,0.917555711,0.902609221,0.87325773,0.951721753,0.983710537,1.033611487
Myo-inositol,1.204512516,2.084991684,1.756380217,1.458166847,1.730983826,1.18709586
Indoxyl sulfate,0.872509203,0.775152362,0.898172397,1.029413093,0.888417405,0.863032937
Isoleucine,0.654741065,0.576037185,0.633325368,0.967291349,0.879793885,0.909543837
Isovalerylsarcosine,0.905097606,0.947513266,1.048453698,1.158387439,1.046863078,0.903724473
Kynurenine,1.071814767,1.334053478,1.276601855,1.191065745,1.24466794,1.045003557
Isoleucine,1.348592354,1.282565358,1.28333901,0.951613737,0.951040063,0.999397157
Arginine,0.946832959,0.911184068,0.918713016,0.970301052,0.962349334,0.991804896
Arginine,9.878270606,12.0319712,12.06149372,1.221012685,1.218024053,0.997552333
L-Glycyl-L-hydroxyproline,0.964165469,1.133435821,1.158223663,1.201270632,1.175561516,0.978598398
Rhamnose,0.599756418,0.789859032,0.787964094,1.313806855,1.316966369,1.002404854
Val-Leu,0.062849954,0.075151343,0.072412106,1.152142549,1.195726299,1.037828436
Sorbose,1.420273828,1.447160893,1.458973418,1.027247978,1.018930902,0.991903537
Lactic acid,0.78677306,0.928978222,0.892914767,1.134907653,1.180744829,1.040388464
Lauric acid,0.66560171,0.924136642,0.818670384,1.229970374,1.388422878,1.128826277
Leucine,0.423234761,0.402280004,0.429870686,1.015679065,0.950489047,0.935816321
Leucinic acid,0.893597037,0.962850355,0.924280707,1.034337256,1.077499494,1.041729367
Linoleic acid,0.250952059,0.380289912,0.434001728,1.729420873,1.515388691,0.876240547
Lysine,0.716547676,0.635793705,0.686932799,0.958670053,0.887301329,0.925554444
LPC 16:0,2.20480772,1.453163221,1.784825847,0.80951542,0.659088413,0.814176478
LPC 16:1(9Z),1.651533518,1.193104378,1.224420121,0.741383755,0.72242214,0.974424022
LPC 22:6,1.75507003,0.955250293,0.743572168,0.423670939,0.544280443,1.28467731
Malic acid,0.207967611,0.321834627,0.256425825,1.233008462,1.547522835,1.255078844
Maltose,0.38979922,1.050179908,3.001712938,7.700664305,2.694156003,0.349860206
Mannitol,0.818092265,0.781870825,0.727004718,0.888658589,0.955724504,1.075468707
Mannitol 1-phosphate,1.117724765,1.099104212,1.129527447,1.010559561,0.983340664,0.97306552
Maltose,1.380480798,1.279619032,1.270404461,0.920262319,0.926937219,1.007253258
Mannose,0.775736951,0.947347945,0.942980803,1.215593509,1.221223178,1.00463121
Mesaconic acid,15.60713865,15.95968527,15.13120779,0.969505566,1.022588805,1.054752898
Methionine,1.643448786,1.48905322,1.583524915,0.963537731,0.906053923,0.940340885
Methionine sulfoxide,0.080730295,0.090484286,0.058920412,0.729842645,1.120821934,1.535703542
Methylacetoacetic acid,11.28176858,10.92932795,10.31302579,0.91413201,0.968760162,1.059759587
Methylguanidine,1.745496437,2.059330117,1.876087608,1.074816063,1.179796231,1.097672682
Methylmalonic acid,0.150887053,0.16106423,0.167936814,1.112996851,1.06744898,0.95907637
Methylmalonic acid,4.66280005,4.680847606,4.682916744,1.004314295,1.003870541,0.999558152
Methionine,0.631420135,0.427131391,0.554523068,0.878215689,0.676461468,0.77026803
Mevalonolactone,5.559625119,6.06494995,5.840951738,1.050601725,1.090891889,1.038349608
Monoisobutyl phthalic acid,4.168968616,5.03353625,4.154072493,0.996426905,1.207381661,1.21171122
Methionine,0.916874852,0.95924222,0.887310051,0.967754814,1.046208453,1.081067682
Myo-inositol,0.929537583,1.089354671,1.328474147,1.429177444,1.17193182,0.820004419
N-Acetylarginine,1.039120404,1.165786904,0.886249088,0.852883924,1.121897808,1.31541676
N-Acetylaspartic acid,0.417390647,0.754960644,0.609049442,1.459183251,1.808762725,1.239572016
N(2)-Acetyllysine,0.485756914,0.564850959,0.54949869,1.131221551,1.16282639,1.027938681
N-Acetyl-D-glucosamine,0.56830989,0.773438453,0.732346356,1.288639119,1.360944913,1.056110196
N-Acetyl-alpha-neuraminic acid,0.264717717,0.347771327,0.32510643,1.228124941,1.313744057,1.069715314
N-Formylmethionine,0.832916234,0.931647743,0.952708268,1.143822427,1.118537141,0.977894046
N-Glycolylneuraminic acid,1.999478322,1.849590741,1.830900269,0.915688982,0.925036656,1.010208351
Dimethylglycine,0.846061038,0.981626903,0.932248107,1.101868619,1.160231779,1.052967441
N1-Methyl-4-pyridone-3-carboxamide,1.400853245,1.719932296,1.214413777,0.866910064,1.227774788,1.416265468
Nicotinic acid,1.110515906,0.741231692,1.024523488,0.922565343,0.667466074,0.723489213
Nicotinic acid mononucleotide,0.843873642,0.831848901,0.842894584,0.998839805,0.985750544,0.986895535
Norepinephrine sulfate,0.480796748,0.566764541,0.536298001,1.115435997,1.178802773,1.056808975
Norophthalmic acid,5.989225305,6.853449554,6.67107382,1.113845862,1.1442965,1.027338287
Stearic acid,0.487350999,0.490532101,0.553367559,1.135459985,1.006527332,0.886448968
CAR(8:0),5.830800979,3.261134052,3.431734053,0.588552767,0.559294351,0.950287523
Oleamide,5.747410874,3.167631918,4.934460726,0.858553675,0.551140677,0.641940851
Oleic acid,0.497279766,0.61308902,0.67797389,1.363365123,1.232885514,0.904295917
Ornithine,0.820385613,0.819264427,0.844414076,1.02928923,0.998633343,0.97021645
P-Cresol,1.327899077,0.918075813,1.072546202,0.807701595,0.691374691,0.85597787
Palmitelaidic acid,0.314519015,0.364143771,0.389786253,1.239309025,1.15777983,0.934213991
Phenylalanine,0.400393897,0.374061753,0.385250563,0.96217891,0.934234403,0.970957057
Phenylglyoxylic acid,1.137348884,1.212210776,1.102055191,0.968968455,1.065821397,1.099954691
Phenylpropionylglycine,0.71345785,0.744507572,0.815971118,1.143685107,1.043520051,0.912419026
Phosphoric acid,0.977917995,0.995511894,0.985751869,1.008010768,1.01799118,1.009901097
Phenylpropionylglycine,1.122365038,1.094477076,1.042546808,0.928883895,0.975152503,1.04981097
Phthalic acid,1.079255398,0.963468596,1.014518844,0.940017392,0.892716031,0.949680335
Pipecolic acid,1.247162416,1.819531551,1.478096034,1.185167236,1.458937126,1.230996843
Pregnenolone sulfate,0.947429586,0.937163637,1.047670897,1.105803442,0.989164419,0.894521017
Progesterone,1.990809249,1.688954306,1.906479967,0.957640702,0.848375758,0.885901943
Proline,0.756434364,0.682976643,0.733354422,0.969488507,0.902889498,0.931305004
Proline,0.818180931,0.892109937,0.82922936,1.013503651,1.090357772,1.075830137
Proline betaine,5.097521574,4.918388178,6.048066075,1.186471894,0.964858727,0.813216674
Propionic acid,0.821846022,0.76574457,0.719711949,0.875726023,0.931737271,1.063959785
Pseudouridine,0.848859798,0.948112344,0.940474346,1.107926596,1.116924546,1.008121432
Pyroglutamic acid,1.221323766,1.931545179,1.401269428,1.147336576,1.581517721,1.378425263
Pyruvic acid,252.1907591,322.5021373,261.92864,1.038613155,1.278802357,1.231259542
Quinone,1.581014622,1.613406971,1.571095558,0.99372614,1.02048833,1.026931152
Riboflavin,2.305985783,1.831936799,1.752346826,0.759912242,0.794426753,1.045419076
Ribothymidine,0.089794368,0.126361747,0.104618218,1.165086636,1.407234663,1.207836928
Salicylic acid,0.007813592,0.005370885,0.006869567,0.879181695,0.687377221,0.781837504
Sebacic acid,1.486963598,1.948623341,1.753989187,1.179577758,1.310471449,1.110966565
Sebacic acid,0.749230749,0.922183354,0.761334286,1.016154618,1.230840239,1.211272593
Serine,0.379571079,0.311420608,0.349543751,0.920891421,0.820453993,0.89093456
Sebacic acid,2.061563884,2.733816382,2.439477974,1.183314276,1.326088609,1.120656309
Sorbose,0.775736951,0.947347945,0.942980803,1.215593509,1.221223178,1.00463121
Sphingosine,0.120589785,0.159443743,0.1456483,1.207799653,1.322199419,1.094717502
Serine,0.279256449,0.386966112,0.739011583,2.646354579,1.385701614,0.523626586
Suberic acid,0.678522224,0.72994569,0.700295349,1.032089039,1.075787447,1.042339766
Succinic acid,0.16724734,0.167469986,0.208715089,1.247942655,1.001331242,0.802385621
Succinic acid semialdehyde,2.074516991,2.179924813,2.142736114,1.032884341,1.050810778,1.017355707
Succinyladenosine,1.859227704,1.858261171,1.923032123,1.034317701,0.999480143,0.96631832
Taurine,1.85022652,2.544980445,2.241100493,1.211257362,1.375496686,1.135594077
Testosterone,4.390581804,3.279634907,2.829070907,0.644349891,0.746970459,1.15926218
Myristic acid,0.28961081,0.509348721,0.563615769,1.946114405,1.758735184,0.903716235
Testosterone,2.329052506,2.305627611,2.060784923,0.884816859,0.989942307,1.118810403
Thiamine,1.127285032,0.938362788,0.928864011,0.823983274,0.832409516,1.01022623
D-Threonic acid,3.014073968,4.531249298,4.049385149,1.343492294,1.503363669,1.118996868
Threonine,0.669109994,0.53485136,0.580410407,0.867436463,0.799347439,0.921505462
Thymine,0.988624666,0.952481555,1.017456467,1.029163546,0.963441018,0.93613986
Traumatic acid,1.476993168,1.643987946,1.312524736,0.88864645,1.113064015,1.252538639
Trehalose,0.568888869,0.789890212,0.697022874,1.225235562,1.388478936,1.133234277
Trimethylamine,0.429765029,0.535612922,0.492028327,1.144877535,1.246292475,1.088581474
Trimethylamine N-oxide,1.254000335,1.494490127,1.295063854,1.032746019,1.191778092,1.153989529
Tryptophan,0.967177166,0.962986428,0.972803041,1.005816799,0.995667042,0.98990894
Tyramine-O-sulfate,1.124476971,1.138783672,1.100558112,0.978728902,1.012722982,1.034732887
Tyrosine,0.731044262,0.6417687,0.654109012,0.894759793,0.877879403,0.981134166
Uracil,0.812892609,1.01758846,0.932670137,1.147347296,1.251811677,1.091048614
Urea,0.987137719,1.225677902,1.151052332,1.1660504,1.241648331,1.064832473
Uric acid,0.941335506,0.918908327,0.907013397,0.96353892,0.976175148,1.013114393
Valine,0.848023636,0.811867124,0.777649858,0.917014367,0.957363792,1.044000865
alpha-Tocopherol,6.218129856,6.265903036,4.81462483,0.774288241,1.007682886,1.301431214
Xylitol,0.489866789,0.491166207,0.516769643,1.054918714,1.002652594,0.950454837
