,Breast cancer stage1 vs Control,Breast cancer stage2 vs Control,Breast cancer stage3 vs Control,Breast cancer stage4 vs Control,Breast cancer stage2 vs Breast cancer stage1,Breast cancer stage3 vs Breast cancer stage1,Breast cancer stage4 vs Breast cancer stage1,Breast cancer stage3 vs Breast cancer stage2,Breast cancer stage4 vs Breast cancer stage2,Breast cancer stage4 vs Breast cancer stage3
Deoxycholic acid,0.996593441,0.976506576,0.948624229,0.948175265,0.979844474,0.951866819,0.951416321,0.971446841,0.970987075,0.999526721
Dihydroxyacetone phosphate,1.036985011,1.016411754,1.014847988,1.017074222,0.980160506,0.978652513,0.980799347,0.998461484,1.000651772,1.002193663
CAR 12:0,1.409471967,1.216110505,1.006116987,1.15962359,0.862812836,0.713825468,0.822736186,0.827323654,0.953551166,1.152573314
Epinephrine,1.230518576,0.826125341,1.289265231,2.364903071,0.671363568,1.04774138,1.921875149,1.560616975,2.862644387,1.834302992
Epinephrine glucuronide,0.730231332,0.789837737,0.789000364,0.806611636,1.081626743,1.080480019,1.104597407,0.998939816,1.021237146,1.022320994
Glucose 6-phosphate,0.835131857,1.28229999,1.521212526,0.717971401,1.535446145,1.821523766,0.85971023,1.186315634,0.559909074,0.471973106
Glutamine,1.842973603,1.56976595,1.702844461,1.553809729,0.851757153,0.923965736,0.843099286,1.084776021,0.989835286,0.912478952
Glyceraldehyde 3-phosphate,0.952993177,0.972121534,0.937328427,0.915974821,1.020071872,0.983562579,0.961155697,0.964209098,0.942243114,0.977218651
sn-Glycero-3-phosphocholine,0.386789846,0.380220644,0.311132825,0.431491892,0.983016093,0.804397601,1.115571921,0.818295455,1.134846041,1.386841432
sn-Glycero-3-phosphoethanolamine,1.376564785,1.045944734,1.209746756,1.08545316,0.759822382,0.878815708,0.788523121,1.156606766,1.037772958,0.897256516
Glycolaldehyde,1.212338432,1.131478999,1.073045186,1.223639602,0.933302921,0.885103663,1.009321795,0.948356255,1.081451447,1.140343032
Glycolaldehyde,0.819339805,1.019663615,1.137745701,1.667091938,1.244494175,1.388612751,2.034677099,1.115804942,1.634943048,1.465258834
Guanidoacetic acid,1.091091691,1.023329531,1.010338156,1.000453408,0.937895082,0.925988314,0.916928812,0.987304798,0.9776454,0.990216397
Guanine,0.8877822,1.054430151,1.007305677,0.983003127,1.187712653,1.134631532,1.107257081,0.955308112,0.93226007,0.975873708
CAR(6:0),1.569494616,1.185049631,1.225816692,1.423526464,0.755051734,0.781026376,0.906996717,1.034401143,1.201237845,1.161288204
Hexanoylglycine,0.869210126,1.070499421,0.721435714,1.198634114,1.231577255,0.829990002,1.378992349,0.673924432,1.119696181,1.661456579
Hexanoylglycine,0.900542864,1.625242977,0.57930273,0.528290012,1.804736945,0.643281684,0.586635054,0.356440691,0.325052943,0.911941175
Homocysteic acid,1.001302188,1.02189334,1.033375777,1.068358381,1.020564374,1.032031877,1.066968987,1.011236433,1.04546956,1.033852742
Hordenine,1.077256315,0.96012591,0.988150662,0.942009123,0.891269697,0.917284631,0.87445217,1.029188622,0.981130822,0.953305158
Glycolic acid,1.834457905,1.415272277,1.590820963,1.201034693,0.77149346,0.867188589,0.654708233,1.124038808,0.848624475,0.754977914
Hypoxanthine,0.603361406,0.595623123,0.701703376,0.896087303,0.987174715,1.162990156,1.485158471,1.17809962,1.504453517,1.277017233
Indoleacrylic acid,1.000623512,1.094952392,1.039458618,0.949588612,1.094270101,1.038810907,0.948996901,0.949318551,0.867241917,0.913541525
Isopentenyl-diphosphate,1.028329348,0.979267243,0.965440132,0.997244343,0.952289502,0.938843313,0.969771353,0.985880145,1.018357706,1.032942707
CAR(4:0(3Me)),0.869558007,0.915833133,0.730526288,0.638606375,1.053216836,0.840112197,0.734403421,0.797663091,0.697295558,0.874173026
Linoelaidic acid,0.451758127,1.077071387,1.425583792,0.498230881,2.384177111,3.155635075,1.102870875,1.3235741,0.462579256,0.349492526
CAR 18:2,1.424786406,1.289278896,1.026867941,1.874393216,0.904892755,0.72071711,1.31556085,0.796466881,1.453830682,1.825349826
Phe-Pro,0.911536352,0.949453039,0.927399121,0.91895046,1.041596462,1.017402235,1.00813364,0.976771977,0.967873526,0.990889941
Lysine,1.906895806,1.523902728,1.589908007,1.562862064,0.799153642,0.833767635,0.819584405,1.043313314,1.0255655,0.982988989
Methionine,1.026656693,0.98704596,0.984423108,1.018761148,0.961417743,0.958862992,0.99230946,0.997342725,1.03213142,1.034881384
Methylguanidine,0.994584721,1.132848191,1.093430007,1.10641758,1.139016282,1.099383475,1.112441762,0.965204354,0.976668885,1.011877827
Methylguanidine,1.276262164,1.066887859,0.781656106,1.027305677,0.83594726,0.612457321,0.804933113,0.732650671,0.962899398,1.31426809
N-Acetylglutamine,0.727871749,0.757233886,0.679798191,0.97935451,1.040339711,0.933953257,1.34550422,0.897738736,1.293331597,1.440654775
Nicotinuric acid,0.625438033,0.691172185,0.677704843,0.781277881,1.105100982,1.083568327,1.249169125,0.980515215,1.130366496,1.152829124
Norleucine,1.19044109,0.915394915,1.015178812,1.197341999,0.768954401,0.852775346,1.005796935,1.109006393,1.308005954,1.179439508
CAR(8:0),1.630269154,1.243686002,1.246974448,1.215280537,0.762871578,0.764888696,0.74544779,1.002644113,0.977160261,0.974583352
CAR 18:1,1.420022769,1.253605173,1.048934659,1.522504495,0.882806389,0.738674535,1.072169072,0.836734469,1.214500807,1.451476965
o-Tyrosine,0.946818656,1.027889634,0.996942331,1.070220657,1.08562461,1.052939044,1.130333301,0.969892387,1.041182459,1.073503074
Oxaloacetic acid,1.053799816,0.900391917,0.926078466,0.889059339,0.85442406,0.87879923,0.843670046,1.028528187,0.987413727,0.960025928
CAR(16:0),0.915565953,1.271443336,1.829646216,1.038785099,1.388696611,1.998377299,1.134582491,1.439030875,0.817012501,0.567751891
CAR(16:0),0.142976729,0.034267779,0.118257164,0.034391184,0.239673819,0.827107771,0.240536935,3.450972554,1.003601213,0.290816921
Phenylglyoxylic acid,1.057380334,1.023139517,0.997080161,0.963227946,0.967617313,0.942972107,0.910956933,0.974530007,0.9414434,0.966048653
Phenyllactic acid,0.054498611,0.038513048,0.103683942,0.043145578,0.706679451,1.902506147,0.791682162,2.692176976,1.120284679,0.416125941
Phosphoserine,1.022971046,0.993951812,0.984306543,0.989086801,0.971632399,0.962203716,0.966876633,0.990296039,0.995105386,1.004856474
Progesterone,1.666313636,1.338877182,1.18865568,1.308274727,0.803496505,0.713344508,0.785131141,0.887800387,0.977143195,1.100633891
Proline betaine,1.412084527,1.904676311,1.804238436,1.291811778,1.348840154,1.277712772,0.914826098,0.947267746,0.678231661,0.715987284
CAR(3:0),1.17007952,1.272110728,1.376346791,1.521739025,1.087200234,1.176284831,1.300543253,1.081939457,1.196231579,1.105636337
Quinic acid,1.010113169,0.746617561,0.832973118,0.965763974,0.739142489,0.824633461,0.956094826,1.11566237,1.293518964,1.159417937
Sphingosine,0.969334065,1.011669406,0.942391185,0.947408163,1.043674665,0.972204753,0.977380448,0.931520889,0.936479997,1.005323668
Sphingosine 1-phosphate,1.374169541,1.305335822,1.197818428,1.762979103,0.94990886,0.871667135,1.282941479,0.917632388,1.350594286,1.471824997
CAR(18:0),1.466795472,1.245383108,1.032619776,1.332855734,0.849050281,0.703997112,0.908685471,0.829158328,1.070237524,1.290751703
Succinyladenosine,0.970843905,1.26620972,1.299979158,1.054839991,1.304236154,1.339019746,1.086518632,1.026669704,0.833068941,0.811428386
Tetracosahexaenoic acid,1.265901743,1.16662584,1.13172897,1.262775637,0.921576928,0.89401012,0.99753053,0.97008735,1.082416996,1.115793331
CAR 14:0,1.33440015,1.148312866,1.066769023,1.334255872,0.860546116,0.799437128,0.999891878,0.928988131,1.161927129,1.250744859
Thiamine,1.49700808,1.090106806,1.307153225,1.792981265,0.728190329,0.873177134,1.197709811,1.199105645,1.644775772,1.371668776
Tiglylglycine,0.72714105,0.99166321,0.637462563,1.233811518,1.363783835,0.876669751,1.696798052,0.642821632,1.244184018,1.935504277
Tiglylglycine,1.397255685,1.072091507,0.901891477,1.188891535,0.767283696,0.645473471,0.850876148,0.841244867,1.108945951,1.318220169
Trimethylamine N-oxide,1.363747631,1.11581301,1.098787519,1.410528844,0.818196112,0.805711771,1.034303423,0.984741627,1.264126543,1.28371393
Undecylic acid,0.602923279,0.455439784,0.457044799,1.227751735,0.755385966,0.758048021,2.036331616,1.0035241,2.695749865,2.686283135
Uracil,1.301972437,1.096935243,1.194738393,1.149112653,0.842518023,0.91763724,0.882593687,1.089160367,1.047566536,0.961811105
Valine,1.057399956,1.022519363,1.069817088,1.038455272,0.967012867,1.011743079,0.98208371,1.046256068,1.015584947,0.970684881
Indoleacetic acid,0.634630892,0.67389843,0.725103106,1.241757353,1.061874609,1.142558793,1.956660744,1.07598278,1.842647642,1.712525215
Indoleacetic acid,0.966836079,0.988390562,1.007934806,0.964858937,1.022293834,1.042508475,0.99795504,1.019773807,0.976191978,0.957263239
Indoleacetic acid,0.983896581,0.958568632,0.944642783,0.948647468,0.974257509,0.960103735,0.964173965,0.985472246,0.989650022,1.004239364
"2,3-Dihydroxybutanoic acid",1.157640434,0.978221436,1.006367974,0.950709189,0.845013189,0.869326903,0.821247393,1.028773176,0.971875236,0.944693406
"2,3-Dihydroxybutanoic acid",0.881308879,0.843592623,1.034610635,0.862555241,0.957204271,1.173947817,0.978720698,1.226433953,1.022478407,0.833700343
"2,3-Dihydroxybutanoic acid",1.259914865,0.918141731,0.997182064,1.485935584,0.728733152,0.791467814,1.179393644,1.08608729,1.618416345,1.490134689
"2,3-Dihydroxybutanoic acid",0.886639406,1.063318186,1.331901624,1.648098725,1.199267909,1.502190873,1.85881511,1.252589903,1.549958184,1.237402745
2-Aminobutyric acid,1.053013003,1.099427221,1.114332645,1.079290368,1.044077536,1.05823256,1.024954455,1.013557445,0.981684233,0.968553127
Fumaric acid,1.001544008,0.937352244,1.0205358,0.933880629,0.935907197,1.018962515,0.932440933,1.088743113,0.996296359,0.915088553
2-Hydroxypyridine,0.990831179,0.976546781,0.983607234,1.005546192,0.985583419,0.992709207,1.014851181,1.007230021,1.029695875,1.022304592
2-Hydroxypyridine,0.924021885,1.049460165,0.980373903,0.904959601,1.1357525,1.060985589,0.979370311,0.934169715,0.862309624,0.923075979
2-Hydroxypyridine,0.954899835,1.097000306,1.144794477,0.978033928,1.148811912,1.198863414,1.024226721,1.043568056,0.891553013,0.854331452
2-Hydroxypyridine,1.111284034,1.2490567,1.282888888,0.986481359,1.123976105,1.154420336,0.88769507,1.02708619,0.789781087,0.768953078
Pipecolic acid,1.332725676,0.93406348,1.574404428,1.852252243,0.700867025,1.181341709,1.389822584,1.685543287,1.98300467,1.176478044
Pipecolic acid,1.229604978,0.881576747,0.858587641,1.542154473,0.716959318,0.698262984,1.254186913,0.97392274,1.749313917,1.796152657
Pipecolic acid,1.133011909,0.970137445,0.973080637,0.868405111,0.856246467,0.858844138,0.766457178,1.003033789,0.895136164,0.892428724
Pipecolic acid,0.638909355,0.449761818,0.589475113,0.360035833,0.703952469,0.922627143,0.563516296,1.310638407,0.800503331,0.610773594
3-Amino-2-piperidone,0.728529977,0.831362092,0.849520976,0.527159132,1.141150149,1.166075525,0.723592918,1.021842328,0.634090893,0.620536922
3-Aminosalicylic acid,1.018722332,1.033271906,0.978281974,1.0063215,1.014282179,0.960302865,0.987827074,0.946780772,0.973917411,1.028662009
3-Hydroxybutyric acid,0.942438643,0.639113403,0.564595957,0.899374839,0.678148554,0.599079803,0.954305986,0.883404971,1.407222622,1.592953027
3-Hydroxybutyric acid,0.588023308,0.693512196,0.777694519,1.404070814,1.179395758,1.322557301,2.387780883,1.121385499,2.024579846,1.805427169
3-Hydroxypyridine,0.987281779,0.91384388,0.8956692,1.033241676,0.925616069,0.907207262,1.046551954,0.980111833,1.130654479,1.153597417
Ketoisovaleric acid,1.111536724,1.220201508,1.309245684,1.138862176,1.097760859,1.177869931,1.024583491,1.072974976,0.933339427,0.869861318
3-Phosphoglyceric acid,1.257479788,1.011307803,1.039648002,1.009958536,0.804233843,0.826771143,0.803160851,1.028023317,0.99866582,0.971442771
3-Phosphoglyceric acid,1.099378978,0.948123022,0.954987704,0.852551944,0.86241691,0.868661056,0.775485034,1.007240286,0.899199708,0.892736043
5-Hydroxy-tryptophan,1.167871023,1.044479656,1.296344931,1.01615319,0.89434504,1.110006932,0.870090249,1.241139474,0.972879829,0.783860194
Pyroglutamic acid,0.440700158,0.417958346,0.423527674,0.533706015,0.948396179,0.961033633,1.211041124,1.013325079,1.276935895,1.260144373
Pyroglutamic acid,0.916164312,1.205656272,1.179228111,0.963502557,1.315982576,1.287136047,1.051670038,0.978079855,0.799151947,0.817062066
Pyroglutamic acid,0.781180111,0.731176893,0.573203545,1.26688197,0.935990155,0.733766179,1.621754001,0.783946472,1.732661388,2.210178183
Pyroglutamic acid,0.785354542,0.972822302,1.194656923,1.103850355,1.238704622,1.521168922,1.405543988,1.228032006,1.134688579,0.923989419
Pyroglutamic acid,1.291340241,1.048193119,1.08222176,0.998619128,0.811709483,0.838060897,0.773319917,1.032464095,0.952705288,0.922749074
Pyroglutamic acid,0.909350552,1.092038851,1.08704554,1.01958499,1.200899751,1.195408676,1.12122326,0.995427533,0.933652671,0.937941377
Oxoglutaric acid,0.369318481,0.352656276,0.354289419,0.490846733,0.954883912,0.959305959,1.329060849,1.004630978,1.391855943,1.385440001
Alanine,0.799608375,0.892826244,1.004057914,0.825519169,1.116579405,1.25568709,1.032404355,1.124583782,0.924613467,0.822182822
Alloisoleucine,0.86104503,1.069025936,1.020985497,0.933611777,1.241544749,1.185751571,1.084277528,0.955061485,0.873329398,0.914422173
Aminomalonic acid,1.106188967,0.84283391,0.86623982,0.93195192,0.761925796,0.783084848,0.842488894,1.027770489,1.105736147,1.075859015
2-Aminobenzoic acid,1.084604098,0.942149568,0.938638847,0.852024186,0.868657577,0.865420709,0.785562389,0.996273712,0.904340685,0.907723123
Arabinofuranose,0.91079624,1.576591477,1.334242411,0.956524735,1.731003497,1.464918663,1.050207162,0.846282902,0.606704241,0.71690476
Arachidonic acid,0.507267626,0.45159828,0.433506298,0.496222207,0.890256458,0.854590903,0.978225658,0.959937886,1.098813324,1.144671275
Asparagine,2.168993449,2.405560868,2.490457393,2.315930157,1.109067834,1.148208813,1.067744191,1.03529178,0.962740203,0.929921613
Aspartic acid,0.237757269,0.506978897,0.250691683,0.324251444,2.132338154,1.054401759,1.363791926,0.494481495,0.639575821,1.293427211
Benzoic acid,0.359519575,0.286055058,0.304331845,0.286489526,0.795659199,0.846495896,0.79686767,1.063892551,1.00151883,0.94137216
beta-Alanine,1.102149715,1.000679393,0.864070381,0.942726148,0.907934176,0.783986394,0.855352168,0.863483736,0.942086101,1.091029352
Cadaverine,1.393425207,1.280314811,1.375741636,1.522923167,0.918825642,0.987309278,1.092934992,1.074533875,1.189491174,1.10698341
Caproic acid,0.720951557,0.773221575,0.799104596,0.727883558,1.072501429,1.108402621,1.009615071,1.03347426,0.941364779,0.910873948
Cholesterol,1.546070705,1.251930731,1.27888002,1.199097287,0.809749986,0.827180811,0.775577264,1.021526182,0.957798429,0.937615154
Cholesterol,0.947196483,0.938830545,0.944773159,0.924733859,0.991167685,0.997441582,0.976285149,1.006329804,0.984984845,0.978789301
Citric acid,1.280597841,1.023408204,1.192479023,1.106812078,0.799164399,0.931189313,0.864293257,1.165203698,1.081496195,0.928160627
Creatine,1.012369098,1.127502209,1.041544842,0.872640682,1.113726417,1.028819276,0.861978782,0.923763017,0.773959177,0.837833041
Cyclohexanone,0.94520401,0.978898731,1.005581299,0.932267156,1.035648094,1.063877521,0.986313163,1.027257741,0.952363229,0.927092774
Cyclohexanone,0.953836832,0.959385162,0.986388034,0.932804701,1.005816855,1.034126594,0.977949969,1.028146018,0.972294275,0.945677227
Cysteine,1.880357109,1.880574197,1.812029433,1.833512937,1.00011545,0.963662394,0.975087619,0.963551151,0.974975058,1.011856046
Cystine,2.077188546,1.941055275,2.045301959,2.095675662,0.934462728,0.984649161,1.008900066,1.05370619,1.0796579,1.024628981
Capric acid,1.144492143,0.980101288,1.234669933,1.8820549,0.856363491,1.078792843,1.644445452,1.259737079,1.920265715,1.524338488
Fructose,0.909734405,0.778541163,1.611909724,0.754618782,0.855789513,1.771846503,0.829493508,2.070423248,0.969272812,0.468152013
Galactose,1.194099089,1.203716216,1.318786075,0.760759101,1.008053877,1.104419297,0.637098804,1.095595505,0.632008684,0.576863159
Glucuronic acid,0.68696892,0.593268554,1.051661245,0.901314915,0.863603195,1.53087165,1.312017018,1.772656307,1.519235948,0.857039203
Lauric acid,0.895891177,0.946219734,0.975979611,0.994540381,1.056177088,1.089395271,1.110112933,1.031451338,1.051067046,1.01901758
Ribose,0.995060138,1.228387308,1.18748941,0.981998835,1.234485496,1.193384565,0.986873855,0.966706023,0.799421183,0.826953762
Xylose,0.885711975,0.696423198,0.783632872,1.377520066,0.786286307,0.884749099,1.555268648,1.125225113,1.977992791,1.757864065
Elaidic acid,0.610812109,0.517426637,0.904726054,0.990463469,0.847112606,1.481185526,1.621551792,1.748510784,1.914210438,1.094766161
Erythrose,0.939959532,1.080019318,1.100661739,0.990171639,1.149006187,1.170967155,1.053419435,1.019113011,0.916809193,0.899614844
Galactonic acid,1.138465917,1.154236847,1.332185944,1.124034402,1.01385279,1.170158829,0.987323718,1.154170349,0.973833408,0.843751886
Glucose,0.998565856,1.071171825,1.259464047,0.736673351,1.072710246,1.261272894,0.737731364,1.17578153,0.687726595,0.584910187
Glutamic acid,0.167759156,0.150419235,0.142142909,0.256008762,0.896638006,0.84730343,1.526049411,0.944978268,1.701968242,1.801066013
Sorbitol,0.795839613,0.920926651,1.101643654,1.060573813,1.157176191,1.384253355,1.33264768,1.196233871,1.151637659,0.962719487
Glyceraldehyde,1.011262368,1.024698149,0.956594307,1.067322415,1.013286147,0.945940774,1.055435709,0.933537655,1.0415969,1.115752422
Glyceric acid,1.137024231,0.902734293,1.058658685,0.847612701,0.79394464,0.931078386,0.74546582,1.17272457,0.938939295,0.800647756
Glycerol,0.824892167,0.816794451,0.717373764,1.315471801,0.990183304,0.869657627,1.594719714,0.878279429,1.610529796,1.833732799
sn-Glycero-3-phosphate,0.155798161,0.130307422,0.146025007,0.156714023,0.836386132,0.937270412,1.005878517,1.120619264,1.202648487,1.073199905
Glycine,0.948576414,0.81480602,0.725026905,0.886627283,0.858977735,0.764331575,0.934692524,0.889815352,1.088145229,1.222888801
Glycine,1.055189372,0.902162201,0.904221764,0.963122795,0.854976581,0.856928423,0.912748764,1.002282919,1.067571656,1.065140028
Glyoxylic acid,1.697879858,1.575069993,1.785964979,1.621595716,0.927668696,1.051879478,0.955070943,1.133895628,1.029538829,0.907966134
Heneicosanoic acid,1.021178683,0.982786182,0.974493562,0.961969439,0.962403739,0.954283103,0.942018723,0.991562132,0.978818645,0.987148069
Palmitic acid,0.714921593,0.671489229,0.600267389,1.16497474,0.939248774,0.839626884,1.629513995,0.893934501,1.734912028,1.94075967
Hydroxycarbamic acid,0.956781578,0.855428167,0.925432824,0.765010726,0.894068392,0.967235203,0.799566739,1.08183581,0.894301538,0.826651818
Hypotaurine,3.225581972,3.522687975,3.593788871,3.274528533,1.092109271,1.114152082,1.01517449,1.020183705,0.929553953,0.911163302
Myo-inositol,1.130127911,0.927063441,1.121430572,1.011088599,0.820317269,0.992304111,0.894667399,1.209658932,1.090635822,0.901606059
Isoleucine,0.662484699,0.724124292,0.760672913,0.798119878,1.093043044,1.148212049,1.204737074,1.050472856,1.102186305,1.049228734
Lactic acid,0.47587732,0.584935175,0.571894984,0.67414791,1.229172205,1.201769783,1.416642235,0.977706605,1.152517304,1.178796684
Homoserine,0.671838957,0.746561889,0.86057303,1.033228014,1.111221494,1.280921597,1.537910244,1.152714921,1.383981728,1.200627929
Leucine,0.873254553,1.048014085,1.006966819,0.929607227,1.200124387,1.15311946,1.064531784,0.960833288,0.887017876,0.92317563
Lysine,0.872422482,1.131306162,1.025357431,0.948188505,1.296741184,1.175299184,1.086845564,0.906348313,0.838136074,0.924739487
Methionine,0.865693905,1.038297949,1.015133516,0.899182407,1.199382302,1.172624076,1.038683998,0.977689995,0.866015779,0.885777479
Ornithine,1.262651292,1.296227847,1.067981067,1.433542612,1.026592104,0.845824238,1.135343242,0.823914615,1.105934127,1.342292158
D-Threonic acid,1.491312655,0.894189953,1.0613557,1.047618833,0.599599252,0.711692278,0.702481019,1.186946573,1.171584214,0.987057244
Tryptophan,0.959765674,1.018707057,0.989192955,0.843588787,1.061412264,1.030660902,0.878952863,0.971027882,0.828097519,0.852805089
Tyrosine,0.91552575,0.997815349,0.984258171,0.981174589,1.089882343,1.075074263,1.071706163,0.986413139,0.983322806,0.996867101
Malic acid,0.682105269,0.744314708,0.822938892,0.842678532,1.09120211,1.206469045,1.235408332,1.105632984,1.13215354,1.023986763
Maleimide,1.009095303,0.942394197,1.024196744,1.114169358,0.933900093,1.014965327,1.104126988,1.086802898,1.182275275,1.087847002
Mannitol,1.431940288,2.846697081,2.790570554,2.699997387,1.987999853,1.948803716,1.88555166,0.980283632,0.9484667,0.967543137
Methylcysteine,0.978800652,1.031297958,1.197942693,1.432070186,1.053634319,1.223888327,1.46308667,1.161587379,1.388609542,1.195441314
Myo-inositol,1.252188713,1.064256655,1.201415598,1.176599018,0.849917145,0.959452505,0.939633943,1.128877693,1.105559465,0.979343884
Myristic acid,0.84714828,0.726370498,0.672049295,1.610314907,0.857430175,0.793307748,1.900865462,0.92521557,2.216933248,2.396126177
Myristoleic acid,0.743823362,0.879987578,0.868239047,0.530585231,1.183059881,1.167265095,0.713321547,0.986649208,0.602946274,0.611105009
