,Cisplatin+PARP inhibitor_24(Cisp)+48(PI)h vs cisplatin_24h,control_24h vs cisplatin_24h,control_48h vs cisplatin_24h,EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor_48h vs cisplatin_24h,methyl methanesulfonate_1+23 (recovery)h vs cisplatin_24h,Methyl methanesulfonate+PARP inhibitor_48PI+1+23(MMS)h vs cisplatin_24h,Radiation Ionizing Radiotherapy_8 Gy (sample extraction after 48 hours)h vs cisplatin_24h,Zeocin_24h vs cisplatin_24h,control_24h vs Cisplatin+PARP inhibitor_24(Cisp)+48(PI)h,control_48h vs Cisplatin+PARP inhibitor_24(Cisp)+48(PI)h,EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor_48h vs Cisplatin+PARP inhibitor_24(Cisp)+48(PI)h,methyl methanesulfonate_1+23 (recovery)h vs Cisplatin+PARP inhibitor_24(Cisp)+48(PI)h,Methyl methanesulfonate+PARP inhibitor_48PI+1+23(MMS)h vs Cisplatin+PARP inhibitor_24(Cisp)+48(PI)h,Radiation Ionizing Radiotherapy_8 Gy (sample extraction after 48 hours)h vs Cisplatin+PARP inhibitor_24(Cisp)+48(PI)h,Zeocin_24h vs Cisplatin+PARP inhibitor_24(Cisp)+48(PI)h,control_48h vs control_24h,EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor_48h/control_24h,methyl methanesulfonate_1+23 (recovery)h vs control_24h,Methyl methanesulfonate+PARP inhibitor_48PI+1+23(MMS)h vs control_24h,Radiation Ionizing Radiotherapy_8 Gy (sample extraction after 48 hours)h vs control_24h,Zeocin_24h vs control_24h,EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor_48h vs control_48h,methyl methanesulfonate_1+23 (recovery)h vs control_48h,Methyl methanesulfonate+PARP inhibitor_48PI+1+23(MMS)h vs control_48h,Radiation Ionizing Radiotherapy_8 Gy (sample extraction after 48 hours)h vs control_48h,Zeocin_24h vs control_48h,methyl methanesulfonate_1+23 (recovery)h vs EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor_48h,Methyl methanesulfonate+PARP inhibitor_48PI+1+23(MMS)h vs EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor_48h,Radiation Ionizing Radiotherapy_8 Gy (sample extraction after 48 hours)h vs EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor_48h,Zeocin_24h vs EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor_48h,Methyl methanesulfonate+PARP inhibitor_48PI+1+23(MMS)h vs methyl methanesulfonate_1+23 (recovery)h,Radiation Ionizing Radiotherapy_8 Gy (sample extraction after 48 hours)h vs methyl methanesulfonate_1+23 (recovery)h,Zeocin_24h vs methyl methanesulfonate_1+23 (recovery)h,Radiation Ionizing Radiotherapy_8 Gy (sample extraction after 48 hours)h vs Methyl methanesulfonate+PARP inhibitor_48PI+1+23(MMS)h,Zeocin_24h vs Methyl methanesulfonate+PARP inhibitor_48PI+1+23(MMS)h,Zeocin_24h_9 vs Radiation Ionizing Radiotherapy_8 Gy (sample extraction after 48 hours)h
myo-inositol,1.127666576,1.006853218,1.168899618,1.29059047,1.061782096,1.465830037,1.12763837,1.104264832,0.892864291,1.036564923,1.144478783,0.941574503,1.299878943,0.999974987,0.979247639,1.16094342,1.281805974,1.054555001,1.455852761,1.119963019,1.096748575,1.104107188,0.908360376,1.254025593,0.964700777,0.944704588,0.822710318,1.135782474,0.873738336,0.855627604,1.380537534,1.062024284,1.040010786,0.769283165,0.753337566,0.979272133
NAD+,0.875104108,0.926848033,0.88411679,0.915730727,0.443772654,0.777809523,0.904004124,0.904229743,1.059128879,1.010298983,1.046424898,0.507108411,0.888819417,1.03302466,1.03328248,0.953896172,0.988005255,0.478797644,0.839198547,0.975353123,0.975596549,1.035757648,0.501938951,0.879758796,1.022494012,1.022749203,0.484610422,0.849386725,0.987194267,0.987440648,1.752720714,2.037088395,2.037596806,1.162243579,1.162533649,1.000249578
acetylcarnitine,1.680204192,0.106160565,0.608501818,0.880531609,0.119887579,0.11707748,0.105368153,0.111977507,0.063183133,0.362159445,0.524062262,0.071352982,0.069680507,0.062711516,0.066645178,5.731900689,8.294337974,1.129304261,1.102833987,0.992535714,1.054793809,1.447048444,0.197020905,0.192402843,0.173159963,0.184021648,0.136153634,0.132962268,0.119664248,0.127170343,0.976560547,0.878891321,0.934020924,0.899986512,0.956439338,1.062726302
phosphocholine,0.925237262,1.060016753,1.026727999,1.004665867,0.939740781,1.0919536,1.516802876,1.055144245,1.145670193,1.10969158,1.085846742,1.015675459,1.18018766,1.639366396,1.140403967,0.968596012,0.947783009,0.886533895,1.030128625,1.430923494,0.995403367,0.978512194,0.915277251,1.063527634,1.477317145,1.027676508,0.935376439,1.086882351,1.509758543,1.050243946,1.161973197,1.614065183,1.122803507,1.389072646,0.966290367,0.695637028
L-phenylalanine,0.643402695,1.183517668,1.061890708,0.797194035,1.112858271,0.873210706,1.421004198,1.080833338,1.839466445,1.650429376,1.239028126,1.729645026,1.357176016,2.208576696,1.679870704,0.897232662,0.673580173,0.940297134,0.737809608,1.200661584,0.913238025,0.750730776,1.047996995,0.822316929,1.338183099,1.017838587,1.395969139,1.095355293,1.782507314,1.355797071,0.784655808,1.276895931,0.971222811,1.627332542,1.237769224,0.760612347
Pyruvic acid,0.752420431,1.067776173,0.873993076,0.610088632,0.658213171,0.388769558,0.714388568,0.902580414,1.419121715,1.161575416,0.81083475,0.874794389,0.516691922,0.949453973,1.199569252,0.818517118,0.571363782,0.616433657,0.364092746,0.669043369,0.8452899,0.698047443,0.753110282,0.444819953,0.8173847,1.032708884,1.078881226,0.637234556,1.170958661,1.479425064,0.590643845,1.085345294,1.371258512,1.83756303,2.321633456,1.263430652
L-serine,0.683026839,1.023402044,0.792547888,0.802659002,1.253133204,1.084347356,0.77494846,1.08857734,1.498333572,1.160346625,1.175150017,1.834676372,1.587561855,1.134579807,1.593754854,0.774424765,0.784304669,1.224477918,1.059551681,0.757227782,1.063684939,1.012757733,1.581145093,1.368178974,0.977793862,1.373516171,1.561227372,1.350943992,0.96547657,1.356213957,0.865308934,0.618408687,0.86868446,0.714668095,1.003900949,1.404709342
Choline glycerophosphate,1.072580677,1.001958409,1.257755644,1.344778975,1.361114287,2.131371921,1.499044745,0.955347935,0.934156685,1.172644325,1.253778857,1.269008772,1.987143687,1.397605586,0.890700304,1.255297258,1.342150495,1.358453879,2.127205981,1.49611474,0.95348063,1.069189378,1.082177046,1.694583468,1.191841,0.759565612,1.01214721,1.58492359,1.114714591,0.710412605,1.565902247,1.101336426,0.701886641,0.703323869,0.448231454,0.637304482
taurine,0.89892038,1.11628674,0.995629911,1.007169662,1.049847428,1.34121727,1.163677601,1.169928942,1.241808246,1.10758409,1.120421435,1.167898127,1.492031219,1.294527999,1.301482276,0.891912333,0.902249956,0.940481858,1.201498882,1.042454021,1.048054142,1.011590402,1.054455492,1.347104236,1.168785297,1.175064077,1.042373959,1.331669649,1.155393817,1.161600658,1.277535416,1.108425443,1.114379967,0.867627957,0.872288904,1.005372056
L-threonine,0.926218164,1.092650041,0.734365138,0.739410959,0.832249549,0.516877621,0.703991781,1.090384948,1.179689714,0.792864107,0.798311875,0.898545916,0.5580517,0.760071232,1.177244185,0.672095465,0.676713432,0.761679877,0.47304956,0.644297583,0.997926973,1.006870998,1.133291201,0.703842808,0.95863998,1.484799444,1.125557497,0.699039708,0.952098116,1.47466701,0.621060861,0.845890253,1.310165863,1.362008631,2.109561149,1.548860338
L-tryptophan,0.902938004,1.053994976,0.959535119,0.843189887,0.910703665,0.739804256,1.128150906,1.020776239,1.167294954,1.062681064,0.933829214,1.008600437,0.819330068,1.249422331,1.130505345,0.910379215,0.799994218,0.864049342,0.701904917,1.070357005,0.968483022,0.878748334,0.949109259,0.771002793,1.17572654,1.063823741,1.080069483,0.877387487,1.337955926,1.210612526,0.812343559,1.238768382,1.120865412,1.524931623,1.379792331,0.904822426
L-tyrosine,0.912574331,1.018158823,0.940149626,0.847183685,0.883162492,0.694538521,1.098431896,0.971078839,1.115699608,1.030217041,0.928344856,0.967770473,0.761076109,1.203662933,1.064109307,0.923382094,0.832074198,0.867411323,0.682151454,1.078841406,0.953759686,0.901115803,0.939385037,0.738753175,1.168358594,1.032898181,1.04246872,0.819820463,1.296568754,1.146243555,0.786422122,1.243748354,1.099547193,1.58152768,1.398164118,0.884059214
UDP-GlcNAc,1.073025899,0.876600719,0.986589242,0.998619147,0.949364704,1.000340444,0.782590655,0.844778496,0.81694274,0.919445879,0.930657077,0.884754696,0.932261229,0.72933063,0.787286212,1.125471632,1.13919499,1.083006988,1.141158594,0.892756119,0.963698155,1.012193428,0.962269467,1.013938123,0.79322845,0.856261613,0.95067745,1.001723677,0.783672793,0.845946624,1.053694581,0.824330894,0.889835584,0.782324318,0.844490994,1.079464072
L-valine,0.68705684,1.258666583,0.925222638,0.755322295,1.067341751,0.765146538,1.208187605,1.218064465,1.831968638,1.346646427,1.099359255,1.553498473,1.113658279,1.758497311,1.772872919,0.735081594,0.600097202,0.847994032,0.60790248,0.959894877,0.967741959,0.816368152,1.153605313,0.826986399,1.305834461,1.316509578,1.41309446,1.013006689,1.599565659,1.612642011,0.716871177,1.131959472,1.141213172,1.579027737,1.591936192,1.008174939
D-Sorbitol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-methylguanidine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.646814225,0,0,0,0,NA
