,TGF-É¿-treated vs Unstimulated(A549 cells_24h),TGF-É¿ vs Unstimulated(A549 cells_48h),TGF-É¿ vs Unstimulated(A549 cells_72h)
N-Acetylglucosamine 6-phosphate,0.861846239,0.690045889,0.822388888
N-Acetylglutamate,1.086543281,0.842435759,0.739790597
N-Acetylmethionine,1.135173617,1.163891517,1.228881735
N-Acetylneuraminate,1.249103261,1.205934363,1.414446646
N-Acetylputrescine,1.526425945,1.549311336,2.358268265
N-Formylmethionine,NA,0.951152166,NA
"N,N-Dimethylglycine",NA,1.748711738,1.269811877
N1-Acetylspermidine,2.513274085,1.471620494,1.269975632
"N6,N6,N6-Trimethyllysine",0.894860855,1.220145007,1.068260861
NAD+,1.170418523,0.912923291,0.774558865
NADH,1.26239054,0.985449465,1.299399534
NADP+,0.965641277,0.717732539,0.454944648
NADPH,NA,0.91246763,NA
Nicotinamide,1.29811745,0.905491676,0.534874482
o-Acetylcarnitine,1.127543336,1.16908825,1.144850106
O-Phosphoserine,1.203632994,1.061106337,1.179041504
Octanoate,1.370838967,1.413490765,1.223065099
Ornithine,1.556081741,1.433996996,1.073667431
Pantothenate,1.180366585,1.046032823,0.894485181
Pelargonate,1.267448221,1.149308364,0.948258003
Pentanoate,1.255679683,1.345591025,1.067946402
PEP,1.060481858,1.123309265,0.800260657
Phe,0.949564884,0.821208013,0.855556129
Phosphorylcholine,1.075575791,1.083117417,1.281571898
Phthalate,1.429958149,0.935825698,1.443346375
Pimelate,0.968647786,1.130280531,1.134268922
Pro,1.006080936,0.871868886,0.677228487
Propionate,NA,1.387570192,NA
PRPP,1.027135101,1.545931953,0.402071238
"Putrescine(1,4-Butanediamine)",1.053924492,0.914980521,1.073769957
Pyridoxal,NA,1.621115335,1.347941132
Pyridoxamine 5'-phosphate,NA,0.863959462,0.692520915
Pyridoxine,1.271975041,1.290939501,1.099063179
Pyruvate,1.445039974,0.839986607,0.65482962
R5P,1.409369425,1.464716833,1.030758577
"Ribulose 1,5-diphosphate",2.704162232,2.539793924,1.489341022
Ru5P,1.31909035,1.319956519,1.487480193
S7P,1.012507416,0.926770005,0.971664401
Saccharate,1.796398923,2.17005581,2.578875598
SAH,0.972952354,0.811673048,0.585770627
SAM+,0.959458248,0.963300137,0.777329233
Sarcosine,1.783300975,0.785851444,0.595937548
Sebacate,1.12323823,1.202971281,1.041500138
Ser,0.933566849,0.946178208,1.481125601
Spermidine,0.844898404,1.035846265,0.805093275
Spermine,NA,1.29522913,0.722700034
Succinate,1.150041646,1.072779484,0.991956872
Taurine,1.085823249,0.988728865,1.118034284
Terephthalate,0.97365635,1.164110024,1.029933165
Thiamine,1.382071491,1.59036558,1.589939017
Thr,0.898039305,0.715313854,0.695270957
threo-beta-methylaspartate + Glu,1.334756389,1.358323256,1.692536736
Threonate,1.260645094,1.538327958,1.316918436
Thymidine,1.343165826,1.166770723,1.206043065
Trimethylamine N-oxide,NA,NA,0.712597877
Trp,0.951026473,0.838534367,0.945485949
Tyr,0.929511113,0.773929554,0.716563423
UDP,1.160110153,0.735393855,0.437178896
UDP-glucose,1.045884508,0.950552415,0.868104853
UDP-glucuronate,0.909654072,0.780586815,0.708912889
UDP-N-acetylglucosamine,1.218640283,1.012514542,0.896067533
UMP,1.03877997,0.739190028,0.482531632
Urate,2.060806401,1.52410348,0.596064249
Urea,1.487213697,1.108622178,1.108821124
UTP,0.884108468,1.121272497,0.777100908
Val,0.968442405,0.876876258,0.982011267
XMP,NA,0.902904989,1.230939456
