,     TP-UP DKO mice vs WT mice        
Cysteine-glutathione disulphide-Divalent,0.766666667
Cytidine,0.810416667
Cytosine,1.243478261
dCMP,#DIV/0!
DHAP,1.500496032
Dodecanoate,0.746934225
dTDP,1.616666667
dTMP,1.532934132
Ectoine,0.92195122
Ethanolamine phosphate,0.636317907
"F1,6P",0.692969145
F6P,1.654929577
FAD,0.772357724
Fumarate,1.14608076
G1P,1.542476602
G3P,1.205882353
G6P,1.726686508
GABA,1.574074074
gamma-Butyrobetaine,1.580202743
gamma-Glu-2AB,1
gamma-Glu-cys,1.473922902
gamma-Guanidinobutyrate,1.277056277
GDP,0.737527115
GDP-mannose,1.049618321
Gln,1.026985425
Glu,1.260003671
Gluconate,1.337719298
Glucosamine,0.78821207
Glucuronate,0.550824176
Glu-Glu,0.877570093
Glutarate,1.022954092
Glutathione (GSSG),0.934300484
Glutathione (GSH),1.285775599
Gly,0.750296092
Glycerophosphate,0.785607406
Glycerophosphorylcholine,0.600533532
Glycolate,0.858974359
Gly-Gly,0.956959707
Gly-Leu,1.105072464
GMP,0.823914337
GTP,0.676666667
Guanidinoacetate,0.871111111
Guanidinosuccinate,2.024584237
Guanine,0.862573099
Guanosine,0.680093403
Hexanoate,0.980392157
Hippurate,0.985617597
His,1.04174185
Histamine,1.1
Homoserine,1.080586081
Homovanillate,0.822295806
Hydroxyproline,0.842293907
Hypotaurine,0.936663693
Hypoxanthine,0.874213836
Ile,0.898564905
Imidazole-4-acetate,1.22605364
IMP,0.842964594
Indole-3-acetamide,0.764705882
Inosine,0.84627451
Isethionate,1.144834931
Isoamylamine,#DIV/0!
Isobutyryl CoA,0.682036503
Isocitrate,1.065400844
Itaconate,0.560897436
Kynurenine,0.848642173
Lactate,0.98930251
Leu,0.867943186
Lys,0.972562358
Malate,1.312796209
Malonate,0.761997406
Melatonin,1.146666667
Met,1.032377919
Methionine sulfoxide,1.0639413
Methyl sulfate,1.016766467
Mucate,0.846153846
"N,N-Dimethylglycine",0.839015152
N1-Acetylspermidine,1.01010101
"N6,N6,N6-Trimethyllysine",0.774509804
N8-Acetylspermidine,0.852631579
N-Acetylaspartate,0.730088496
N-Acetylglucosamine,0.983333333
N-Acetylglucosamine 1-phosphate,0.918764988
N-Acetylglucosamine 6-phosphate,1.040880503
N-Acetylglutamate,0.841894977
N-Acetylhistidine,0.874704492
N-Acetylmethionine,0.803357314
N-Acetylneuraminate,0.789855072
N-Acetylornithine,1.03030303
N-Acetylvaline,0.896666667
NAD+,0.867543297
NADH,0.868696187
NADP+,0.829434698
NADPH,0.635526316
N-epsilon-Acetyllysine,1.081267218
Nicotinamide,0.816465551
N-Methylglutamate,#DIV/0!
o-Acetylcarnitine,0.992158426
o-Hydroxybenzoate,1.278877888
Ophthalmate,1.239451477
Ornithine,0.925247902
Pantothenate,0.872011252
Pelargonate,1.329787234
PEP,0.69493007
Phe,0.870685214
Phenaceturate,0.955284553
Phosphorylcholine,1.486002604
Phthalate,0.554913295
Pimelate,0.992509363
Pipecolate,1.119496855
Pro,0.832303255
Proline betaine,0.985793486
Pterin,0.510638298
"Putrescine (1,4-Butanediamine)",0.815789474
Pyridoxal,0.788679245
Pyridoxamine 5'-phosphate,0.806595365
Riboflavin,1.043771044
Ru5P,0.861563518
S7P,1.539264829
Saccharate,0.658333333
Saccharopine,1.402847571
SAH,1.112730807
SAM+,0.804663609
Sarcosine,1.002136752
SDMA,1.174377224
Sebacate,0.988562092
Ser,0.689375507
Serotonin,0.88627451
S-Lactoylglutathione,1.001461988
S-Methylmethionine,1.064453125
Spermidine,1.233974359
Spermine,1.107899807
Succinate,1.214134412
Taurine,1.100832992
Taurocholate,1.084337349
Taurocyamine,0.931972789
Terephthalate,0.426724138
Thiamine,0.812302839
Thiamine monophosphate,0.702811245
Thr,0.888213981
Threonate,0.779424978
Thymidine,1.69047619
trans-Aconitate,0.896551724
Trehalose 6-phosphate,0.94312455
Trigonelline,1.506410256
Trimethylamine N-oxide,1.63507109
Trp,1.120107962
Tyr,0.944268357
UDP,0.88559322
UDP-glucose,0.765012585
UDP-glucuronate,0.636721113
UDP-N-acetylglucosamine,0.924122807
UMP,0.91062058
Uracil,1.746575342
Urate,1.198830409
Urea,1.100580178
Uridine,1.791472868
UTP,0.786259542
Val,0.902543958
Xanthine,1.113445378
Xanthosine,1.24015748
