,Adenocarcinoma_Current_F vs Healthy_Current_F,Adenocarcinoma_Current_M vs Healthy_Current_M,Adenocarcinoma_Former_F vs Healthy_Former_F,Adenocarcinoma_Former_M vs Healthy_Former_M
Aminomalonic acid,1.466154175,0.775681342,0.988246453,1.123705263
Arabinose,0.851190476,0.906768838,1.469236078,1.219506726
Arabitol,0.969169387,0.617777778,1.566919084,1.16085086
Arachidic acid,0.878043472,1.09938987,0.929719184,0.816976616
Arachidonic acid,1.091748283,1.156441182,0.890931551,0.97452413
Asparagine,1.297567345,1.630824373,0.796598048,0.715554413
Aspartic acid,1.4991096,0.867155664,0.530725456,1.17473736
Azelaic acid,0.915824916,0.96969697,0.932418382,1.079931973
Behenic acid,0.877536739,1.174863388,0.82600321,0.681925344
Benzoic acid,1.341353311,0.93575282,1.085772842,1.03450468
Benzyl alcohol,0.72230435,1.198370008,1.304901298,1.173098539
beta-Alanine,1.095951192,0.234449147,0.797175924,1.123414376
Sitosterol,1.292307692,0.926860841,1.215428034,1.054336989
"2,3-Butanediol",0.562298985,15.36142322,0.382598511,1.282483246
Capric acid,1.682818686,1.134758223,1.154545253,0.909228471
Caprylic acid,1.244705882,0.892819541,1.260355587,0.988653429
Cellobiotol,0.757369615,1.015175301,1.290846878,2.20049505
Cholesterol,0.926362661,0.935679931,0.74349053,0.856000814
Citric acid,1.314596508,1.206713298,1.051303176,0.913446038
Citrulline,1.408690075,0.688510266,0.930860465,0.66030649
Conduritol epoxide,0.774408733,1.444925445,0.910430352,1.035128037
Creatinine,1.116452256,0.947099004,1.711712212,0.806361383
Creatinine,0.95473251,1.482895784,0.956568829,0.567204301
Cysteine,1.249805274,3.137280276,0.80940904,0.925486133
Cys-Gly,0.805608668,2.437971953,0.88847352,0.928206583
Cystine,0.8503024,0.772395037,0.862396969,0.942857647
CDP,0.625783053,0.816666667,1.351999152,1.126712329
CDP,0.749376617,2.63717922,1.34125206,0.815563199
CDP,1.096274794,0.630672323,2.745299145,1.163931063
3-(3-Hydroxyphenyl)propanoic acid,0.345317563,2.046552481,1.110778651,0.657589843
Dodecanol,1.085134774,1.017967283,1.04639109,0.867902665
Erythritol,0.821640972,0.683127572,9.445433642,0.992859474
Ethanolamine,1.707668385,0.699576248,1.123337222,1.107086738
Fructose,2.047037469,1.615453729,0.86163034,1.284952729
Fucose,0.749102043,1.657977883,1.088369221,0.784184892
Fucose,1.165234672,0.576896018,1.218358903,1.048991354
Fumaric acid,0.961198094,1.092639239,1.095708988,0.918921868
Galactonic acid,1.007903301,1.336774194,1.024581844,1.088007011
Galactose 6-phosphate,0.894894895,1.142028986,1.132438389,0.782659409
gamma-Glutamylvaline,1.231292517,0.821661998,0.989225504,0.645850974
gamma-Tocopherol,0.611048265,1.873715125,1.038656193,0.831322736
Gluconic acid,0.79248366,1.228484054,1.422508526,1.024303917
Glucose,1.076345354,0.823559439,0.95020534,1.56925161
Glucuronic acid,0.252209782,0.791044776,2.766976816,1.566714491
Glutamic acid,1.019500672,0.844793253,1.107694025,1.311198102
Glutamine,0.888536639,1.55249007,0.938623391,0.814425558
Glutaric acid,0.975250132,1.649325626,1.600960384,0.80626927
Glyceric acid,1.096282614,1.168094924,1.102898745,1.197619781
Glycerol,1.488995785,1.960344956,1.045807162,0.94216161
Galactosylglycerol,1.252457977,1.326935381,1.008620222,1.086466165
sn-Glycero-3-phosphate,1.000790264,1.166511049,0.738865503,1.456001544
Glycine,1.147843646,1.023229213,1.075395033,1.160943453
Glycolic acid,1.172929293,1.466244726,1.115534853,0.896731781
Glycolic acid,0.775534442,0.644628099,1.129552636,0.727765487
Guanosine,1.248826291,0.937198068,0.951248514,0.880550622
Guanosine,0.753757463,0.583789419,1.057098233,0.855401845
Hippuric acid,1.186864738,0.274548849,1.313608137,1.204800436
Histidine,0.787391911,1.330516513,0.745259692,0.828482219
Hydroxylamine,1.404716157,0.769866223,0.985758393,1.111395677
Hypoxanthine,0.670373622,0.835840207,1.219315088,1.193311822
Indoleacetic acid,1.325943521,0.803464357,1.222141111,0.713480757
Indolelactic acid,0.840802128,1.057164068,1.097768848,0.740979606
Inosine,1.052540913,0.746527778,1.227930814,0.877880184
IMP,0.981374438,0.890196078,1.004389816,1.703731343
Myo-inositol,0.912010102,0.628317315,1.446017059,1.276084711
Inulobiose,1.115081897,6.573199809,2.048814505,0.703068319
Isocitric acid,1.129047619,0.973578303,1.095656856,0.894014584
Isoleucine,1.135387761,0.604844998,0.848368397,0.83630746
Isoleucine,1.482134116,1.045925926,1.137560368,0.972043011
D-Threonic acid,0.91091546,1.037920185,1.871517619,0.999526515
Kynurenine,4.149697815,1.480895916,0.830193616,1.824152542
Lactamide,1.090402742,0.745387454,1.055583209,1.080613343
Lactic acid,0.686080027,1.457802565,0.883302052,1.490849722
Lactic acid,1.133333333,1.065595716,0.821466687,1.073113208
Lauric acid,2.619678715,1.293610847,1.234508674,0.920969001
Leucine,1.081517615,0.741849923,0.854124882,0.766800744
Levanbiose,1.199391172,1.161904762,1.685206554,1.178848642
Glucosan,1.100672621,0.591683708,1.48846839,0.924839597
Lignoceric acid,0.882807669,1.108325297,0.994085951,1.26751663
Linoleic acid,0.80141257,0.801388889,0.982582317,1.165615553
alpha-Linolenic acid,0.787723785,0.738027814,0.830525699,1.067961564
Lysine,1.150390814,0.868183205,0.835047878,0.890840015
Lyxose,1.137789905,0.44044044,0.613030484,0.641891892
Maleimide,0.87093779,1.146461107,0.946590145,0.914785427
Malic acid,1.12034384,1.275696446,1.111654135,1.217349398
Malonic acid,3.512174793,19.00305188,0.41304736,0.89471982
Maltose,0.888304862,0.578381437,1.277396226,2.530401035
Maltotriose,0.973432519,1.652024117,0.936459246,2.985349361
Mannitol,0.49017508,1.27789033,1.507605056,0.844778706
Methanolphosphate,1.007648184,1.495248152,0.892820133,0.996983262
Methionine,1.163237311,0.943941614,0.837680759,0.745444671
Methionine sulfoxide,1.067984813,0.337587588,1.211818921,1.219062153
Methionine sulfoxide,0.929771433,0.962338392,1.01356142,0.931724288
Myristic acid,1.135515527,0.77897351,1.039922345,0.921199143
N-Acetylglutamic acid,0.804391932,0.633197648,1.06136285,0.924636175
N-Acetylglutamic acid,1.177030812,1.663446055,1.187913126,1.177339901
N-Acetyl-mannosamine,1.065445026,0.594293667,0.911885246,1.231234867
N-Methylalanine,1.059021234,0.598227689,0.942343884,0.913545619
Naproxen,0.043556006,0.012099718,1.015620536,22.31655691
Nicotinic acid,1.087607325,0.679224065,1.079078287,0.901688405
Stearyl alcohol,1.095775826,0.577725305,1.22679969,1.031594416
Oleic acid,0.979657274,0.701455568,0.860997635,1.225247001
Ornithine,0.996304777,0.902524853,0.887264529,1.018665129
Oxalic acid,0.921079257,0.790001118,1.377987794,0.957731502
Pyroglutamic acid,0.934424415,0.978050905,0.970685026,1.028594536
P-Cresol,0.582919843,0.9558753,1.166720476,1.02494012
Palmitic acid,0.969271493,0.852146981,0.87851787,1.035103624
Palmitoleic acid,1.626784909,1.000105519,0.908142457,1.009245226
Palmitoleic acid,1.05038343,0.721080446,1.641902548,0.932141045
Acetaminophen,0.491387387,17.27571189,6.722754408,3.04365458
Pelargonic acid,2.130809992,1.020030687,1.037724441,1.220021824
Phenylalanine,1.116742254,0.718730839,0.928446806,0.881177362
Phenylethylamine,1.058325778,1.3165769,1.214306012,1.639033943
Phosphoethanolamine,1.174037404,1.176081929,1.166497118,1.290546697
Pipecolic acid,1.249373434,2.272463768,1.160547945,1.082674335
Proline,1.258915712,1.12995016,0.854226409,0.788529161
Pseudouridine,0.781294861,0.949958299,1.458955873,0.981773377
Pyrophosphate,1.04447323,1.613791423,1.011362934,1.976252195
Pyruvic acid,1.028818742,0.864698795,0.975192058,1.142117004
Quinic acid,2.251653262,0.582428054,1.849168375,1.787901991
Ribitol,1.673457838,1.269783074,2.107926672,0.768205535
Glucaric acid,0.580827068,1.207317073,2.231624046,1.003676471
2-Hydroxybenzaldehyde,1.255295429,0.645579886,0.95320911,0.687457969
Salicylic acid,0.768564011,0.667043527,35.20332271,4.503243243
Serine,1.283193982,0.730210894,0.976217184,1.046277281
Shikimic acid,2.520228932,7.457627119,0.380430858,0.212577093
Sorbitol,0.840292648,0.434584755,0.818948684,1.27481895
Stearic acid,0.920809473,1.067230765,1.031289115,0.935724776
Stigmasterol,1.153113553,0.990253411,1.166482097,1.224600871
Succinic acid,0.839470517,1.113628562,0.985169391,1.393402778
Sucrose,0.493559126,1.146258503,3.265306122,1.059869931
Fructose,1.024301494,0.651349655,1.364650546,1.005963303
Taurine,0.604577114,2.123821765,1.019987227,1.50541578
Threitol,1.154297918,0.835788325,1.382991117,0.889458955
D-Threonic acid,1.35395057,1.159274756,0.88683189,1.354344913
Threonine,1.328389015,0.906986239,0.897667501,0.865329693
Retinal,0.791872856,0.855487609,0.924850272,0.968523286
trans-4-Hydroxyproline,0.705551191,0.816899028,1.285746266,0.642519823
trans-4-Hydroxyproline,0.948551665,1.031941032,1.498460303,0.815366972
Tryptophan,1.621286744,0.969671766,0.713413706,0.738488867
Tyrosine,1.24874229,0.964283022,0.825140719,0.829507799
Urea,0.972290809,1.4011209,1.178667861,0.901890723
Uric acid,0.907219607,1.969338043,1.138741283,0.688132153
Uridine,0.951587302,0.491103203,1.287803106,1.04847973
Valine,1.37446969,0.827558813,0.923693132,0.88868218
Xanthine,0.962962963,1.400560224,1.010175763,0.83632287
Xylitol,0.977151692,0.748440748,1.212357608,1.040292663
Xylose,1.086021505,0.669471716,1.111471215,0.8705074
