,TGF-É¿-treated vs Unstimulated(H358 cells)
SAM+,1.175870231
Sarcosine,1.178466853
Sebacate,1.071145798
Ser,1.254130226
Sorbitol 6-phosphate,2.582033033
Spermidine,1.390670518
Succinate,1.333873384
Tartrate,1.353642987
Taurine,0.328154713
TDP-glucose,1.37207581
Terephthalate,1.472135807
Thiamine,2.092531426
Thiamine monophosphate,1.301225814
Thr,1.163691881
threo-beta-methylaspartate,1.668786799
Threonate,0.793836689
Thymidine,1.506131122
Tiglate,1.217968367
trans-4-Hydroxy-3-methoxycinnamate,1.006948055
trans-Cinnamate,1.700251142
Trimethylamine N-oxide,1.575733155
Trp,1.011905409
Tyr,0.976310985
Tyramine,1.512040996
UDP,2.071786536
UDP-glucose,1.30517005
UDP-glucuronate,1.341915406
UDP-N-acetylglucosamine,1.519342872
UMP,1.177174326
Undecanoate,0.977448023
Uracil,1.271402598
Urea,1.244930449
Uridine,1.528199256
UTP,1.29412955
Val,0.984440582
XMP,1.026981452
