,Adenocarcinoma_Former_M vs Healthy_Former_M,Adenocarcinoma_Current_M vs Healthy_Current_M,Adenocarcinoma_Former_F vs Healthy_Former_F,Adenocarcinoma_Current_F vs Healthy_Current_F
Glucose,0.934581969,0.796881423,1.135091363,0.964319459
Glucuronic acid,0.788674683,0.638161274,1.194218656,0.508328706
Glutamic acid,1.702204961,1.216910167,1.198196576,1.804380429
Glutamine,0.908786275,0.482767516,0.891926307,0.855685924
Glutaric acid,0.681386515,0.657840083,0.985496648,0.891013384
Glyceric acid,0.917239369,1.115791476,0.923862159,1.251733515
Glycerol,0.918606995,1.123613099,0.707154596,0.755500978
Galactosylglycerol,0.844598769,1.476715146,0.903833658,0.581079167
sn-Glycero-3-phosphate,0.669761273,0.525761822,1.029880675,1.107979167
Glycine,1.144045578,0.743489971,1.024214559,1.274335622
Glycolic acid,0.796758692,1.06519465,1.111830526,1.027119169
Glycolic acid,0.915980284,1.033292062,0.950909504,0.785900783
Hippuric acid,1.404524669,1.534009784,0.973937708,1.882086168
Histidine,1.233972492,0.622040869,0.975052232,1.07821799
Hydroxylamine,1.07099861,0.575826394,1.046303466,1.234223301
Indoleacetic acid,0.515129069,0.655795046,1.743087452,0.667404649
Indolelactic acid,0.681040567,0.82897001,1.096864644,0.612022802
Inosine,0.657291001,0.410401891,1.048167539,1.01911589
Inulobiose,0.845540527,0.835640138,0.435710181,0.533279548
Isocitric acid,1.03642425,1.155070585,0.960719166,0.965821001
Isoleucine,1.024755285,0.844568539,1.030518564,0.976239906
D-Threonic acid,0.708230183,1.255068729,1.223390538,0.57024425
Kynurenine,0.772096893,0.990727184,1.096155792,0.921319797
Lactamide,1.653963415,1.793564056,0.914870606,1.351809955
Lactic acid,1.869667101,2.206435128,1.10906972,1.610447501
Lauric acid,0.839621989,1.211497038,1.04264834,0.708893709
Leucine,0.952992388,0.863014944,1.027353577,1.149709262
Glucosan,0.773413348,0.911251635,2.11919369,0.811573237
Lignoceric acid,1.051990579,0.592408214,0.928008338,1.56938044
Linoleic acid,0.94052727,0.941359887,0.743585081,0.924225937
alpha-Linolenic acid,0.741426932,0.717438666,0.525423931,0.730690577
Lysine,1.072705509,0.793613149,1.018876266,1.235930118
Malic acid,1.268067579,1.146092669,0.845463812,0.594126506
Maleimide,1.110493369,0.395108742,1.020260759,0.922723544
Maltose,1.822295728,1.554508748,1.047821278,2.047574627
Maltotriose,1.217962313,1.002347418,1.027238403,1.906685237
Mannitol,0.709255373,0.968505794,1.870340985,0.535737116
Methanolphosphate,0.716940929,0.772805966,1.075559414,0.70713561
Methionine,1.050414412,0.726854011,1.148894233,1.084773967
Methionine sulfoxide,1.060900842,0.803219107,0.998573975,0.794646424
Methionine sulfoxide,0.986644286,1.029049296,0.876919153,1.027134799
Myo-inositol,0.763674562,0.844246091,0.92482123,0.558962178
Myristic acid,1.027488216,1.179935622,0.925907402,0.835721108
N-Acetyl-D-glucosamine,0.979223434,1.057242133,0.965742774,0.881195222
N-Acetylglutamic acid,1.106499317,1.275376998,0.942469972,1.156132075
N-Acetylglutamic acid,0.808049852,0.668521094,0.994315245,1.135770235
N-Methylalanine,0.949481649,0.995336169,1.03022897,1.478627672
Naproxen,0.069880735,0.176828595,13.24099516,0.097261434
Nicotinic acid,1.240560839,1.601460035,0.916022425,1.737096774
Oleic acid,0.958213091,1.096714456,0.680517531,0.818841675
Ornithine,1.438288574,0.927407375,1.004460397,1.688986836
Oxalic acid,1.16349533,1.540921565,0.832249801,1.581650268
Pyroglutamic acid,0.987768784,0.965386843,0.980867005,0.950214204
Palmitic acid,0.944712961,1.018665131,0.903497264,0.938546499
Palmitoleic acid,0.742964511,1.346407915,0.720475935,0.735047332
Palmitoleic acid,1.218037135,1.339226085,0.872923409,1.534912718
Acetaminophen,0.580521624,0.442312009,3.20112782,0.675774135
Pelargonic acid,1.018824752,0.903507753,0.876799984,0.957865746
Phenylacetic acid,1.054448161,0.611111111,0.736738056,0.713852376
Phenylalanine,1.230607397,0.697619427,1.000857322,1.133701142
Phenylethylamine,0.941833694,0.382409484,1.007518372,0.880586427
Pimelic acid,1.482453031,1.503521127,1.391893645,1.336053412
Pipecolic acid,0.261156951,0.445870275,0.850749625,0.465152297
Proline,0.731732833,0.884463164,1.42279169,0.995254408
Pseudouridine,0.740332533,0.894767742,1.022307435,0.586449599
Pyrophosphate,0.867412238,1.515221471,1.283899626,2.374219725
Pyruvic acid,1.73579473,1.7891889,0.937034872,4.243712942
Quinic acid,1.189091329,0.353317961,0.937962963,0.178875639
Rhamnose,1.078636422,0.704431017,1.015069664,0.717988275
Ribose,0.95462641,1.071038251,1.028377065,0.68923821
Glucaric acid,0.92411099,1.145419426,1.13875969,0.607184241
Salicylic acid,6.799741778,1.441541087,0.458208541,0.026346325
Serine,1.27185441,0.885605517,0.940811559,1.379696184
Shikimic acid,0.885652012,0.33804302,0.825228108,0.77513089
Stearic acid,0.958129048,1.021780271,0.89517069,1.032953101
Succinic acid,1.213563615,0.514431616,0.864144232,1.111500701
Sucrose,1.521113901,0.94003648,0.865458769,0.143906312
Fructose,0.624246977,0.420450723,1.183752879,0.750234582
Taurine,1.272146443,0.84270608,1.216719673,1.786989992
Threitol,0.916370152,0.936172751,0.872140957,0.565871664
D-Threonic acid,0.887905776,1.184341465,0.703721903,1.083678542
Threonine,1.036974422,0.880231911,0.968137859,0.961714049
Threose,0.827615019,0.742293465,1.013191812,0.85
Retinal,1.083092971,1.376476226,1.097957674,1.086189664
trans-4-Hydroxyproline,0.77535767,0.823573735,1.162487286,1.294694667
Tryptophan,0.984939626,0.705163106,0.874031733,1.128360121
Tyrosine,1.009637194,0.710330908,1.011745067,1.20734713
Urea,0.90443871,0.913464172,1.069386704,0.981603716
Uric acid,0.876600225,0.878219848,1.39333917,1.103052372
Uridine,1.273549979,0.839940324,0.947234775,1.041505792
Valine,0.90245233,0.788301801,1.07567563,1.037652558
Xanthine,1.375830013,0.960477256,1.103246456,1.421166307
Xylitol,0.617629284,0.713270142,1.034393779,0.881714876
Xylose,1.326901657,0.849509227,1.188241011,0.480247942
