,Pancreas tumor vs Normal pancreas,Pancreas tumor vs Normal area of the pancreas with tumor,Normal area of the pancreas with tumor vs Normal pancreas
2-Hydroxybutyric acid,NA,0.732863177,NA
2-Hydroxybutyric acid,NA,0.976551426,NA
2-Hydroxybutyric acid,NA,NA,NA
2-Hydroxybutyric acid,NA,0.732230701,NA
2-Hydroxybutyric acid,NA,0.906139083,NA
2-Hydroxybutyric acid,0.558620104,NA,NA
2-Hydroxyphenylacetic acid,NA,0.758047187,NA
2-Hydroxyphenylacetic acid,NA,NA,NA
2-Hydroxyquinoline,NA,NA,NA
2-Hydroxystearic acid,0.280942359,2.615739003,0.107404584
2-Methylglutaric acid,NA,1.434263303,NA
Citraconic acid,NA,0.67997065,NA
2-Oxo-3-hydroxy-4-phosphobutanoic acid,1.625389225,1.491108349,1.090054406
Oxoadipic acid,NA,NA,NA
Oxoadipic acid,NA,1.894750227,NA
Quinaldic acid,NA,NA,NA
"2,3-Diphosphoglyceric acid",NA,NA,NA
"2,6-Dihydroxypyridine",NA,1.424175736,NA
"2,6-Dihydroxypyridine",NA,NA,NA
Deoxyadenosine,NA,NA,NA
Deoxyadenosine,13.19693679,8.519203631,1.549081036
dADP,NA,NA,NA
dUMP,NA,NA,NA
dATP,NA,NA,NA
Deoxycytidine,0.089923909,1.720234778,0.052274207
Deoxycytidine,NA,NA,NA
dCDP,NA,NA,NA
dCDP,NA,NA,NA
dCDP,2.63869769,NA,NA
dCMP,3.999216476,NA,NA
Deoxyguanosine,0.321943697,1.517892238,0.212099178
dGDP,0.918952332,4.986816444,0.18427635
dGMP,0.144677825,8.888768159,0.016276476
dGMP,NA,NA,NA
dUMP,NA,1.445662848,NA
UTP,NA,NA,NA
"2',4'-Dihydroxyacetophenone",NA,0.821072621,NA
"2',4'-Dihydroxyacetophenone",2.374117581,1.236972194,1.919297453
25-Hydroxycholesterol,NA,NA,NA
3-(2-Hydroxyphenyl)propanoic acid,NA,1.935297682,NA
3-(2-Hydroxyphenyl)propanoic acid,NA,NA,NA
Hydroxyphenyllactic acid,NA,NA,NA
Hydroxyphenyllactic acid,NA,5.976007526,NA
3-(Cystein-S-yl)acetaminophen,NA,NA,NA
3-Carboxy-4-methyl-5-propyl-2-furanpropanoic acid,10.98126265,1.043598686,10.52249566
3-Carboxy-4-methyl-5-propyl-2-furanpropanoic acid,NA,4.784364625,NA
3-Carboxy-4-methyl-5-propyl-2-furanpropanoic acid,NA,4.784364625,NA
3-Carboxy-4-methyl-5-propyl-2-furanpropanoic acid,10.98126265,1.043598686,10.52249566
3-Dehydroshikimate,NA,NA,NA
3-Dehydroshikimate,NA,1.350407679,NA
3-Hydroxymethylglutaric acid,NA,NA,NA
3-Hydroxymethylglutaric acid,1.932870692,1.355072833,1.426396165
Hydroxykynurenine,NA,NA,NA
Hydroxykynurenine,1.881766837,4.758787295,0.395429911
3-Hydroxybenzaldehyde,0.364855567,0.99348375,0.367248651
3-Methoxytyrosine,NA,5.519431788,NA
3-Methoxytyrosine,NA,NA,NA
3-Methyloxindole,NA,NA,NA
Ketoisovaleric acid,NA,NA,NA
3-Methyl-2-oxovaleric acid,NA,NA,NA
3-Methyl-2-oxovaleric acid,0.652648538,0.75760291,0.861465194
3-Methyladenine,NA,NA,NA
3-Methyladenine,NA,NA,NA
3-Methylhistamine,0.396453899,3.823425315,0.103690766
Nitrotyrosine,NA,NA,NA
Nitrotyrosine,0.143339455,NA,NA
Bovinocidin,NA,NA,NA
3-Sulfino-alanine,1.118287887,1.642336842,0.680912623
Ureidopropionic acid,6.439922456,3.019556108,2.132738133
Ureidopropionic acid,NA,NA,NA
"3,3'-Dithiodivaline",NA,NA,NA
Liothyronine,NA,NA,NA
Liothyronine,NA,NA,NA
DOPA,2.002949814,NA,NA
DOPA,NA,1.221442449,NA
Protocatechuic acid,NA,NA,NA
Protocatechuic acid,NA,0.773283504,NA
Protocatechuic acid,NA,0.444625878,NA
"3,4-Dihydroxymandelic acid",NA,NA,NA
"3,4-Dihydroxyphenylglycol",1.544222734,5.111965148,0.302080059
"3,4-Dihydroxybenzeneacetic acid",NA,NA,NA
"3,4-Dihydroxybenzeneacetic acid",NA,NA,NA
"3,5-Diiodothyronine",NA,0.842364687,NA
3'-CMP,0.215236204,2.506190465,0.085881822
3'-CMP,0.015818581,0.402007635,0.039348957
Lithocholic acid,NA,6.07917419,NA
Lithocholic acid,NA,NA,NA
27-Deoxy-5beta-cyprinol,NA,NA,NA
3beta-Hydroxy-5alpha-pregnan-20-one,0.917112224,NA,NA
"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",1.317681541,1.908672865,0.690365314
4-Acetamidobutanoic acid,5.616204845,2.944044282,1.907649582
4-Acetamidobutanoic acid,1.571628344,2.200552096,0.71419729
4-Acetamidobutanoic acid,3.681865188,NA,NA
4-Acetamidobutanoic acid,0.13577795,1.567283797,0.086632651
P-Aminobenzoic acid,NA,0.819255832,NA
4-Aminobenzoylglutamic acid,NA,NA,NA
gamma-Aminobutyric acid,NA,NA,NA
4-Hydroxycinnamic acid,NA,NA,NA
4-Hydroxycinnamic acid,0.181695401,2.740024441,0.066311599
4-Guanidinobutanoic acid,NA,0.60058989,NA
Kynurenic acid,1.891180501,1.511252083,1.251399765
4-Hydroxy-3-methoxybenzenemethanol,NA,0.891399609,NA
4-Hydroxy-3-methoxybenzenemethanol,NA,NA,NA
Vanillylmandelic acid,NA,NA,NA
4-hydroxy-3-methoxymandelic acid,NA,NA,NA
4-hydroxy-3-methoxymandelic acid,NA,NA,NA
Vanylglycol,NA,NA,NA
Vanylglycol,NA,NA,NA
Vanylglycol,NA,NA,NA
4-Hydroxyphenylglycine,NA,NA,NA
4-Hydroxybenzaldehyde,NA,1.391208791,NA
4-Hydroxybenzaldehyde,NA,NA,NA
Imidazoleacetic acid,NA,NA,NA
Ketoleucine,0.722369423,0.661916527,1.09133009
Ketoleucine,NA,NA,NA
Ketoleucine,NA,0.653518351,NA
Ketoleucine,NA,NA,NA
4-Methylcatechol,NA,0.316869236,NA
4-Nitrophenol,NA,NA,NA
4-Pyridoxic acid,NA,NA,1.294357453
4-Quinolinecarboxylic acid,NA,NA,NA
4-Hydroxystyrene,0.985245772,1.932675718,0.509783283
AICAR,NA,NA,NA
AICAR,1.057179127,1.258391204,0.840103717
5-Aminoimidazole ribonucleotide,0.118278205,2.922625573,0.040469845
5-Amino-levulinic acid,NA,NA,NA
5-Amino-levulinic acid,NA,NA,NA
5-Hydroxy-tryptophan,0.131000141,2.602464188,0.050336962
5-Hydroxy-tryptophan,NA,NA,0.256500839
5-Hydroxy-tryptophan,NA,NA,NA
5-Hydroxy-tryptophan,NA,NA,NA
5-Hydroxy-tryptophan,0.063045433,NA,NA
5-Hydroxyindoleacetic acid,NA,NA,NA
5-Hydroxymethyluracil,NA,NA,NA
5-Hydroxymethyluracil,NA,NA,NA
5-Hydroxyvaleric acid,NA,1.091268913,NA
5-Hydroxyvaleric acid,NA,1.042533038,NA
5-Hydroxyvaleric acid,NA,1.056052846,NA
Pyroglutamic acid,NA,NA,NA
Pyroglutamic acid,0.166440313,1.096623665,0.151775234
Phosphoribosyl pyrophosphate,0.240533226,1.680069982,0.143168575
5-Valerolactone,NA,NA,NA
Dihydrouracil,2.385322392,1.35178559,1.764571548
5'-Deoxyadenosine,0.111157565,2.631108359,0.04224743
5'-Deoxyadenosine,NA,NA,NA
5'-Deoxyadenosine,NA,8.142024436,NA
5'-Methylthioadenosine,1.294723716,16.96643468,0.076310889
5'-Methylthioadenosine,NA,13.51319316,NA
5'-Methylthioadenosine,0.753954102,NA,NA
6-Hydroxydopamine,NA,NA,NA
6-Hydroxynicotinic acid,0.865601516,0.953233091,0.908069101
6-Hydroxynicotinic acid,NA,NA,NA
6-Phosphogluconic acid,NA,NA,NA
6-Phosphogluconic acid,NA,NA,NA
6-Phosphogluconic acid,0.764309843,3.598100951,0.212420344
4a-Carbinolamine tetrahydrobiopterin,0.046764264,NA,NA
7alpha-Hydroxy-3-oxo-4-cholestenoic acid,NA,11.69656374,NA
Acetylcholine,0.406109002,1.760313954,0.230702597
Acetylenedicarboxylate,NA,NA,NA
Acetylenedicarboxylate,NA,NA,NA
trans-Aconitic acid,1.682796465,0.658576091,2.555204308
Adenine,0.221777886,2.406626161,0.092153027
Adenine,NA,NA,NA
Adenine,0.325921565,NA,NA
Adenosine,0.755411828,0.873287855,0.865020421
Adenosine,0.156746748,5.401383185,0.029019742
Adenosine,0.156746748,5.401383185,0.029019742
Adenosine,0.760363587,0.86284949,0.881223893
Adenosine,0.6237932,2.153396805,0.289678706
Adenosine,NA,NA,NA
ADP-glucose,0.054806861,2.474621967,0.022147569
ADP-glucose,NA,NA,NA
"2',3' cyclic AMP",NA,NA,NA
"3',5' cyclic AMP",0.505097312,1.85444495,0.272371155
"3',5' cyclic AMP",0.199086715,NA,NA
ADP,0.075976614,2.480814633,0.030625672
AMP,0.029472043,2.650188963,0.011120733
AMP,0.009163543,1.373424234,0.006672041
AMP,NA,NA,NA
AMP,NA,NA,NA
AMP,0.141533269,2.17847517,0.064968961
AMP,NA,NA,NA
ATP,NA,NA,NA
ATP,0.283248849,NA,NA
ADP,NA,NA,0.149616655
Adipic acid,NA,1.176796215,NA
ADP-ribose,0.334126284,0.813907299,0.410521301
Alanine,0.241736641,1.710478545,0.141326906
Aldosterone,NA,6.25612923,NA
Allantoin,1.12118012,NA,NA
Allantoin,NA,NA,NA
Oxoglutaric acid,NA,NA,NA
Oxoglutaric acid,NA,NA,NA
Oxoglutaric acid,3.87308225,1.048064229,3.695462686
Lipoamide,NA,1.116069319,NA
alpha-Tocopherol,12.66613454,0.960415809,13.1881779
alpha-Tocopherol,NA,0.809779518,NA
gamma-Aminobutyric acid,0.54913877,2.880901131,0.190613542
alpha-Tocopherol,NA,NA,NA
alpha-Tocopherol,9.423999644,1.514611098,6.22205902
alpha-Tocopherol,0.736152491,2.064002236,0.356662642
alpha-Tocopherol,8.654910357,2.017634024,4.289633429
gamma-Aminobutyric acid,0.489262634,1.693240145,0.288950528
gamma-Aminobutyric acid,0.260570727,2.505708244,0.103990849
gamma-Aminobutyric acid,4.239348035,2.235949367,1.895994649
Arachidonoyl-EA,NA,NA,NA
Arachidonoyl-EA,NA,0.382558745,NA
Arachidonoyl-EA,NA,NA,NA
Androsterone 3-glucuronide,NA,NA,NA
Androsterone 3-glucuronide,NA,NA,0.141728982
5alpha-Androstane-3alpha-ol-17-one sulfate,NA,NA,NA
5alpha-Androstane-3alpha-ol-17-one sulfate,0.211242048,2.000355989,0.105602227
2-Aminobenzenesulfonic acid,0.328483839,1.118176539,0.293767422
2-Aminobenzoic acid,NA,1.007422887,NA
Arachidic acid,NA,NA,NA
Arachidonic acid,0.011449726,2.574232714,0.004447821
Arachidonic acid,NA,NA,NA
Arachidonic acid,0.971101277,4.360513226,0.222703436
Arachidonic acid,0.971101277,4.360513226,0.222703436
Arachidonic acid,0.07003207,4.761749519,0.014707214
Arachidonic acid,0.07003207,4.761749519,0.014707214
Arg-Val-Trp,5.477702364,1.197042409,4.576030326
Arginine,NA,NA,NA
Vitamin C,0.31239484,0.590314627,0.529200575
Vitamin C,NA,NA,NA
Vitamin C,0.760578846,2.851136397,0.266763402
Asparagine,0.750788574,0.831835562,0.902568499
Asparagine,NA,1.53811947,NA
Asparagine,NA,NA,0.232191374
Aspartic acid,NA,0.64068448,NA
Aspartic acid,NA,1.411355557,NA
Aspartic acid,0.257347453,1.846149906,0.139396835
Azelaic acid,NA,NA,NA
Azelaic acid,NA,NA,NA
Azelaic acid,NA,0.825999412,NA
Azelaic acid,8.488147022,3.308377151,2.565652776
Azelaic acid,6.050271435,5.824527606,1.038757448
Anserine,NA,NA,NA
Anserine,NA,0.23520259,NA
Anserine,NA,NA,NA
Benzoic acid,11.91002688,1.317554378,9.03949551
Benzoin,NA,NA,NA
Betaine,NA,2.091731221,NA
Biliverdin,1.638629477,3.832273242,0.427586806
Biliverdin,0.727589771,1.996576155,0.364418742
Biliverdin,NA,3.78449862,NA
Biopterin,0.186669442,NA,NA
Biotin,2.264173533,NA,NA
Biotin,1.432512581,NA,NA
bis(2-Ethylhexyl)phthalic acid,1.365385171,1.293071814,1.055923698
bis(2-Ethylhexyl)phthalic acid,0.473645141,NA,NA
bis(2-Ethylhexyl)phthalic acid,0.490411594,NA,NA
bis(2-Ethylhexyl)phthalic acid,1.252275688,1.092074483,1.146694395
bis(2-Ethylhexyl)phthalic acid,NA,1.634890606,NA
bis(2-Ethylhexyl)phthalic acid,1.403603768,1.323087962,1.060854461
"2,3-Diphosphoglyceric acid",NA,NA,NA
Biotin,NA,NA,18.30376705
"2,3-Diphosphoglyceric acid",9.524559254,0.97373693,9.781450164
"2,3-Diphosphoglyceric acid",NA,0.775753535,NA
Biotin,4.241362438,1.121686455,3.781237099
"2,3-Diphosphoglyceric acid",NA,1.123089926,NA
"2,3-Diphosphoglyceric acid",NA,1.12307733,NA
"2,3-Diphosphoglyceric acid",NA,0.917021586,NA
Biotin,2.496842973,1.353578709,1.844623408
Biotin,2.495155446,1.355027574,1.841405661
"2,3-Diphosphoglyceric acid",NA,NA,NA
"2,3-Diphosphoglyceric acid",NA,NA,NA
"2,3-Diphosphoglyceric acid",NA,1.046969177,NA
"2,3-Diphosphoglyceric acid",NA,0.669410237,NA
"2,3-Diphosphoglyceric acid",NA,NA,NA
"2,3-Diphosphoglyceric acid",NA,1.518988493,NA
"2,3-Diphosphoglyceric acid",NA,NA,NA
"2,3-Diphosphoglyceric acid",NA,NA,NA
Biotin,NA,NA,NA
Biotin,NA,NA,NA
Biotin,NA,NA,0.645446508
"2,3-Diphosphoglyceric acid",2.39474705,1.07576974,2.22607772
Biotin,2.276418341,1.275497813,1.784729317
"2,3-Diphosphoglyceric acid",NA,NA,NA
Biotin,1.180113873,NA,NA
"2,3-Diphosphoglyceric acid",1.280120201,1.570550623,0.815077326
Biotin,NA,NA,NA
Biotin,0.003464693,NA,NA
Bradykinin,NA,NA,NA
Bradykinin,NA,2.006202465,NA
Bradykinin,NA,1.694413346,NA
Bradykinin,NA,5.32433491,NA
Bradykinin,NA,NA,NA
Bradykinin,NA,1.424675048,NA
Bradykinin,NA,2.842651669,NA
Bradykinin,0.109929993,NA,NA
Bradykinin,NA,NA,NA
Bradykinin,NA,NA,NA
Cadaverine,NA,NA,1.090713473
Cadaverine,NA,NA,NA
"1alpha,25-Dihydroxyvitamin D3",NA,NA,NA
Capecitabine,NA,1.164594908,NA
Capecitabine,NA,NA,NA
Caprylic acid,0.461124068,1.863861826,0.247402496
Carnitine,0.643024587,1.555636057,0.413351558
Carnosine,0.491662324,NA,NA
Carnosine,0.213733805,0.661685566,0.323014157
SM 18:0;O2/22:1,NA,NA,NA
SM 18:0;O2/22:1,NA,NA,NA
SM 18:0;O2/22:1,NA,NA,0.052734617
SM 18:0;O2/22:1,NA,NA,NA
SM 18:0;O2/22:1,0.097402218,2.868953191,0.033950438
Chenodeoxycholic acid,NA,2.043642211,NA
Cholic acid,NA,NA,NA
7-Dehydrocholesterol,NA,NA,NA
7-Dehydrocholesterol,NA,NA,NA
7-Dehydrocholesterol,NA,NA,NA
Cholesterol,1.87613173,0.616687613,3.042272442
Cholesterol,1.40926066,2.124990799,0.663184359
Cholesterol,2.652219756,0.617353002,4.296115427
Cholesterol sulfate,NA,NA,NA
Cholesterol sulfate,0.014330562,7.447621767,0.00192418
Cholic acid,NA,NA,NA
Choline,0.257832855,2.411561929,0.106915295
Choline phosphate,0.089549278,0.853077538,0.104972027
Cinnamic acid,NA,NA,NA
Cinnamoylglycine,NA,1.023618567,NA
Cinnamoylglycine,1.046659979,NA,NA
Cinnamoylglycine,1.046659979,NA,NA
Adrenic acid,0.038607878,1.553949704,0.024844998
Citramalic acid,3.400094697,1.764822568,1.926592938
Citramalic acid,NA,NA,NA
Citric acid,1.78298834,0.705226268,2.528250039
Citric acid,10.12972309,NA,NA
Citric acid,NA,NA,1.729190907
Citric acid,3.317515492,0.984721343,3.368989122
Citrulline,NA,0.665296018,NA
Citrulline,NA,0.664489853,NA
Citrulline,NA,NA,NA
Coenzyme A,NA,1.086111022,NA
Corticosterone,1.749884877,4.357413529,0.401587975
Corticosterone,1.897606575,2.618882773,0.724586299
Corticosterone,NA,8.281646992,NA
Cortisol,NA,NA,NA
Cortisol,NA,NA,NA
Cortisol,2.317034629,0.958125726,2.41829915
Cortisol,NA,0.439185024,NA
Cortisol 21-acetate,NA,NA,0.147480894
Cortisol 21-acetate,NA,NA,3.589892836
Cortisol 21-acetate,NA,NA,NA
Cortisol 21-acetate,NA,NA,NA
Cortisone,NA,0.969594275,NA
Cortisone,NA,0.228839047,NA
Cortisone,0.150320718,1.861265531,0.08076264
Cotinine,NA,NA,NA
Creatine,0.219423209,1.466984857,0.149574284
Creatine,1.249985201,2.176627476,0.574276129
Creatinine,NA,NA,NA
Creatinine,0.275922812,0.865961232,0.31863183
Creatinine,0.201934122,NA,NA
Cycloheptanecarboxylic acid,0.547457937,0.928289015,0.589749451
"Cyclohexane-1,3-dione",NA,NA,NA
"Cyclohexane-1,3-dione",NA,1.975913433,NA
Cystathionine,0.552348742,0.987708353,0.559222508
Cysteic acid,NA,NA,NA
Cysteic acid,NA,0.58050947,NA
Cysteine,NA,NA,NA
Cystine,0.751778545,0.55831715,1.346508065
Cystine,NA,1.076688,NA
Cystine,0.364317073,0.58703887,0.620601277
Cytidine,0.027437994,1.338774324,0.020494861
Cytidine,NA,NA,NA
Cytidine,0.01970174,1.284703771,0.015335629
"2',3' cyclic CMP",NA,NA,NA
"2',3' cyclic CMP",0.182132853,NA,NA
CDP,0.508293072,0.758200528,0.670393983
CDP,NA,NA,NA
Cytidine 5'-diphosphocholine,1.674331393,11.17942031,0.149769071
Cytidine 5'-diphosphocholine,NA,NA,NA
Cytidine 5'-diphosphocholine,1.139201143,1.867295047,0.610080954
CMP,0.214489908,2.506337584,0.085579017
CMP,0.029552409,NA,NA
CTP,0.849678005,NA,NA
Cytosine,NA,NA,NA
Cytosine,NA,NA,NA
Cytosine,NA,NA,NA
Galactosamine,0.10585493,4.613557452,0.022944318
Gluconolactone,NA,NA,NA
Capric acid,0.115783337,0.889289375,0.130197594
Dehydroascorbic acid,0.766131048,2.834591176,0.270279204
Dehydroepiandrosterone sulfate,0.372472184,0.673574598,0.552978372
3-Dehydroxycarnitine,NA,NA,NA
Deoxycholic acid,NA,0.627466006,NA
Deoxycholic acid,1.620983194,NA,NA
11-Deoxycorticosterone,4.109436739,NA,NA
11-Deoxycorticosterone,NA,1.021462266,NA
11-Deoxycorticosterone,NA,NA,NA
2-Deoxy-ribose,NA,0.650464426,NA
2-Deoxy-ribose,NA,NA,NA
Deoxyuridine,0.131415957,NA,NA
Deoxyuridine,NA,NA,NA
Deoxyuridine,1.025712907,4.222884443,0.242893908
Desmosterol,2.065702601,1.507343619,1.370425811
Dethiobiotin,NA,NA,NA
Dethiobiotin,NA,NA,NA
Dethiobiotin,NA,NA,NA
Dihydroxyacetone phosphate,0.725973129,0.283349104,2.56211549
Tert-butoxycarbonyl anhydride,NA,0.686959125,NA
Gluconolactone,NA,NA,0.677516622
Gluconolactone,NA,NA,NA
Gluconolactone,NA,NA,NA
Diethanolamine,NA,NA,NA
4-Heptenal diethyl acetal,NA,NA,NA
Diethyl aminomalonate,0.433045423,1.170211754,0.370057318
Diethyl aminomalonate,NA,0.42562471,NA
4-Heptenal diethyl acetal,1.369920375,0.576697056,2.375459285
4-Heptenal diethyl acetal,NA,NA,NA
"11Z,14Z-Eicosadienoic acid",0.030317874,2.213212838,0.01369858
"11Z,14Z-Eicosadienoic acid",0.014693249,3.166848899,0.004639706
"4,5-Dihydroorotic acid",3.260445027,NA,NA
"4,5-Dihydroorotic acid",2.843733276,NA,NA
Dihydroxyacetone phosphate,NA,NA,NA
Dihydroxyacetone phosphate,NA,NA,NA
Dihydroxyacetone phosphate,NA,0.541679108,NA
Dimethyl maleate,NA,NA,NA
Dimethyl maleate,NA,4.257772268,NA
Dimethylarginine,NA,NA,NA
Dimethylarginine,0.611259041,1.782020277,0.343014638
Dimethylbenzimidazole,NA,NA,NA
"1,7-Dimethyluric acid",NA,NA,NA
"1,7-Dimethyluric acid",NA,NA,NA
Dimethyl maleate,NA,0.723052837,NA
Dimethyl maleate,NA,0.414467617,NA
"1,7-Dimethyluric acid",NA,3.696424208,NA
Dimethyl maleate,2.035594429,0.428225436,4.753557958
DG 16:0_16:0,3.782020528,0.216108471,17.50056589
Docosadienoic acid,NA,NA,NA
Docosahexaenoic acid,0.971861707,NA,NA
Docosahexaenoic acid,1.792206175,1.942674204,0.922545927
Docosahexaenoic acid,NA,NA,NA
Docosahexaenoic acid,NA,NA,NA
Docosahexaenoic acid,1.87262852,1.937844572,0.966346087
DPA,0.006951101,2.872675333,0.002419731
Dodecanedioic acid,NA,2.036817876,NA
Dodecenoic acid,0.08641692,1.610907169,0.053644879
Dodecenoic acid,0.08641692,1.610907169,0.053644879
Dopamine,NA,NA,NA
Dopamine,NA,NA,NA
Edetic acid,NA,3.154698582,NA
Edetic acid,7.473504212,0.638611905,11.70273238
Edetic acid,NA,4.792946448,NA
Edetic acid,NA,4.746934547,NA
Edetic acid,NA,0.947521166,NA
Epinephrine,NA,NA,NA
Erythritol,NA,0.215344508,NA
Estradiol-17alpha,0.832839976,NA,NA
Estriol,NA,NA,NA
Estriol,1.542213146,0.70588283,2.184800481
Estrone,11.87189379,1.242648162,9.553704862
Estrone 3-glucuronide,NA,2.85965001,NA
Phosphoethanolamine,0.754600291,NA,NA
Estrone,1.243164386,1.784327411,0.696713158
Ethyl 4-oxocyclohexanecarboxylate,NA,0.811606393,NA
Ethylmalonic acid,NA,0.770178866,NA
trans-Ferulic acid,NA,0.90960556,NA
trans-Ferulic acid,NA,NA,NA
trans-Ferulic acid,0.092248852,NA,NA
FAD,NA,NA,0.335589173
FAD,0.355726437,6.707613002,0.053033238
Folic acid,NA,NA,NA
N-Formylmethionine,NA,0.888268284,NA
N-Formylmethionine,0.202020571,2.744305846,0.073614452
Formylanthranilic acid,NA,NA,NA
"Fructose 1,6-bisphosphate",3.393528654,1.170442179,2.899356085
"Fructose 1,6-bisphosphate",0.428628619,1.881392707,0.227825173
Fumaric acid,0.616400993,1.884587881,0.327074688
Fumaric acid,NA,NA,NA
gamma-Butyrolactone,NA,NA,1.106957694
gamma-Linolenic acid,0.004121071,0.166125551,0.024806965
GDP-glucose,NA,NA,NA
GDP-glucose,NA,1.0652275,NA
Gluconic acid,0.606255694,0.693323263,0.874419951
Glucosaminic acid,NA,NA,NA
Glucosamine 6-phosphate,0.987840895,NA,NA
Glucosamine 6-phosphate,NA,NA,NA
Glucosamine 6-sulfate,0.522543176,NA,NA
Glucosamine 6-sulfate,NA,1.930813302,NA
Glucose 6-phosphate,5.615566308,5.056250937,1.110618594
Glucose 6-phosphate,NA,NA,NA
Glucuronolactone,0.436506837,1.687819654,0.258621729
Glutamic acid,0.49454397,2.242480271,0.220534368
Glutamine,6.313399528,1.01533026,6.218074821
Glutamine,1.835812543,1.113221107,1.649099655
Glutamine,0.49859007,0.939844997,0.530502446
Glutamine,0.506794599,1.459586822,0.347217851
Glutaric acid,NA,0.870822517,NA
Glutaric acid,NA,1.145718468,NA
Glutaric acid,NA,0.798342755,NA
Glutaric acid,NA,0.861759252,NA
Glutaric acid,NA,1.70958712,NA
Glutathione,1732.04053,3.185058822,543.80174
Glutathione,28.15154838,6.608960191,4.259603262
Glutathione,NA,6.598548907,NA
Glutathione,NA,2.196541555,NA
Glutathione,NA,NA,NA
Glutathione,NA,NA,NA
Glyceric acid,NA,1.22357275,NA
Glyceric acid,0.698635744,3.737038873,0.186949017
sn-Glycero-3-phosphate,NA,NA,1.525248943
sn-Glycero-3-phosphate,NA,NA,NA
sn-Glycero-3-phosphate,0.017561938,0.27635775,0.063547839
sn-Glycero-3-phosphate,0.015569688,NA,NA
sn-Glycero-3-phosphocholine,NA,NA,NA
Glycine,NA,NA,0.227710099
Glycocholic acid,NA,NA,NA
Glycocholic acid,2.415955265,3.61246696,0.668782661
Glycocholic acid,2.499208822,2.771474023,0.90176159
Glycocholic acid,2.687859971,1.920234225,1.399756309
Glycocholic acid,3.860083166,3.247151485,1.188759805
Glycocholic acid,NA,NA,NA
Glycocholic acid,1.199664184,1.189467071,1.008572842
Glycocholic acid,4.252562581,3.964328771,1.072706838
Glycocholic acid,NA,NA,1.29623026
Glycocholic acid,NA,NA,NA
Glycocholic acid,NA,NA,NA
Glycocholic acid,NA,1.432092462,NA
Glycocholic acid,NA,NA,NA
Glyoxylic acid,0.744890335,2.69905568,0.275981833
GTP,NA,NA,NA
Guanidoacetic acid,NA,NA,NA
