,Adenocarcinoma_Current_F vs Healthy_Current_F,Adenocarcinoma_Current_M vs Healthy_Current_M,Adenocarcinoma_Former_F vs Healthy_Former_F,Adenocarcinoma_Former_M vs Healthy_Former_M
Glyceric acid,1.602622275,1.293275067,1.161676809,1.057709463
Glycerol,1.329217911,2.035766747,0.937719869,1.006317475
Galactosylglycerol,0.923446069,0.456114029,1.185710906,0.705520505
sn-Glycero-3-phosphate,1.071682464,1.083210604,1.026012847,1.152148612
Glycine,1.124449722,1.252420739,1.106546378,1.051011509
Glycolic acid,1.073210832,0.936736959,0.999352541,0.830939227
Glycolic acid,1.307113068,1.215116279,1.19389313,1.219485294
Guanosine,0.95060241,0.638020833,1.23094959,1.128183716
Guanosine,0.604894434,0.599579611,0.910226645,1.648578702
Hippuric acid,1.098481442,1.270229594,1.073663977,0.673024078
Histidine,0.911320149,0.915547527,0.936639532,0.953238348
Hydroxylamine,1.085988754,1.167092028,1.146071894,0.982990388
Hypoxanthine,0.931638306,0.574695122,1.273817402,1.245181176
Indoleacetic acid,1.602245064,0.833815493,1.374086735,0.823630242
Indolelactic acid,0.882240746,1.125061305,1.306900726,0.7058753
Inosine,1.253361858,0.098011761,3.568333333,1.182443654
IMP,1.153343023,1.168181818,1.140804598,0.694766355
Myo-inositol,1.026803349,0.827078932,1.244530947,1.063862416
Inulobiose,1.106777494,5.460251046,1.634915773,0.813481894
Isocitric acid,1.109656301,1.318537859,0.967702988,0.772399278
Isoleucine,1.033578862,0.708378852,0.898278756,0.762506726
Isoleucine,0.992465753,1.137019231,0.982971227,1.171502591
D-Threonic acid,0.951268358,1.198075835,1.592502286,1.002528257
Kynurenine,0.8,1.116666667,2.651462568,1.99449619
Lactamide,1.133777633,1.333333333,1.029535865,0.866839378
Lactic acid,1.233777457,1.204668246,0.996184871,0.905487008
Lactic acid,0.835403727,0.920560748,1.021779254,1.064705882
Lauric acid,1.720904786,2.406375785,1.160483197,0.584497373
Leucine,1.181234915,0.757322755,1.018698704,0.85478846
Levanbiose,0.895108696,1.392079208,1.257942919,1.499318956
Glucosan,1.205833333,1.006396588,1.420217508,0.651339151
Lignoceric acid,0.559773419,1.452538631,1.595607235,0.782177161
Linoleic acid,0.646712329,0.974592654,0.948198539,0.934517766
alpha-Linolenic acid,0.65620647,0.880975374,1.078769767,1.361526718
Lysine,0.959397101,0.916003421,0.969511227,0.869175893
Lyxose,1.294057377,0.889655172,1.330863181,0.546123102
Maleimide,0.739382124,1.19646098,1.190577724,0.838423979
Malic acid,1.357287449,1.216168717,1.114591101,1.08357822
Malonic acid,2.949823585,12.8327281,1.039070826,0.810521518
Maltose,0.863701068,1.040723982,1.438530578,2.09522036
Maltotriose,1.035714286,0.893899204,0.934359632,2.006506849
Mannitol,0.519158697,1.172029976,1.450494522,0.972173006
Methanolphosphate,1.239092997,1.371428571,1.172088947,1.023975214
Methionine,1.065645956,0.842529821,0.818282022,0.77062167
Methionine sulfoxide,1.07438946,0.851248643,1.019267265,1.018736743
Methionine sulfoxide,0.904640941,1.023809524,1.114214529,1.137200665
Myristic acid,1.187251787,0.944785276,1.056772839,0.955108608
N-Acetylglutamic acid,0.751302988,1.205710102,1.082967515,0.828616352
N-Acetylglutamic acid,1.321283096,1.963691377,0.780319276,0.832911392
N-Acetyl-mannosamine,0.806191467,0.676584735,0.910645724,1.135275424
N-Methylalanine,0.908529161,0.834836098,1.03522811,0.804600721
Naproxen,0.012525628,0.013787329,0.760490958,100.1971698
Nicotinic acid,0.979133858,1.108374384,0.542454728,0.906685237
Stearyl alcohol,0.768925234,1.02915952,1.261945884,1.209161148
Oleic acid,0.705289041,1.018692661,0.861046039,1.109033073
Ornithine,1.061816373,1.007295946,1.071990031,0.848285222
Oxalic acid,0.912373602,1.337305053,0.216859013,1.162691925
Pyroglutamic acid,0.952175907,1.238951095,1.068211349,0.857284164
P-Cresol,0.406089685,1.760999148,1.364385259,1.212087991
Palmitic acid,0.85987016,1.160660485,1.105892334,1.031229373
Palmitoleic acid,1.676439358,1.484144543,0.827961522,1.153871463
Palmitoleic acid,1.203169014,1.222885572,0.77058783,0.733333333
Acetaminophen,1.027492292,12.23046092,8.429530201,2.164071856
Pelargonic acid,1.510322393,0.943514644,1.121502131,0.96037824
Phenylalanine,1.173728355,0.886084597,1.035641949,0.997709731
Phenylethylamine,0.944682038,0.6448737,1.371295671,0.914867617
Phosphoethanolamine,0.964181994,0.625766871,1.148533333,0.83061089
Pipecolic acid,1.669093851,1.185994648,1.282193983,1.304112889
Proline,1.323718895,1.032343668,1.108442141,0.79618849
Pseudouridine,0.830093313,1.455400485,1.353217558,0.900441379
Pyrophosphate,1.0232355,1.264457831,0.956343196,0.674280982
Pyruvic acid,1.488858179,0.687804299,0.7217231,1.053949563
Quinic acid,1.325970035,1.305975049,1.690483751,1.871539823
Ribitol,1.021150592,1.951612903,1.718609407,0.944875346
Glucaric acid,0.63710733,1.563467492,1.597974042,0.86360601
2-Hydroxybenzaldehyde,1.283304498,0.933333333,1.796589525,0.872871046
Salicylic acid,0.351615567,0.753447366,41.30828516,19.07465753
Serine,1.166068914,1.084933173,1.020284258,0.943900218
Shikimic acid,1.161414093,1.717409413,1.013001602,1.227962686
Sorbitol,1.146636993,2.253176931,1.022413537,1.656556604
Stearic acid,0.837767904,1.120119418,1.179896793,1.099889117
Stigmasterol,1.325,1.276190476,1.186732187,1.054495413
Succinic acid,1.289408867,1.181642512,1.224716945,0.859426402
Sucrose,0.451175407,1.376,1.227144356,0.613268293
Fructose,0.814776568,0.799595142,1.071265177,0.921876145
Taurine,0.897788664,1.311384026,1.263631892,1.038215835
Threitol,1.253043478,1.00673968,1.163631044,0.918891455
D-Threonic acid,1.427136317,1.251677852,1.10769547,1.326847826
Threonine,1.218954627,1.010228851,0.901260574,0.832883237
Retinal,1.388541805,0.860385697,1.010367727,1.300862571
trans-4-Hydroxyproline,0.660860656,1.20081663,1.00189719,0.571933281
trans-4-Hydroxyproline,1.165662651,1.269230769,1.029162052,1.207948718
Tryptophan,1.100117482,0.995843266,0.947180423,0.829670423
Tyrosine,1.107247265,0.878011102,0.910810655,0.893183035
Urea,0.965488423,0.652711007,1.066626325,1.310709883
Uric acid,0.670071464,2.949482635,1.140815727,0.632928907
Uridine,0.554081633,1.240223464,1.111587983,1.332692308
Valine,1.257369641,0.917066923,0.998996221,0.852378905
Xanthine,0.970439189,1.25,1.193047035,0.965831663
Xylitol,0.943123875,1.534574468,1.533048027,0.618064953
Xylose,1.743389423,1,0.784810127,0.788365329
