,Condition-1 vs Control,Condition-2 vs Control,Condition-3 vs Control,Condition-2 vs Condition-1,Condition-3 vs Condition-1,Condition-3 vs Condition-2
L-ARGININE,2.136322875,2.766566493,1.960114064,2.817481219,1.996187179,0.708500616
L-CYSTATHIONINE,0.013277229,0.023136756,0.017058771,0.023562555,0.017372714,0.737301773
L-CYSTEINE,0.323948952,0.402274129,0.299608322,0.409677413,0.305122188,0.744786454
LEUCINE,0.055213394,0.083521335,0.064030235,0.085058426,0.06520862,0.766633279
L-GLUTAMIC ACID;N-METHYL-D-ASPARTIC ACID;O-ACETYL-L-SERINE;O-Acetyl-L-Serine,26.96863716,39.21406767,29.16603337,39.93574688,29.70279278,0.743764549
L-GLUTAMINE,5.941021755,10.82396946,6.792716942,11.02316924,6.917727248,0.627562464
L-HISTIDINE,1.770219322,2.305920522,1.991801756,2.348357714,2.028458038,0.86377728
L-ISOLEUCINE,0.033421614,0.048834686,0.039203374,0.049733419,0.039924857,0.80277724
L-KYNURENINE,0.013461432,0.005852964,0.013960638,0.005960679,0.014217564,2.385225538
"LL-2,6-DIAMINOHEPTANEDIOATE",0.12166898,0.510281304,0.120298053,0.519672306,0.122511968,0.235748502
L-LYSINE,0.012790932,0.030767459,0.01407755,0.031333691,0.014336628,0.45754673
L-METHIONINE,0.738507634,1.376463526,0.861200914,1.401795382,0.877050094,0.625661994
L-Phenylalanine-13C6,0.263757771,0.264131654,0.270548768,0.268992622,0.275527834,1.024295135
L-SERINE,4.628634172,3.694279982,4.620639301,3.762267957,4.705675604,1.250755039
L-TYROSINE,0.792598531,1.144170513,0.895714054,1.165227346,0.912198398,0.782850146
L-Tyrosine-13C6,0.124245411,0.122783784,0.124008197,0.125043445,0.126290391,1.009972104
L-VALINE,0.040829056,0.064025475,0.048929428,0.065203773,0.049829905,0.76421812
MALATE,0.279651335,0.596299324,0.474067301,0.607273366,0.482791837,0.795015661
MALATE;OXALOACETATE+2H-H,7.210038149,22.39779222,10.47097778,22.80999177,10.66368125,0.467500443
Mannitol,0.110362758,0.058850378,0.099972855,0.059933436,0.101812714,1.69876317
N-ACETYL-DL-GLUTAMIC ACID,0.057306789,0.056845988,0.065616663,0.057892158,0.066824245,1.154288382
N-ACETYL-HEXOSAMINE,0.432703241,0.63030302,0.450683746,0.641902851,0.45897794,0.715027108
N-ACETYL-L-ALANINE,0.14034261,0.376783681,0.175106983,0.383717849,0.178329578,0.46474142
N-ACETYL-L-ASPARTIC ACID,0.243409099,0.459169412,0.313180928,0.467619772,0.318944578,0.682059649
N-ACETYL-L-LEUCINE,0.759997713,1.581520693,0.749891125,1.610626335,0.763691805,0.474158275
N-ACETYLNEURAMINATE,4.767646477,3.865663389,5.921391639,3.936805432,6.030366441,1.531791841
NALPHA-ACETYL-L-LYSINE,0.038569259,0.075013173,0.048888153,0.076393684,0.04978787,0.651727576
N-BOC-L-Aspartic Acid_R1,18.68112801,19.3266539,19.04627397,19.68233351,19.39679359,0.985492578
N-BOC-L-Aspartic Acid_R2,2.971825794,3.053224588,2.994372188,3.109414849,3.049479354,0.98072451
N-BOC-L-tert-Leucine_R1,26.72738001,27.87498159,26.57088888,28.38798103,27.05988835,0.953216374
N-BOC-L-tert-Leucine_R2,13.588646,14.50151089,13.86902593,14.7683906,14.12426565,0.956384892
N-BOC-L-Tryptophan_R1,32.58927672,33.58038718,33.22828215,34.1983865,33.83980148,0.989514563
N-BOC-L-Tryptophan_R2,32.06111917,33.31304817,33.13699566,33.9261275,33.74683499,0.994715208
N-formyl-L-methionine,0.013846335,0.025078616,0.016444805,0.025540152,0.016747448,0.655730161
Nicotinamide ribotide,0.069760548,0.033519356,0.074019911,0.034136232,0.075382142,2.208273678
N-METHYL-L-GLUTAMATE;ALPHA-AMINOADIPATE;L-2-Aminoadipic Acid,0.032259928,0.059323634,0.031820644,0.060415401,0.032406258,0.536390685
Pantothenic Acid,3.738038552,3.653177001,4.520156807,3.720408535,4.603343872,1.237322146
PHOSPHOCHOLINE,4.270213747,10.54358953,4.211770441,10.73762931,4.289282093,0.399462672
S-(5'-ADENOSYL)-L-HOMOCYSTEINE,0.053398032,0.076297639,0.052871048,0.077701789,0.053844065,0.692957852
Salicylic Acid-D4,2.51117865,2.583107839,2.553749322,2.63064627,2.600747451,0.988634421
SARCOSINE/BETA-ALANINE_R1,1.484556706,2.355491303,1.552443599,2.398840774,1.581014118,0.659074223
SARCOSINE/BETA-ALANINE_R2,0.365748318,0.420242505,0.292041585,0.427976472,0.297416196,0.694935856
S-CARBOXYMETHYL-L-CYSTEINE,0.311701239,0.23546574,0.297268193,0.239799153,0.302738992,1.262468982
SUCCINATE,4.849634264,11.48905674,5.833275203,11.70049651,5.940628347,0.507724467
"Succinic-2,2,3,3-D4 Acid",4.60513077,4.628113774,4.55997956,4.713287634,4.643899506,0.985278189
Sulfoacetaldehyde,0.244156149,0.224802044,0.25267044,0.228939206,0.25732048,1.123968606
TAURINE,2.976727618,5.479454769,3.302151694,5.580296351,3.362923105,0.602642386
THREONINE/HOMOSERINE,2.168200638,1.68762311,2.031085593,1.718681416,2.068464838,1.203518475
Tryptophan,0.747080088,0.860446105,0.882046314,0.876281394,0.898279124,1.0251035
"Tryptophan-2,3,3-D3",2.748297262,2.764902797,2.777716616,2.815786905,2.828836544,1.004634456
UDP,1.134053362,1.763796665,1.386683962,1.796256837,1.41220391,0.786192643
Uracil,1.033632942,0.292064863,1.313689524,0.297439902,1.337866114,4.49793758
URIDINE,2.26453175,4.631784534,2.586212623,4.717025949,2.633808193,0.558362032
XANTHINE,3.285294144,3.93160425,3.761323649,4.003959841,3.830545468,0.956689283
(R)-MALATE,0.171245173,0.550914876,0.265395972,0.561053682,0.270280208,0.481736804
2-hydroxyglutarate+Na,0.007712991,0.013797431,0.008907214,0.014051353,0.009071139,0.645570458
2-Hydroxyphenylalanine;L-TYROSINE,9.272099139,13.6408097,10.64008978,13.89184943,10.83590552,0.780018929
3'-CMP,0.017822383,0.039944034,0.021835663,0.040679147,0.022237517,0.546656437
3-UREIDOPROPIONATE,0.037612837,0.050737618,0.054373493,0.051671371,0.05537416,1.071660355
4-AMINOBUTANOATE (GABA);2-AMINO-2-METHYLPROPANOATE;3-AMINOISOBUTANOATE,1.109877179,3.242573697,1.37387588,3.30224866,1.399160114,0.4236992
4-GUANIDINOBUTANOATE,0.433511453,0.50033212,0.52867827,0.509540022,0.538407843,1.056654668
5-AMINOLEVULINIC ACID;4-HYDROXYPROLINE;trans-4-Hydroxy-L_Proline,0.149843121,0.355682418,0.20376129,0.362228247,0.207511227,0.572874227
5'-DEOXYADENOSINE,0.10935189,0.380732213,0.099799281,0.387739048,0.101635945,0.262124604
5-HYDROXYINDOLEACETATE,0.13990124,0.346979881,0.176163168,0.353365553,0.1794052,0.507704271
5-HYDROXY-L-TRYPTOPHAN,0.00937284,0.010907366,0.009710535,0.011108101,0.009889244,0.890273136
5-Hydroxymethyl-2-furaldehyde,0.481628431,0.628171154,0.555332817,0.639731752,0.565552928,0.884046988
5-Hydroxy-N-formylkynurenine,0.122513054,0.106029388,0.113044624,0.107980708,0.11512505,1.066163131
5-OXO-L-PROLINE;Pyroglutamic Acid,4.306754685,5.682656799,4.684539062,5.787238025,4.770751349,0.824357202
6C-SUGAR ALCOHOL_R1,0.244953667,0.682294588,0.255233112,0.69485125,0.259930315,0.374080517
6C-SUGAR ALCOHOL_R2,0.045116978,0.028522072,0.040616359,0.029046981,0.041363845,1.424032518
ALANINE/SARCOSINE,6.390314816,11.95853011,8.370363698,12.17860987,8.524408351,0.699949209
ALDO/KETO-HEXOSE,20.7937582,29.77243647,24.6538726,30.32035588,25.10759211,0.828077092
Allopurinol,5.198642531,16.10554492,7.898093566,16.40194459,8.043446759,0.490395923
ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE;L-2-Aminoadipic Acid,0.067938666,0.283111419,0.045880003,0.288321683,0.046724359,0.162056348
Anthranilate,0.045180879,0.042793672,0.043544112,0.043581228,0.044345479,1.017536241
ASPARTATE,10.42622118,13.09309077,11.29799353,13.3340505,11.50591705,0.862897366
BOC-D-Phenylalanine,30.4114419,29.96152992,30.52881024,30.51292931,31.09064963,1.018933624
BOC-L-Tyrosine_R1,59.20580885,56.55850065,58.57332388,57.59937952,59.65128271,1.035623703
BOC-L-Tyrosine_R2,0.344680896,0.341023764,0.346794048,0.347299822,0.3531763,1.016920475
BUTYROBETAINE,0.690648606,1.813832485,0.887172964,1.847213496,0.903500122,0.489115159
Butyrylcarnitine,0.253146499,0.501094884,0.272095422,0.510316823,0.277102952,0.543001796
Caffeine-D3,6.758618504,6.314838951,6.403219466,6.431054592,6.521061624,1.013995688
Choline,64.0765951,20.98285164,67.68241143,21.36901122,68.92801007,3.225605966
Citrate source fragment (+H and + NH3),0.288965687,0.464856429,0.354409297,0.473411452,0.360931697,0.762405927
Citrate source fragment (+NH3)_R1,0.113024085,0.178496124,0.135329678,0.181781092,0.137820228,0.758165916
Citrate source fragment (+NH3)_R2,0.055470561,0.089935123,0.068900956,0.091590252,0.07016898,0.766118432
Citrate+Na;CITRATE,0.21944444,0.350435205,0.266414142,0.356884467,0.271317116,0.760237951
Citrate+NH3,0.372028698,0.590229881,0.446873643,0.601092223,0.455097718,0.75711796
CITRULLINE,0.422024939,0.598785707,0.378992618,0.609805507,0.385967439,0.632935312
CMP,1.414379761,0.989129866,1.516134202,1.007333396,1.544036499,1.5327959
CREATINE,52.45712909,92.37540682,61.38364367,94.07544496,62.51332243,0.664502012
Creatine-D3,19.62007476,18.60288245,24.90165022,18.94524207,25.35992972,1.338590957
Cyclic-ADP Ribose,0.086670458,0.116620186,0.094520313,0.118766414,0.096259825,0.810497024
CYS-GLY,0.271120939,0.725990887,0.274059255,0.739351718,0.279102927,0.377496826
CYTIDINE,0.12808779,2.305303165,0.115817321,2.347728995,0.117948774,0.050239518
CYTIDINE 5'-DIPHOSPHOCHOLINE,0.574654971,0.633223405,0.59688584,0.644876982,0.607870676,0.942614937
CYTOSINE_R1,0.359638644,0.370729431,0.373845756,0.377552179,0.380725856,1.008405929
CYTOSINE_R2,0.347733321,0.301902678,0.36960439,0.307458768,0.376406434,1.224250121
D-(+)-RAFFINOSE,0.008455868,0.063145277,0.005565542,0.064307376,0.005667968,0.088138684
DIETHANOLAMINE,3.324679374,2.337145001,1.621119403,2.380156834,1.650953803,0.69363236
DIHYDROXYACETONE PHOSPHATE,0.213906479,0.31903024,0.263649922,0.324901539,0.268502024,0.826410443
DL-5-HYDROXYLYSINE,0.024470843,0.011170858,0.024350932,0.011376442,0.024799076,2.179862246
D-Ribose;ALDOPENTOSE,0.180894481,0.24201685,0.24742577,0.246470826,0.25197929,1.022349353
D-SACCHARIC ACID,0.063371537,0.094915779,0.075669001,0.09666257,0.077061582,0.797222566
ETHANOLAMINE PHOSPHATE;2-AMINOETHYL DIHYDROGEN PHOSPHATE,1.552503066,0.044429786,0.466024766,0.045247454,0.47460129,10.48901657
Formyl-5-hydroxykynurenamine,0.082884285,0.072289315,0.075695018,0.073619697,0.077088077,1.047112126
Formylkynurenine,0.294300013,0.260478434,0.254520491,0.265272169,0.259204579,0.977126924
GLUCOSE/FRUCTOSE-PHOSPHATE,0.321847993,0.671222775,0.382030698,0.683575677,0.38906143,0.56915634
Glutathione Disulfide,3.21215906,3.510404736,3.761574361,3.575008749,3.830800793,1.071550047
Glycerophosphocholine,49.80330044,56.66282807,61.36660641,57.70562693,62.49597163,1.083013476
GLYCINE,1.16994421,1.531277457,1.434029895,1.559458444,1.460421178,0.936492527
Glycyl-L-leucine_R1,1.151561719,2.755968197,1.202046343,2.806687876,1.224168299,0.436161181
Glycyl-L-leucine_R2,0.080785087,0.14912574,0.089679456,0.151870187,0.091329879,0.601368055
HEXOSE-DISACCHARIDE;Lactose+Na,1.643897795,1.512613478,0.351218769,1.54045098,0.357682452,0.232193336
Hippuric Acid,0.26148239,0.236500407,0.244636576,0.240852861,0.249138765,1.034402347
HYPOTAURINE,0.135143649,0.229809629,0.167918889,0.234038949,0.171009198,0.730686915
ISOCITRIC ACID_R1,0.020065096,0.029466822,0.021832859,0.030009117,0.022234662,0.740930223
ISOCITRIC ACID_R2,0.012210937,0.057787934,0.02047569,0.058851439,0.020852516,0.354324658
Isocytosine,0.120109286,1.93950001,0.112356389,1.975193752,0.114424149,0.057930595
Isovalerylcarnitine;Valerylcarnitine,0.345331312,1.060270405,0.510397564,1.079783176,0.519790706,0.481384335
L-ARGININE,84.03573397,123.1715561,90.37362452,125.4383536,92.0368227,0.733721546
L-ASPARAGINE,5.072527572,8.452877621,6.120282665,8.608440826,6.232917773,0.724047234
L-CYSTATHIONINE,0.013878481,0.039972658,0.012881437,0.040708298,0.013118501,0.322256188
L-CYSTEINE,1.826494443,2.955093502,2.038474256,3.009477801,2.075989479,0.689817176
L-Cystine,0.043898564,0.054148081,0.041214089,0.055144599,0.041972576,0.76113666
Leu Pro_R1,0.268395385,0.475794507,0.347461482,0.484550829,0.353856017,0.730276364
Leu Pro_R2,0.08373827,0.111379754,0.106391404,0.11342954,0.108349387,0.955213133
L-GLUTAMINE,36.66456643,59.67528222,49.19037687,60.77352102,50.09565588,0.824300699
L-HISTIDINE,7.279051909,9.224576696,8.284401754,9.394341927,8.4368644,0.89807934
L-Isoleucine,18.92238516,24.26264479,22.59992659,24.7091643,23.01584614,0.931470035
L-KYNURENINE,0.072449783,0.043665458,0.073834795,0.044469058,0.075193619,1.690919978
L-LEUCINE,35.4713216,56.06294543,42.64383148,57.0947043,43.42863062,0.76064201
L-Leucine 13C6,12.16718495,11.82160038,12.15414402,12.03916014,12.37782377,1.028130171
L-Leucine-D10,10.86309224,11.09782893,11.03914476,11.3020687,11.24230453,0.994712103
L-LYSINE_R1,7.49076986,12.10198031,8.235345438,12.32470007,8.386905272,0.68049569
L-LYSINE_R2,0.083379841,0.094553372,0.090041081,0.096293493,0.091698159,0.95227784
L-METHIONINE,7.081537288,13.34086838,8.757576795,13.58638811,8.918747555,0.656447283
L-Phenylalanine 13C6,8.704818812,8.770023447,8.841748546,8.93142327,9.004468368,1.008178439
L-PROLINE,27.28813987,66.97820137,37.6165541,68.21084003,38.30883334,0.561623832
L-SERINE,10.26973006,14.37762208,11.80203899,14.64222179,12.01923875,0.820861678
L-Tyrosine 13C6,1.532945913,1.555045329,1.527520757,1.58366373,1.555632607,0.982299827
L-VALINE/5-AMINOPENTANOATE/L-NORVALINE;BETAINE,24.69299539,4.725963306,29.57682257,4.812937947,30.12114197,6.258369068
LysoPC (16:1),0.015788716,0.045592972,0.01474831,0.046432046,0.015019732,0.323477716
Methionine Sulfoxide,2.192229981,1.682561014,2.44562354,1.713526159,2.490631767,1.453512544
METHYL BETA-D-GALACTOSIDE,0.667520978,0.258926237,0.541378112,0.263691407,0.551341407,2.090858451
N(PAI)-METHYL-L-HISTIDINE,0.161563132,0.36225674,0.213979769,0.368923561,0.217917763,0.590685405
N-Acetyl-Arginine,0.016157383,0.018660132,0.019460063,0.019003545,0.019818197,1.042868425
N-ACETYL-DL-GLUTAMIC ACID,0.020650634,0.02098383,0.022178705,0.021370007,0.022586872,1.056942653
N-ACETYL-HEXOSAMINE,0.204059275,0.368443747,0.192229785,0.375224431,0.195767501,0.521734421
N-ACETYL-L-ALANINE;3-AMINO-5-HYDROXYBENZOIC ACID,0.029465127,0.071287902,0.035976723,0.072599854,0.036638823,0.504667999
N-ACETYL-L-ASPARTIC ACID_R1,0.071144908,0.129859987,0.091059577,0.132249875,0.092735399,0.701213511
N-ACETYL-L-ASPARTIC ACID_R2,0.023084136,0.027195614,0.028777023,0.027696111,0.029306623,1.058149376
N-ACETYLNEURAMINATE,1.989527875,1.667082803,2.717071349,1.697763093,2.767075188,1.62983587
N-ACETYLPUTRESCINE,0.474981405,0.90897609,0.548927048,0.925704503,0.55902927,0.603896026
N-ALPHA-ACETYL-L-LYSINE,0.062649331,0.130758833,0.077058056,0.133165263,0.0784762,0.589314343
N-BOC-L-Aspartic Acid_R1,3.048187204,2.916118931,3.066629031,2.969785958,3.123065982,1.051613155
N-BOC-L-Aspartic Acid_R2,0.076906259,0.072441241,0.074800801,0.073774419,0.076177404,1.032572056
N-BOC-L-tert-Leucine,3.092390469,3.185521924,3.026208286,3.24414693,3.081901351,0.949988215
N-BOC-L-Tryptophan_R1,17.5922106,17.95735656,18.19861371,18.2878362,18.53353334,1.013435004
N-BOC-L-Tryptophan_R2,1.007543524,1.063654199,1.062974637,1.083229244,1.082537175,0.999361106
N-Butylbenzenesulfonamide,0.412128506,0.388701719,0.409921655,0.395855222,0.41746568,1.054591824
"NEPSILON,NEPSILON,NEPSILON-TRIMETHYLLYSINE",0.363407993,0.5455932,0.372588806,0.555634068,0.379445774,0.682905883
NICOTINAMIDE MONONUCLEOTIDE,0.061996306,0.027603339,0.067494361,0.028111339,0.068736499,2.445152055
NICOTINAMIDE;NIACINAMIDE,4.849646522,5.416887857,5.82279734,5.516577983,5.929957654,1.074934075
N-METHYL-D-ASPARTIC ACID;O-ACETYL-L-SERINE;L-GLUTAMIC ACID;O-Acetyl-L-Serine,50.29885567,82.64035477,61.89223982,84.16123311,63.03127857,0.748934827
ORNITHINE,0.289951125,0.247047061,0.276145738,0.251593612,0.281227808,1.117785967
Orthophosphate,4.728626132,4.777918098,5.168069577,4.865848894,5.263180556,1.081657214
Pantothenic Acid,2.445670878,2.218083749,2.827242992,2.25890443,2.879274383,1.274633112
PEG n5,3.470275587,1.682140835,3.187339372,1.713098248,3.245997826,1.894811246
Phenylalanine,27.35986497,38.80327846,32.12632381,39.51739768,32.71756316,0.827928079
Phe-Phe,0.039836772,0.122829819,0.038174184,0.125090327,0.038876726,0.310789225
PHOSPHOCHOLINE,81.08196399,186.4200523,89.09561366,189.8508486,90.73529187,0.477929346
Proprionylcarnitine,0.062169294,0.124888981,0.070422832,0.127187385,0.071718864,0.563883469
PUTRESCINE,2.208923672,7.17762173,3.09167713,7.309715662,3.148575056,0.430738376
PYRIDOXAL,0.299817173,0.464955345,0.33133455,0.473512188,0.337432292,0.712615855
PYRIDOXAMINE,0.95482362,1.506474788,1.02937834,1.534199316,1.048322586,0.683302733
PYRIDOXINE,0.240307641,0.251799827,0.285626884,0.256433845,0.290883441,1.134341062
QUINATE,0.121427723,0.194092291,0.152140019,0.197664283,0.15493994,0.783854006
RIBOFLAVIN_R1,0.054783957,0.021306071,0.066461846,0.021698179,0.067684982,3.119385354
RIBOFLAVIN_R2,0.016133322,0.011141777,0.012611555,0.011346825,0.012843652,1.131915915
Ribulose 5-Phosphate,0.578927701,0.303423315,0.60966973,0.30900739,0.620889835,2.009304163
S-CARBOXYMETHYL-L-CYSTEINE,0.027911692,0.068368495,0.062701038,0.06962672,0.063854962,0.917104267
SEROTONIN-NH3,0.012087374,0.03491317,0.011926841,0.035555697,0.012146337,0.341614373
Source Fragment TRP,0.03209796,0.034479624,0.034947207,0.035114173,0.03559036,1.013561123
SPERMIDINE,50.18148732,45.4476308,50.10976222,46.28402988,51.03196121,1.102582496
SPERMINE,1.678683816,1.830799123,1.738568144,1.86449238,1.770564021,0.949622557
TAURINE,1.808379813,3.539700331,2.06824291,3.604843488,2.106305983,0.584298872
THREONINE/HOMOSERINE,18.55071874,24.24960387,22.52820149,24.69588338,22.94280104,0.929013176
TRANS-CINNAMATE,0.420909483,0.384425403,0.398055324,0.391500207,0.405380967,1.035455307
Tryptophan,6.837610334,7.565511847,8.108788392,7.704744345,8.258019123,1.071809622
"Tryptophan-2,3,3-D3",26.81214603,26.45352054,27.36638543,26.94036001,27.87002488,1.034508257
Uracil,0.838031229,0.236673982,1.086977637,0.24102963,1.106981916,4.592721294
URIDINE,0.320858187,0.74469099,0.378365024,0.75839597,0.385328295,0.508083257
