,"Unstimulated, P4HA3 #2 siRNA vs Unstimulated, Control siRNA(A549_48h)","TGF-É¿, P4HA3 #2 siRNA  vs TGF-É¿, Control siRNA(A549_48h)"
Spermidine,0.327659332,1.398751779
Succinate,1.082722516,1.258550374
Taurine,0.825965882,1.30125842
Terephthalate,1.180924149,1.270938368
Thiamine,1.062826878,0.836612696
Thr,0.656019056,1.148513247
Threonate,0.925152834,1.091987964
Thymidine,1.017123066,1.434080454
Trimethylamine N-oxide,NA,NA
Trp,0.76872006,1.05919948
Tyr,0.635779904,1.012444034
UDP,0.917860185,NA
UDP-glucose,0.634190507,0.881859614
UDP-glucuronate,0.764325991,1.446999009
UDP-N-acetylglucosamine,0.875545972,1.164826953
UMP,NA,NA
Urea,0.865013921,0.987672513
Urocanate,NA,NA
UTP,0.417388283,0.97072486
Val,0.677453233,1.002312617
