,RCC stage1_woman vs normal colon tissue_woman,RCC stage2_woman vs normal colon tissue_woman,RCC stage3_woman vs normal colon tissue_woman,RCC stage2_woman vs RCC stage1_woman,RCC stage3_woman vs RCC stage1_woman,RCC stage3_woman vs RCC stage2_woman,RCC stage1_men vs normal colon tissue_men,RCC stage2_men vs normal colon tissue_men,RCC stage3_men vs normal colon tissue_men,RCC stage2_men vs RCC stage1_men,RCC stage3_men vs RCC stage1_men,RCC stage3_men vs RCC stage2_men
Glucose 6-phosphate,3.770409701,5.041785682,6.13366981,1.337198364,1.626791329,1.216566946,7.461889546,3.378222086,3.575544014,0.452730112,0.479174074,1.058409993
Xanthosine,3.275383316,5.226531646,4.803453777,1.59570076,1.466531796,0.919051888,2.098497101,2.253614319,1.980105208,1.073918243,0.943582532,0.878635351
CMP,2.507422263,1.99970101,2.077662576,0.797512665,0.828604981,1.038986611,1.034903981,0.843388705,0.941767262,0.814943918,0.910004483,1.116646756
AMP,3.257570543,2.701271935,2.611643204,0.829228991,0.801715011,0.966819805,2.278954906,1.483869446,1.640692067,0.651118389,0.719931782,1.105684918
GMP,5.121618477,4.03387842,4.124957635,0.787617906,0.805401194,1.022578572,3.112980281,1.631430844,2.142413053,0.52407362,0.688219282,1.313211076
Uridine 5'-diphosphate (UDP),2.234513638,2.638791284,2.752443084,1.180924224,1.23178621,1.043069643,1.77135194,1.227076737,1.506666175,0.692734577,0.850574152,1.227850002
Vitamin E,0.942588286,0.894638359,0.678196803,0.949129511,0.719504808,0.758068103,1.025879296,1.099301651,1.029836002,1.07157017,1.003856893,0.936809293
UDP-N-acetylglucosamine,14.97972723,15.08002318,14.79333498,1.006695446,0.987557033,0.980988875,8.361216609,5.721541069,6.694120557,0.684295281,0.800615613,1.169985582
CMP-N-acetylneuraminate,4.413379211,3.35934661,3.600327676,0.761173344,0.815775736,1.071734505,2.424421265,2.055233076,1.933119008,0.847721106,0.797352769,0.940583835
GDP-glucose,4.117444719,5.412297819,5.228818393,1.314479778,1.269918299,0.966099532,2.581392601,2.375445363,2.474085191,0.920218553,0.958430419,1.041524772
Alanine,0.922602936,0.913773977,1.188697171,0.99043038,1.288416852,1.300865642,4.752900464,2.561203128,3.123459042,0.538871611,0.657169042,1.219528044
Lactate,1.154749897,1.092506658,1.144590594,0.946098078,0.991202162,1.047673793,1.57405567,1.543426738,1.578208691,0.980541392,1.002638421,1.022535539
xanthine,2.055590815,1.37562518,1.532944384,0.669211581,0.745743935,1.114361969,0.647801355,0.494790631,0.48410063,0.763799932,0.747297959,0.9783949
spermidine,2.102500482,1.727297811,2.082669807,0.821544549,0.990568052,1.205738694,1.418061034,1.347349259,1.526222043,0.950134886,1.076273874,1.132759032
Glycerol 3-phosphate,0.93976349,0.870184431,0.827801954,0.925961096,0.880862007,0.951294834,0.814165747,0.630944803,0.68244384,0.774958668,0.838212419,1.081622097
spermine,1.820838107,1.496478787,2.194612762,0.821862625,1.20527616,1.466517789,1.012623946,1.282928412,1.411727164,1.266934697,1.394127771,1.100394341
Palmitic acid,1.780455591,1.440162782,1.751957366,0.808873184,0.983993858,1.216499542,0.64069992,0.717239177,0.635388772,1.119461944,0.991710397,0.885881296
N1-Acetylspermine,8.707689013,9.326254995,6.189526104,1.071036756,0.710811571,0.663666832,2.583132397,2.169386325,3.467445344,0.839827772,1.342341317,1.598353094
Oleic acid,1.425250701,1.131200863,1.427864802,0.793685534,1.001834134,1.262255757,0.338507128,0.507712894,0.350306579,1.499858796,1.03485732,0.689969831
Diacetylspermine,3.722299949,4.644449629,4.222777489,1.247736532,1.134453845,0.909209449,0.969853442,1.356479074,1.843820315,1.398643357,1.901132929,1.359269266
Stearoylethanolamide,1.751521955,1.464706405,1.324659139,0.836247814,0.756290343,0.904385435,1.021392225,0.87235123,0.919310575,0.854080547,0.900056366,1.053830777
Sphinganine-1-phosphate,1.784903748,1.141620463,1.375039058,0.639597773,0.770371545,1.204462518,1.099403537,0.79743159,0.867777271,0.725331112,0.789316426,1.088215318
L-Palmitoylcarnitine,3.244182049,2.552496385,2.762231816,0.78679197,0.85144168,1.082168748,1.36681749,1.332395759,1.436953533,0.974816147,1.051313393,1.078473511
Stearoylcarnitine,5.847154663,4.948312027,5.496262173,0.846276918,0.93998919,1.11073476,1.115252409,1.296074382,1.379523301,1.162135469,1.23696061,1.064385903
LysoPE(16:1),3.696035539,4.248015188,3.143572404,1.149343707,0.850525481,0.74000969,2.470430276,1.949461357,2.218817844,0.789118145,0.898150361,1.138169698
LysoPE(16:0),1.582040893,1.388321455,1.184582788,0.877550929,0.748768754,0.853248204,0.867555365,0.737424347,0.851775585,0.850002636,0.981811214,1.155068434
LysoPE(18:2),2.219925146,1.900268251,1.483328104,0.856005552,0.668188342,0.780588795,0.882281741,0.977786031,0.923001117,1.10824693,1.04615235,0.943970447
LysoPC(16:0),1.550640096,1.044833832,1.649682508,0.673808084,1.063871954,1.578894613,1.134486788,0.536494288,0.60987444,0.472896021,0.537577384,1.136777136
LysoPE(18:1),2.08768472,1.801826046,1.513866617,0.863073829,0.725141398,0.840184667,1.009649717,0.858092955,0.843983294,0.84989174,0.835916933,0.983556956
LysoPC(16:1),2.611349803,2.058878403,2.233432,0.788434549,0.855278752,1.084780916,1.453157024,1.188327636,1.260435345,0.817755835,0.867377251,1.06067999
LysoPC(18:1),1.785177936,1.549650606,1.335892251,0.868065068,0.748324424,0.86206029,1.029203492,0.864228072,1.033908415,0.839705732,1.004571421,1.196337458
LysoPE(18:0),1.995300728,1.400639388,1.777265559,0.701969066,0.89072566,1.268895887,0.927462144,0.775217532,0.938273706,0.835848166,1.011657146,1.210336024
PC(36:2),0.99521391,0.93455616,0.979497873,0.93905054,0.984208382,1.04808883,1.018848854,1.037137371,0.996303796,1.017950176,0.977872029,0.960628577
