,Adenocarcinoma_Current_F vs Healthy_Current_F,Adenocarcinoma_Current_M vs Healthy_Current_M,Adenocarcinoma_Former_F vs Healthy_Former_F,Adenocarcinoma_Former_M vs Healthy_Former_M
Oxoglutaric acid,1.383617194,1.699432405,1.176937883,1.17893576
Aminomalonic acid,1.186773046,0.644750795,0.857070446,0.833557983
Arabinose,1.31202046,0.80751634,1.062974281,1.095061617
Arabitol,1.088757396,0.469907407,0.837129399,1.596366106
Arachidic acid,1.008753414,0.972456775,0.762141715,1.229494415
Arachidonic acid,0.91771648,0.82883768,0.678881706,0.672639387
Asparagine,0.637957568,0.664019205,0.933547206,0.855560869
Aspartic acid,1.307836403,1.491599032,1.145108729,0.812936232
Azelaic acid,1.071111111,1.218079096,1.011111111,1.1446437
Behenic acid,0.598256735,1.01742677,0.976453055,0.797062234
Benzoic acid,0.931000412,0.781569326,0.989492795,0.992059527
Benzyl alcohol,1.002596818,1.011721167,1.018149254,0.97561656
sn-Glycero-2-phosphate,1.145645646,0.727891156,0.88507505,1.229605933
sn-Glycero-2-phosphate,1.308726568,0.721006501,1.307461815,0.587863146
beta-Alanine,1.040229885,1.142857143,0.674796748,1.057982219
Capric acid,0.935720575,0.946020489,1.094506987,1.093445229
Caprylic acid,0.818675481,0.839298497,0.936314828,0.822870987
Cholesterol,0.89843156,1.063456206,0.957965606,1.016267694
Citric acid,1.252808699,0.786147509,0.7390758,1.015279723
Citrulline,0.666955768,0.740835081,0.746346872,0.952125993
Conduritol epoxide,1.196819788,0.749907647,0.563534117,1.30072866
Creatinine,0.853958102,1.039649903,0.789919884,1.393519853
Cysteine,0.713065092,1.380474453,0.985681338,0.780110527
Cys-Gly,1.031480241,1.161521499,1.241940967,1.330699512
Cystine,0.679849501,1.005926108,0.707899906,0.861152625
3-(3-Hydroxyphenyl)propanoic acid,0.829008341,1.35035461,0.874818734,0.780914333
Erythritol,1.303390423,1.577539794,1.951886851,1.174651312
Erythrose,0.990306947,0.6799117,0.670847652,1.074543136
Ethanolamine,1.837591602,1.621762574,1.304908215,1.536897682
Fructose,0.59912478,0.913157485,0.627588801,0.637718204
Fucose,0.948428117,0.882159624,0.986417885,0.918685965
Fumaric acid,1.093004115,1.595753205,1.132449726,1.081897317
gamma-Tocopherol,1.479552093,1.438572719,1.174202351,1.129211256
Gluconic acid,0.822817632,0.72673031,0.697894737,1.259867047
Glucose,0.875490134,1.045270715,0.915496101,0.845096116
Glucuronic acid,0.788358556,0.477635949,0.70014556,0.817033136
Glutamic acid,1.90413197,1.288812546,1.277192982,1.044600054
Glutamine,0.56036274,0.651110911,0.600628275,0.788913569
Glutaric acid,0.868715084,0.820707071,1.017829457,0.845874126
Glyceric acid,1.218876619,0.785101153,0.75994763,0.853020366
Glycerol,1.012385947,0.842424107,0.74122649,1.1291807
Galactosylglycerol,0.950360813,1.24435411,1.015924383,0.985432267
sn-Glycero-3-phosphate,0.997223765,0.659467209,0.75378969,0.7233336
Glycine,1.041393028,0.672076348,0.948986503,0.783401019
Glycolic acid,1.155447471,1.023146944,0.933446815,0.828402367
Glycolic acid,0.806949807,0.974370305,0.731989597,0.870864393
Hippuric acid,2.218144304,1.490654206,1.815838695,1.2865854
Histidine,0.915662651,0.853945506,0.731598956,0.922201784
Hydroxylamine,1.10708516,1.074587182,0.854051822,1.045995457
Indoleacetic acid,0.669088507,1.388479861,0.710169733,1.030149486
Indolelactic acid,0.546428571,0.816666667,0.989147693,1.293676082
Inosine,0.901298701,0.964971751,0.892057292,0.8445064
Inulobiose,0.882108183,0.635797764,0.465080106,1.393927335
Isocitric acid,1.423309788,0.798509602,0.804171254,1.252274247
Isoleucine,1.12211224,1.182078276,0.985192385,1.088228385
D-Threonic acid,0.845707248,0.720249836,0.674796167,0.995148677
Kynurenine,1.194244604,1.052322614,1.033882353,1.124928563
Lactamide,1.403659849,2.092783505,1.72747182,1.782303094
Lactic acid,1.397114537,2.317222047,2.481171907,1.531679804
Lauric acid,1.345303601,1.161934339,1.364645314,1.213838269
Leucine,0.904333232,1.264143585,1.040970881,0.886613747
Glucosan,0.754179846,1.700330033,1.444161774,0.821546212
Lignoceric acid,1.256700168,0.302683897,1.275741309,1.479057811
Linoleic acid,1.077858881,0.93866076,0.831407606,1.076374634
alpha-Linolenic acid,0.888699672,0.540528477,0.52346822,1.354312354
Lysine,0.967515057,1.005670234,0.826942312,0.935522323
Malic acid,0.561460446,1.124671916,0.864596603,1.007379144
Maleimide,1.835238095,0.640762952,0.837383757,0.996082755
Maltose,2.180238871,0.742798354,0.919969628,1.660545906
Maltotriose,2.139751553,1.263020833,1.038236201,1.407274896
Mannitol,1.226138088,0.455394606,0.725380584,1.422984489
Methanolphosphate,0.690381558,0.756153145,1.097691927,0.939475672
Methionine,0.749346974,1.136467101,1.107532114,0.710611158
Methionine sulfoxide,0.988218988,0.812937595,0.773111902,0.949361515
Methionine sulfoxide,1.096314719,1.027460072,0.925243047,1.047571338
Myo-inositol,1.327562773,0.612134183,0.901331675,1.437857591
Myristic acid,1.052068127,0.894840352,1.041254411,1.223337166
N-Acetyl-D-glucosamine,0.933744422,0.997863845,0.991435438,1.003597968
N-Acetylglutamic acid,1.366612111,1.139814815,1.231509121,1.204498354
N-Acetylglutamic acid,1.052568698,0.627407407,0.794774657,1.083909603
N-Methylalanine,1.012893283,1.291602423,0.962322557,0.96080016
Naproxen,0.403549383,0.028461538,1.970357396,0.038694992
Nicotinic acid,1.508521739,1.050079311,1.210568576,1.397296942
Oleic acid,0.964865835,1.125479731,0.872605405,1.659136064
Ornithine,1.593983937,0.904970845,1.22649006,1.144818669
Oxalic acid,1.328141723,1.003079046,1.182130147,1.327755727
Pyroglutamic acid,0.939299552,0.988956145,1.038672301,0.865472158
Palmitic acid,1.109123995,0.968625786,0.941553009,1.091931577
Palmitoleic acid,1.134449703,0.848194861,1.18819242,2.003631271
Palmitoleic acid,1.337409121,0.904387866,0.945581146,1.411672746
Acetaminophen,1.849190283,0.44005848,4.015674196,0.721799939
Pelargonic acid,0.938016946,0.839170444,1.042222964,1.005271437
Phenylacetic acid,0.63356974,0.663023679,0.913939394,0.955266737
Phenylalanine,1.193782485,0.926925839,0.915153046,1.025359158
Phenylethylamine,1.045707227,0.495663888,1.080974598,0.861636097
Pimelic acid,2.295254833,1.647916667,1.128344086,1.134942562
Pipecolic acid,0.4340124,0.395468134,0.871505376,0.452180913
Proline,0.868519575,0.848904753,1.104773805,0.687143468
Pseudouridine,0.983271375,0.736902746,0.835127732,1.268530543
Pyrophosphate,3.410001199,2.410848126,2.523526032,1.382814104
Pyruvic acid,4.112512988,2.99822695,2.599534229,1.995439832
Quinic acid,0.149102059,0.370513946,0.929399278,1.146437579
Rhamnose,1.413073713,0.824650812,1.06816,1.001221001
Ribose,0.862422998,1.010590858,0.791304348,0.756637632
Glucaric acid,0.787960467,0.661721931,1.038701623,1.360984355
Salicylic acid,0.01161953,0.496453901,0.160516837,0.598309679
Serine,0.881762574,1.094880295,1.039546862,0.921425401
Shikimic acid,0.878401361,0.566644489,0.653230506,1.292839725
Stearic acid,1.120572167,1.021869214,0.920935627,1.021665872
Succinic acid,1.1888376,1.088410256,0.975693555,1.038918326
Sucrose,0.120877281,0.968178954,0.878431373,0.825466403
Fructose,1.019674764,0.904210592,0.68276777,0.655021834
Taurine,2.377700348,1.733859397,1.93456003,0.978842745
Threitol,1.117325228,0.638058837,0.873928355,1.113832093
D-Threonic acid,0.714339481,0.740284409,0.50313636,0.605508685
Threonine,0.870433423,1.008922534,0.973683253,1.222010188
Threose,0.868938401,1.057227139,0.86400205,0.813851181
Retinal,1.024516344,1.016318606,0.778240575,1.013865001
trans-4-Hydroxyproline,2.180067002,0.690062389,0.992179289,0.840773125
Tryptophan,0.921226946,1.150533162,0.785141945,0.970463566
Tyrosine,1.271085708,1.037681441,0.858180966,1.010083004
Urea,1.255003542,0.8795153,0.98503248,1.033544864
Uric acid,1.051968606,0.783290747,0.802179142,0.907088471
Uridine,0.895874263,1.064876957,0.890355556,1.090301003
Valine,0.902627785,1.244295532,1.003371051,0.864031979
Xanthine,1.184914842,0.979342723,1.127371274,1.320886234
Xylitol,0.966861598,0.668269231,1.316973088,0.406162671
Xylose,1.2830033,0.794843507,0.844845831,0.773702403
