,cancer_M_Former vs control_M_Former,cancer_F_Former vs control_F_Former,cancer_M_Current vs control_M_Current,cancer_F_Current vs control_F_Current
Diglycerol,1.236335367,0.498992533,1.00674281,1.21460177
Dodecanol,0.964717742,0.957426679,0.921293472,0.980952381
Epsilon-caprolactam,0.940748965,1.117134354,1.170275479,0.422382671
Erythritol,1.905963602,0.954250043,0.454324947,0.98098434
Fructose,0.819445949,0.142052522,0.389549305,28.37258348
Fucose,0.991294766,1.142431875,0.950834563,0.470657973
Fumaric acid,0.914601601,0.877492877,1.029886148,1.206349206
Galactinol,0.87398374,0.876310273,0.825555556,5.329545455
Galactitol,0.256594141,0.943222143,1.574187192,14.08249027
Glucoheptulose,0.828200972,0.954491018,0.85264568,0.907563025
Gluconic acid,1.13372093,1.047146402,0.878467635,0.996563574
Glucose,0.9022635,0.939387077,0.904114309,1.002694682
Glutamic acid,0.954312812,1.828891335,1.394234804,1.297377389
Glutamine,0.468487214,1.19077662,0.660387644,0.727155217
Glyceric acid,1.35483592,0.696354167,0.98034384,1.132214061
Glycerol,0.814367576,1.740518841,0.95005655,0.591502978
Galactosylglycerol,0.874894336,1.013133208,0.635282458,1.285245902
sn-Glycero-3-phosphate,1.145510836,0.317221625,0.98628193,0.583657588
Glycine,1.078236955,0.745192514,0.881379239,0.69450073
Glycolic acid,1.024025702,0.85100537,1.14103228,0.961584634
Margaric acid,0.955986809,1.125088268,0.987023677,0.666666667
Sorbitol,0.760847107,0.710636956,0.276958068,0.242123288
Hexuronic acid,1.562481601,0.985771773,0.927056875,0.803754266
Hippuric acid,0.658177609,0.885705624,0.84986469,1.894736842
Histidine,0.82115679,1.635423181,0.81261342,1.061534527
Histidine,1.034056617,1.01617532,0.980637994,0.734113712
Hydroxylamine,1.024259994,0.751569448,0.965187713,0.667772142
Hypoxanthine,1.273923445,1.926755448,1.347254005,2.060416667
Indoleacetic acid,1.180481969,0.701575711,0.853082532,1.025477707
Indolelactic acid,1.091587788,0.890287278,0.821510574,0.76905041
Indoxyl sulfate,0.958463136,1.070224719,0.982332155,1.192893401
Inosine,0.367684478,0.883408072,0.739837398,0.707070707
Isocitric acid,1.025873056,1.119548486,1.070673077,0.977245509
Isoleucine,1.01334755,0.865468277,1.177171066,1.363195545
D-Threonic acid,1.317011341,1.145782396,1.519656898,0.829457364
Lactamide,3.432388518,0.725948914,3.560879229,1.826086957
Lactic acid,1.493887457,1.605336507,2.122319875,2.804610355
Lauric acid,1.002146914,1.488358089,1.025505661,0.556915545
Leucine,1.022805604,0.966769248,1.1507867,1.208782596
Glucosan,1.213292308,1.352811466,0.984160959,0.083212735
Linoleic acid,0.935861129,1.360791899,0.840158226,0.155771386
Lysine,0.79184631,0.963106229,0.943963249,0.957567675
L-Arabitol,1.155351048,1.023381295,1.189710842,0.823529412
Malic acid,1.235423542,1.118093923,1.422535211,1.597701149
Maltose,3.938080495,1.399068323,2.148148148,0.748201439
Maltotriose,1.612968592,1.795202952,1.107832009,0.521052632
Mannitol,0.661758606,0.796999166,1.035457783,7.210306407
Mannose,1.130321468,0.965406322,0.928685772,0.651848243
Methanolphosphate,0.967514426,0.808900524,0.946951512,0.709854015
Methionine,0.95881056,1.100576382,0.969251545,1.049939099
Methionine sulfoxide,0.794069504,0.586133105,0.63989063,1.2431562
Myo-inositol,1.203434745,0.928299791,1.098470548,0.824577929
Myristic acid,0.864201547,1.364669138,0.835147808,0.491270113
N-Acetylserotonin,0.811422792,0.868531013,0.942391851,0.913999668
N-Acetylserotonin,1.03030303,0.947162427,0.783995187,0.446808511
N-Acetylornithine,1.065833054,0.62352071,1.068016331,0.729752531
N-Methylalanine,0.766147973,1.109492796,0.687299704,0.665812772
Naproxen,0.37732236,0.006747887,0.02214876,0.679245283
Nicotinic acid,1.545015767,1.204885122,0.787296898,0.693426573
Nornicotine,0.961561743,0.951569984,0.413645621,0.220930233
Stearyl alcohol,0.703538024,0.810061602,0.91842723,0.806779661
Oleic acid,0.996352836,1.535092005,0.914892065,0.11967943
Ornithine,0.910244741,1.33369654,1.064696595,1.499565754
Oxalic acid,1.261400661,0.781525839,0.864108594,0.68844478
Pyroglutamic acid,1.905773709,0.637633501,1.311477123,0.682163358
P-Cresol,0.944574212,0.889457881,0.914237082,0.881930302
Palmitic acid,0.9549522,1.140796261,0.951110561,0.586062815
Palmitoleic acid,1.04244893,1.896660447,0.948283429,0.182694056
Palmitoleic acid,1.322240991,1.198844978,0.853623279,0.603322949
Pelargonic acid,1.127077263,1.049269053,0.76041089,0.664086166
Phenol,1.432838107,1.606799616,1.724787029,2.390901432
Phenylalanine,1.090663684,0.847094234,1.036972452,1.189688989
Phenylethylamine,0.892512632,0.689568706,0.778487753,0.745867769
Phosphoric acid,1.027369353,1.039375478,1.069537525,0.80306995
Phosphoethanolamine,2.065359477,1.598591549,1.234627832,0.52739726
Pipecolic acid,1.375704767,0.969652472,0.445652174,3.337883959
2-Piperidinone,1.430971129,0.453468697,0.524989135,1.258333333
Proline,0.830932041,0.906199458,1.102081554,1.422839764
Proline,1.136032599,0.986948854,1.231124807,0.877667141
Pseudouridine,1.268522098,1.052471867,1.214147772,0.668629761
Pyrophosphate,3.171380795,1.688125391,3.4183698,0.939201452
Pyrrole-2-carboxylic acid,1.496713121,1.079899497,0.837957497,0.873935264
Pyruvic acid,1.685443252,4.142339912,1.960377528,3.669833729
Quinic acid,1.062785537,0.593233945,0.374675065,0.100294985
Ribose,1.143115942,0.874527589,1.39990689,1.479166667
2-Hydroxybenzaldehyde,1.044642857,0.927468414,1.000325203,0.797653959
Salicylic acid,3.411762132,2.728625473,1.072733918,0.670702179
Serine,1.062078549,0.815860251,0.967614131,0.559820666
Shikimic acid,0.626965292,0.844979448,1.077442498,1.107279693
Stearic acid,0.980220233,1.131641608,0.982924306,0.697643519
Sucrose,1.12313309,1.891410049,1.197089145,1.820512821
Tartaric acid,1.269364969,0.283755997,1.361924686,1.444444444
Taurine,2.522963409,1.92434663,3.14908219,0.834142956
Threitol,1.160253402,0.989863548,1.20423156,0.916666667
D-Threonic acid,0.859555161,0.530875223,0.779021048,0.785046729
Threonine,0.852883748,0.791696113,1.002694399,0.646971643
Retinal,0.798350657,0.766753084,0.906902087,1.210614996
gamma-Tocopherol,0.730670703,0.948117403,0.965707529,0.900274474
trans-4-Hydroxyproline,1.558989709,0.692336575,1.314748978,1.215124472
Tryptophan,0.800362573,0.873818991,0.884894609,0.882720495
Tyrosine,1.006021663,0.744052755,0.914137983,1.262749852
UDP-glucuronic acid,0.703753957,1.800382044,0.893636786,0.069152135
Urea,1.094515332,1.15531699,0.857416378,1.142753973
Uric acid,0.922102114,0.763970325,0.672468585,0.371348032
Uridine,1.02481203,1.083989501,0.923014587,0.967914439
Valine,0.94328638,0.905388485,0.993071879,1.080578101
Xylitol,0.941605839,1.532068654,0.896515312,0.161214165
Xylose,1.176233323,1.05703091,0.882360682,1.210167715
