,Adenocarcinoma_Current_F vs Healthy_Current_F,Adenocarcinoma_Former_F vs Healthy_Former_F,Adenocarcinoma_Current_M vs Healthy_Current_M,Adenocarcinoma_Former_M vs Healthy_Former_M
Lactic acid,1.045123119,0.853988524,1.223157254,1.333046739
Lauric acid,0.817938953,0.92819197,1.232906627,1.06479375
Leucine,0.824181021,0.976329238,1.007801189,0.847023006
Glucosan,1.321628499,0.964712778,1.924236023,0.88157424
Lignoceric acid,1.090396864,1.089022725,1.830386179,0.741414358
Linoleic acid,0.844190476,0.714013505,0.530003762,1.172851413
alpha-Linolenic acid,0.747000923,0.780374287,0.495250896,0.936428856
Lysine,1.121803131,0.90198593,0.88409604,0.923784857
Malic acid,1.045346062,2.688271605,0.943603851,0.947147796
Maleimide,1.141814933,0.941908083,1.091189547,0.837686869
Maltose,2.962703963,1.072238956,0.732261977,1.272145947
Maltotriose,1.200342466,1.111227545,1.324020552,1.441944848
Mannitol,2.845282129,0.482365276,1.165106766,1.23214154
Methanolphosphate,0.870580079,0.745093469,0.874644742,1.16454148
Methionine,0.890861755,1.041801966,1.23420136,0.888908386
Methionine sulfoxide,1.032002535,0.757653945,0.901586589,0.991526043
Methionine sulfoxide,1.030794498,0.784542542,0.89126806,1.108189844
Myo-inositol,1.212981626,1.084116037,0.750219647,1.188138495
Myristic acid,0.797085689,1.024970964,0.830525273,1.045591359
N-Acetyl-D-glucosamine,1.067151544,3.295586839,1.180167276,0.951584107
N-Acetylglutamic acid,1.083505866,0.99065361,1.442806077,1.241859597
N-Acetylglutamic acid,0.912207358,0.858469084,0.73255814,1.134003805
N-Methylalanine,0.939478542,0.973644696,0.849051008,1.067418071
Naproxen,10.75580431,0.241410159,1.699085619,0.085866799
Nicotinic acid,0.571875,1.745194647,1.170418006,1.196000895
Oleic acid,0.830361722,0.680450066,0.555602418,1.466536069
Ornithine,1.205547121,0.960662772,0.731888126,0.860873889
Oxalic acid,0.492719504,2.460013626,1.14849883,1.591648869
Pyroglutamic acid,0.830896617,0.826814555,0.991840194,0.786936185
Palmitic acid,0.890019352,0.817061589,0.802498697,1.120459073
Palmitoleic acid,0.573084233,0.889839047,0.550417643,1.380978131
Palmitoleic acid,1.120273891,1.022070168,1.170229008,1.032318018
Acetaminophen,1.024554646,0.516871873,0.382183908,0.415855514
Pelargonic acid,1.118904621,0.898158745,1.03064718,1.034533614
Phenylacetic acid,0.800136893,0.971907974,1.168115942,0.929837384
Phenylalanine,1.160240964,0.87344012,0.923487616,1.099089619
Phenylethylamine,1.701111445,1.001146929,0.878114478,1.332594583
Pimelic acid,1.547869397,0.791932184,1.206649092,0.482217666
Pipecolic acid,0.69000854,1.001572327,0.294256179,0.462547726
Proline,0.998451599,1.050340052,0.845609716,0.7604931
Pseudouridine,0.999024311,0.829205504,0.918687264,1.1811274
Pyrophosphate,0.838845191,1.553705344,1.656750572,1.374776975
Pyruvic acid,1.329331514,2.737798228,1.882406563,4.136476427
Quinic acid,0.639006591,6.499675891,2.182619366,0.960976586
Rhamnose,1.32938188,0.765720116,0.962620648,1.05394768
Ribose,0.790023202,0.811521341,0.654527559,1.129639591
Glucaric acid,0.843404255,4.100305111,1.240765766,0.988097111
Salicylic acid,0.119609031,1.626503221,35.90247161,0.670811431
Serine,0.850900463,0.916190069,0.95921108,0.715599583
Shikimic acid,0.991451675,1.139942648,0.89160022,0.57078971
Stearic acid,1.05018425,0.850746898,1.013830388,1.157372341
Succinic acid,0.988692434,0.774947125,0.95697556,0.866641974
Sucrose,0.606281958,11.38079561,6.792417417,0.723504079
Fructose,0.632031442,0.544581284,0.90689452,1.167395562
Taurine,1.273000807,0.873375185,0.692177057,0.830355793
Threitol,0.970107613,1.007374794,0.854330709,0.93763946
D-Threonic acid,0.536223079,1.108551844,1.283180026,1.37196427
Threonine,0.864833491,0.84573005,0.954385904,0.873492913
Threose,0.912068966,0.775104971,0.792607004,1.286324786
Retinal,0.822695035,0.65432739,0.917560373,1.215296927
trans-4-Hydroxyproline,1.167178857,0.914264682,0.672875187,1.233939682
Tryptophan,1.01308973,0.928899071,0.935258456,1.025563213
Tyrosine,1.170604962,0.907895003,0.97117356,1.135298255
Urea,1.381003282,1.091375037,0.736920796,0.948308754
Uric acid,1.116437601,0.692200513,0.891485499,0.979055906
Uridine,0.964391691,1.133227092,1.003307607,1.099419448
Valine,0.953418942,0.985329372,1.004782519,0.911595267
Xanthine,1.04109589,1.016035354,0.744501718,1.001668211
Xylitol,0.9455,0.748961484,1.0162206,0.827941739
Xylose,0.772972339,0.835800127,1.066854284,0.949726253
