,Englerin (100 nM)_24hr vs Control_24hr,Englerin (100 nM)_48hr vs Control_48hr
5-Hydroxyindoleacetic acid,NA,NA
5'-Methylthioadenosine,NA,NA
"5,6-DiHETrE",1.017433414,0.790734824
"5,6-trans-25-Hydroxyvitamin D3",0.534360834,0.87585266
Dihydrocholesterol,NA,NA
6-Phosphogluconic acid,0.668421053,0.937606353
7-Dehydrocholesterol,0.452495379,0.732932824
7-Oxo-cholesterol,0.429157615,0.958479021
7-Methylguanosine,0.920079636,0.605460061
7alpha-Hydroxy-cholesterol,0.595939751,0.571484837
8-HETE,NA,NA
8-Hydroxy-deoxyguanosine,NA,NA
8-Hydroxyguanosine,0.631710914,0.997771301
"8,9-DiHETrE",NA,NA
CAR 10:1(9),0.776525822,0.755480116
9-HETE,0.676672384,0.366347777
CAR 16:1,1.859676578,0.131410256
Acetic acid,0.581244836,0.659351692
Acetylcholine,0.605338809,1.008928571
Adenine,NA,NA
Adenosine,3.316630876,0.434188482
ADP,NA,NA
AMP,0.411958569,1.065343348
ATP,NA,NA
Adenylsuccinic acid,0.66909621,1.004797048
Adipic acid,1.177242888,0.907591378
CAR(DC5:0),0.60483871,0.898030942
Agmatine,NA,NA
AICAR,4.110275689,0.277268643
Alanine,0.928256765,0.764822134
Allantoic acid,0.435228104,0.655913978
Allantoin,NA,0.850923483
Ketoleucine,0.674049465,1.263344051
Ketoisovaleric acid,0.85959534,0.656788146
alpha-Tocopherol,0.529038113,0.887920299
Aminoadipic acid,0.614251208,0.806504734
Dextroamphetamine,0.78051088,0.490483163
Arachidonoyl-EA,NA,NA
Anserine,NA,NA
Arachidonic acid,2.168327796,0.770189702
CAR 20:4,0.665730337,0.977039275
Arginine,0.663032008,0.785555556
Azelaic acid,0.939634146,0.71486387
beta-Carotene,0.588175846,0.624141574
Behenic acid,0.683783784,0.606152295
Benzoic acid,0.979334677,0.76454557
beta-Alanine,0.71897495,1.126519337
Betaine,0.643652561,0.774742817
Betaine aldehyde,NA,NA
Bilirubin,NA,NA
Biotin,0.74829144,1.170603338
BMP 16:0/16:0,NA,NA
BMP 18:1/16:0,NA,NA
BMP 18:1/16:1,NA,NA
BMP 18:1/18:0,NA,NA
BMP 18:1/18:1,NA,NA
BMP 18:1/18:2,NA,NA
BMP 18:1/20:4,NA,NA
BMP 18:1/22:5,NA,NA
BMP 18:1/22:6,NA,NA
BMP 20:4/22:6,NA,NA
BMP 22:5/22:6,NA,NA
BMP 22:6/22:6,NA,NA
CAR(4:0),0.64235478,0.869268662
Carbamoylphosphate,1.081687312,0.234210526
Carnosine,0.737837086,0.843624929
Cer 18:1;O2/12:0,NA,NA
Cer 18:1;O2/16:0;O,0.518040718,0.785232933
Cer 18:1;O2/16:0,1.553797468,0.705882353
Cer 18:1;O2/16:1;O,1.698315467,0.800766284
Cer 18:1;O2/16:1,0.422011085,0.546637744
Cer 18:1;O2/16:2;O,NA,NA
Cer 18:1;O2/16:2,NA,NA
Cer 18:1;O2/18:0;O,0.340425532,0.764250178
Cer 18:1;O2/18:0,5.433591536,1.69595596
Cer 18:1;O2/18:1;O,NA,NA
Cer 18:1;O2/18:1,0.449541284,0.548837209
Cer 18:1;O2/18:2;O,NA,NA
Cer 18:1;O2/18:2,NA,NA
Cer 18:1;O2/20:0;O,NA,NA
Cer 18:1;O2/20:0,NA,NA
Cer 18:1;O2/20:1;O,NA,NA
Cer 18:1;O2/20:1,NA,NA
Cer 18:1;O2/20:2;O,NA,NA
Cer 18:1;O2/20:2,NA,NA
Cer 18:1;O2/22:0;O,NA,NA
Cer 18:1;O2/22:0,NA,1.09475
Cer 18:1;O2/22:1,NA,NA
Cer 18:1;O2/22:2;O,NA,NA
Cer 18:1;O2/22:2,NA,NA
Cer 18:1;O2/22:2;O,NA,NA
Cer 18:1;O2/24:0;O,10.89460154,0.783911672
Cer 18:1;O2/24:0,NA,NA
Cer 18:1;O2/24:1,9.551148225,0.644400786
Cer 18:1;O2/24:2;O,NA,NA
Cer 18:1;O2/24:2,NA,NA
Cer 18:1;O2/25:0,18.16690962,1.422663802
Cer 18:1;O2/26:0;O,NA,NA
Cer 18:1;O2/26:0,NA,NA
Cer 18:1;O2/26:1;O,NA,NA
Cer 18:1;O2/26:1,NA,NA
Cer 18:1;O2/26:2;O,NA,NA
Cer 18:1;O2/26:2,NA,NA
Glycochenodeoxycholic acid,0.675091193,0.846422808
Cholesterol,4.070321812,1.996253902
Cholesterol sulfate,0.438049853,0.644351464
Cholic acid,0.738378378,0.9333639
Choline,0.654126214,0.78
cis-Aconitic acid,0.905091559,1.151354924
Citraconic acid,0.830468287,1.086705202
Citramalic acid,0.7930131,0.915223336
Citric acid,0.817001947,1.1328
Citrulline,0.649093904,0.75255658
CL 14:1/14:1/14:1/15:1,NA,NA
CL 15:0/15:0/15:0/16:1,NA,NA
CL 18:2/18:1/18:1/20:4,0.299667616,0.839910277
CL 18:2/18:2/16:1/16:1,NA,NA
CL 18:2/18:2/18:1/18:1,0.591587112,0.738515901
CL 18:2/18:2/18:2/16:1,NA,NA
CL 18:2/18:2/18:2/18:1,NA,NA
CL 18:2/18:2/18:2/18:2,NA,NA
CL 18:2/18:2/18:2/20:4,0.446471418,1.029809036
CL 18:2/18:2/18:2/22:6,0.546851907,0.451943463
CL 22:1/22:1/22:1/14:1,NA,NA
CL 24:1/24:1/24:1/14:1,NA,NA
Vitamin B12,0.527969019,0.661757938
Coenzyme A,NA,NA
Coenzyme Q10,NA,NA
Coenzyme Q9,NA,NA
Coenzyme Q9,NA,NA
Coenzyme Q9,NA,NA
Corticosterone,0.77987239,0.521912351
Cortisone,0.777323521,0.948215184
Creatinine,0.723304231,0.740501792
Cyanocobalamin,0.70661157,0.79895227
"3',5' cyclic AMP",0.726006192,1
Cysteamine,NA,NA
Cysteine,0.874358974,0.679245283
Cysteine-glutathione disulfide,NA,NA
Cytidine,6.089385475,0.167563739
CDP,1.21319797,1.100965251
CDP-Ethanolamine,NA,NA
CMP,1.187713311,0.725765306
CTP,1.037935323,0.397890142
Cytosine,0.447687564,0.931658291
Glyceraldehyde 3-phosphate,0.846649485,0.829106946
CAR(10:0),0.694026448,0.35040972
Dehydroascorbic acid,0.874324324,0.803546242
Dehydroepiandrosterone,NA,NA
Dehydroepiandrosterone sulfate,0.872949256,0.559535525
Deoxyadenosine,NA,NA
dADP,0.712820513,0.99909991
dAMP,0.557916667,1.393254877
dATP,NA,NA
Deoxycholic acid,NA,NA
dCMP,0.410720268,0.817853457
dCTP,NA,NA
dGDP,0.915157293,1.556073211
dGTP,NA,NA
Deoxyinosine,NA,NA
dIMP,0.788640596,1.031806616
dTDP,0.949267193,1.131982812
dUMP,NA,NA
Desmosterol,0.55210356,0.82237648
Hex2Cer 18:1;O2/16:0,0.729613072,0.502176871
Hex2Cer 18:1;O2/22:0,NA,NA
Hex2Cer 18:1;O2/24:0,NA,NA
Hex2Cer 18:1;O2/24:1,NA,NA
Dihydroxyacetone phosphate,0.687040748,2.266768293
Dimethylarginine,0.564575646,0.82795389
Dimethylglycine,0.622964169,0.798053279
2-Aminooctanoic acid,0.50871731,1.16570771
Docosahexaenoic acid,0.868978805,0.429586563
CAR 12:0,0.76176219,0.347574421
CAR 12:1,0.777490298,0.539126306
Dopamine,1.060620083,0.42253949
Eicosapentaenoic acid,NA,NA
Epicatechin,NA,NA
Epinephrine,NA,NA
Ergosterol,1.160066007,0.736268657
Erythrose 4-phosphate,0.978047475,0.934708554
beta-Estradiol,NA,NA
Estriol,NA,NA
Estrone,NA,NA
Ethanolamine,NA,NA
Farnesyl diphosphate,0.859955146,1.022186642
FMN,NA,NA
Folic acid,0.702456418,1
"Fructose 1,6-bisphosphate",0.780528846,1.177322835
Fumaric acid,0.629310345,1.606834088
gamma-Aminobutyric acid,0.770588235,0.479862896
Gamma-Glutamylalanine,NA,NA
gamma-Glutamylcysteine,NA,NA
gamma-Glutamylisoleucine,0.795113438,0.350552357
gamma-Glutamylvaline,NA,NA
HexCer 18:1;O2/16:0,5.787155963,0.142970691
HexCer 18:1;O2/20:0,38.84201338,0.296378803
HexCer 18:1;O2/22:0,136.1490031,0.473342195
HexCer 18:1;O2/24:0,NA,NA
HexCer 18:1;O2/24:1,43.74559301,0.313046757
Geranyl pyrophosphate,1.173403853,0.696347577
Glucaric acid,NA,NA
Gluconic acid,0.806576402,1.090521327
Gluconolactone,0.743658931,0.498760029
Glucosamine,NA,NA
Glucosamine 6-phosphate,0.578121497,1.829457364
Glutaconic acid,NA,NA
Glutathione,0.541719343,3.874107722
Glyceraldehyde,0.669811321,0.606172271
Glyceric acid,0.80183727,0.3999002
Glyceric acid,NA,NA
Glycerol,0.640324215,0.882159873
sn-Glycero-3-phosphate,1.075813953,0.745999319
sn-Glycero-3-phosphocholine,1.302403577,0.390458716
Glycine,0.930204573,0.471658206
Glycocholic acid,0.736263736,0.588993981
Guanosine,NA,NA
GDP,0.754607177,1.100879462
GMP,1.226349137,1.530782287
GTP,0.754213914,0.944902913
Cerotic acid,NA,NA
CAR(6:0),NA,NA
Cerotic acid,0.984695201,0.925747348
Cerotic acid,0.681402439,0.629716729
Hippuric acid,0.770098731,0.528780069
Histamine,0.533185394,0.86795854
Homocysteine,NA,NA
Homogentisic acid,NA,NA
Homovanillic acid,NA,NA
Homocysteine,0.414783821,0.454318937
2-Hydroxyisocaproic acid,NA,NA
Hydroxykynurenine,NA,NA
Hydroxyproline,0.6064,0.777029703
Hypoxanthine,1.296482412,0.321994536
Imidazoleacetic acid,NA,NA
Indole,0.788494078,0.52755197
Indole-3-carboxylic acid,NA,NA
Indoleacrylic acid,NA,NA
Inosine,1.773925104,0.633258427
IDP,0.793267245,0.990176322
ITP,1.245933637,1.088542825
ITP,0.824938068,0.747536012
Isocitric acid,0.735227273,1.114347691
CAR(4:0(3Me)),0.648556876,0.868588957
Kynurenic acid,1.079650846,0.579175705
CAR(2:0),0.540962289,1.363239573
Vitamin C,0.963231737,0.519585516
Asparagine,0.627096205,0.588405797
Aspartic acid,0.910267472,0.700058411
Carnitine,0.451453918,1.128672746
Cystathionine,0.590739755,1.111365495
Cystine,0.962343096,0.201375516
Glutamic acid,0.823834197,0.74113806
Glutamine,0.740077821,0.671071953
CAR DC5:0,NA,NA
Histidine,0.530144051,0.564420637
L-Histidinol,NA,NA
Homocysteic acid,NA,NA
Homoserine,NA,NA
Isoleucine,0.788617886,0.712890625
Kynurenine,1.02661101,0.720350404
Lactic acid,0.642682927,0.804394047
Lysine,0.733282091,0.653958944
Methionine,0.752454119,0.684075342
CAR(16:0),1.843344156,0.146170573
Phenylalanine,0.787943262,0.617144699
Proline,0.762948635,0.845077461
Serine,0.745143745,0.429555237
Threonine,0.772058824,0.641309581
Tryptophan,0.799239222,0.607114934
Tyrosine,0.774567901,0.509387908
Valine,0.756015038,0.626444834
Lanosterol,0.319057816,0.703567036
Lathosterol,0.624161074,0.394767442
Lignoceric acid,NA,NA
Linoleic acid,NA,NA
CAR 18:2,1.979105066,0.136991063
Lipoic acid,NA,NA
LPC 16:0,0.411081323,1.539267016
LPC 18:0,1.0806168,1.129839291
Maleic acid,0.638833545,1.552384267
Malic acid,0.683646113,1.780337079
Malondialdehyde,NA,NA
CAR(DC3:0),0.502708559,1.407368198
Melatonin,NA,NA
L-Metanephrine,0.964864123,0.74320442
Methionine sulfoxide,0.656142647,0.516248154
Methionine sulfoxide,NA,NA
Methylcysteine,0.72142171,0.614583333
Methylmalonic acid,0.794223827,0.941512126
Mevalonic acid,0.871109608,0.86006192
Myo-inositol,0.569616604,0.95131684
CAR(14:0),1.28267183,0.220183486
N-Acetyl-D-glucosamine 1-phosphate,NA,NA
N-Acetylaspartic acid,0.881903907,0.646337308
N-Acetyl-Asp-Glu,0.519540737,1.54940214
N-Acetylornithine,NA,NA
N-Acetylputrescine,NA,NA
N-Acetylserine,0.422464455,1.360376865
NAD+,0.598771267,2.032888147
NADH,1.418221734,1.0776218
Niacinamide,0.659772252,0.618038741
Nicotinamide N-oxide,NA,NA
Nicotinic acid,0.89764746,0.761681023
Xi-Norepinephrine,0.615884861,0.728765168
Normetanephrine,NA,NA
O-Acetylserine,NA,NA
Phosphoethanolamine,0.755274262,NA
O-Phosphotyrosine,0.742468416,0.915376677
CAR DC4:0,0.483163265,1.220365132
CAR 18:0,2.870440252,0.06567325
CAR(8:0),0.727331397,0.413387716
Nicotinic acid,0.761431871,1.118342152
Oleic acid,NA,NA
CAR(18:1),3.134228188,0.085785595
Ornithine,0.671732523,0.789388852
Orotic acid,NA,NA
Orotidylic acid,0.446092184,0.562398042
Oxalic acid,NA,NA
Oxaloacetic acid,0.969785317,0.687564234
Oxidized glutathione,0.671469741,0.856260297
Oxoglutaric acid,0.536630037,1.477874751
P-Aminobenzoic acid,NA,NA
P-Cresol,NA,NA
p-Hydroxyphenylacetic acid,0.620176849,0.945957725
Pantothenic acid,0.652554234,1.659398034
PC 16:0/16:0,0.400679348,0.867291667
PC 16:0_18:1,0.251353442,0.703529711
PC 16:0/18:2,0.332337884,0.64198699
PC 16:0/20:4,0.30297275,0.3875
PC 16:0/22:6,0.336260409,0.515129151
PC 18:0/18:2,NA,NA
PC 18:0_20:3,NA,NA
PC 18:1/18:1,0.338034188,0.652923264
PC 18:3_22:4,0.384393064,0.537286064
PC P-16:0/20:4 or PC O-16:1/20:4,0.455973813,0.161525424
PC P-16:0/20:5 or PC O-16:1/20:5,0.370259906,0.297940199
PC 22:0,NA,NA
PC 22:1,0.720911741,1.089692369
PC P-18:0/22:6 or PC O-18:1/22:6,0.428109453,0.722790698
PC 24:0,NA,NA
PC P-18:0/24:0 or PC O-18:1/24:0,0.292578958,0.720011965
PC 24:1,NA,NA
PC 26:0,0.369645575,1.389138706
PC 26:1,0.333827893,0.691534285
PC 28:0,0.279684862,1.186914601
PC 28:1,0.198356713,0.840300871
PC 28:2,0.330777656,0.996848739
PC 30:0,0.230924548,0.985929161
PC 30:1,0.3846,0.78086225
PC 30:2,0.244059917,1.121126761
PC 32:1,0.324038868,0.720012727
PC 32:2,0.453892997,0.655274013
PC 34:1,0.26700237,0.670780399
PC 34:2,NA,NA
PC 36:0,0.354798296,0.54118896
PC 36:1,0.295857988,0.655202064
PC 38:5,0.345976096,0.443222203
PC 40:6,0.304581246,0.688660802
PE 18:0/18:0,NA,NA
PE 28:0,NA,NA
PE 28:1,NA,NA
PE 30:0,NA,NA
PE 30:1,NA,NA
PE 30:2,NA,NA
PE 32:1,NA,NA
PE 32:2,NA,NA
PE 34:1,0.389109268,0.577722361
PE 34:2,0.233847472,0.791064145
PE 36:1,NA,NA
PE 36:2,0.315686275,0.725590663
PE 36:3,NA,NA
PE 38:4,NA,NA
PE 38:5,NA,NA
PG 16:0/16:0,NA,NA
PG 18:0/18:0,NA,NA
PG 32:1,0.665,NA
PG 32:2,NA,NA
PG 34:1,0.184880952,1.360115911
PG 34:2,0.463943355,0.397278651
PG 36:1,NA,NA
PG 36:2,NA,NA
PG 36:3,NA,NA
PG 38:4,NA,NA
PG 40:8,0.249580008,0.644072995
PG 44:12,0.164025737,1.239302326
Phenyllactic acid,0.794356261,0.639419908
Phenylpropiolic acid,0.792951542,0.778446389
Phenylpyruvic acid,NA,NA
Phosphoenolpyruvic acid,1.684210526,0.951825952
Choline phosphate,0.602170659,1.258874932
PI 16:0/16:0,NA,NA
PI 26:0,NA,NA
PI 26:1,NA,NA
PI 28:0,NA,NA
PI 28:1,NA,NA
PI 30:0,NA,NA
PI 30:1,NA,NA
PI 30:2,0.451523546,0.883615353
PI 32:1,NA,NA
PI 32:2,NA,NA
PI 34:0,NA,NA
PI 34:1,NA,NA
PI 34:2,0.418300654,0.842025862
PI 36:0,NA,NA
PI 36:1,0.364351245,NA
PI 36:2,0.350163399,0.751029804
PI 36:4,NA,NA
PI 38:3,NA,0.44315197
PI 38:4,0.352238806,0.342083897
PI 38:5,NA,0.326355685
PI 40:5,NA,NA
CAR DC7:0,NA,NA
Pipecolic acid,0.751744766,0.687842779
Pipecolic acid,NA,NA
Pipecolic acid,NA,NA
Pipecolic acid,NA,NA
Pipecolic acid,NA,NA
CAR(3:0),0.624382208,0.969151671
PGD2,NA,NA
PGE2,NA,NA
PGJ2,NA,NA
PS 18:0_18:1,NA,NA
PS 18:0_20:4,0.459302326,0.13986637
PS 32:0,NA,NA
PS 32:1,NA,NA
PS 32:2,NA,NA
PS 34:1,NA,NA
PS 34:2,NA,NA
PS 36:0,NA,NA
PS 36:2,NA,NA
Purine,0.794167514,0.562442467
Pyridoxal,NA,NA
Pyridoxine,NA,0.858241758
Pyroglutamic acid,0.790951638,0.691941392
Pyrophosphate,0.68644384,1.253551913
Quinolinic acid,0.896991701,0.785165794
Resolvin D1,NA,NA
Retinal,0.725837718,0.55728028
Retinol,0.840545347,0.552009456
Riboflavin,0.712542704,0.810444874
S-Adenosylhomocysteine,1.582551077,1.55086072
S-Adenosylmethionine,NA,NA
Saccharopine,NA,NA
Salicyluric acid,0.714120816,0.99956265
Sarcosine,0.929338609,0.777677768
"Sedoheptulose 1,7-bisphosphate",NA,NA
Sedoheptulose 7-phosphate,0.735928705,0.998533007
Serotonin,0.67874231,0.769408148
Sedoheptulose 7-phosphate,0.782808903,0.975506652
Shikimic acid,NA,NA
SM 18:1;O2/12:0,0.319001387,0.713023434
SM 18:1;O2/16:0;O,0.162663061,0.694987862
SM 18:1;O2/16:0,0.206617647,0.683144246
SM 18:1;O2/16:1;O,0.200720535,0.5736
SM 18:1;O2/16:1,0.256219709,0.8561328
SM 18:1;O2/16:2;O,0.241102757,0.755701754
SM 18:1;O2/16:2,0.319164802,0.728953771
SM 18:1;O2/18:0;O,0.297598399,0.777439024
SM 18:1;O2/18:0,NA,NA
SM 18:1;O2/18:1;O,0.202486107,0.399015471
SM 18:1;O2/18:1,0.22289916,0.586364285
SM 18:1;O2/18:2;O,0.214804965,0.616753585
SM 18:1;O2/18:2,0.305335157,1.09292196
SM 18:1;O2/20:0;O,NA,NA
SM 18:1;O2/20:0,0.306708595,0.9390642
SM 18:1;O2/20:1;O,NA,NA
SM 18:1;O2/20:1,0.28,0.918076581
SM 18:1;O2/20:2;O,NA,NA
SM 18:1;O2/20:2,0.240859783,1.089536517
SM 18:1;O2/22:0;O,0.257528787,0.538691365
SM 18:1;O2/22:0,NA,NA
SM 18:1;O2/22:1,0.278245883,0.64714747
SM 18:1;O2/22:2;O,0.328530259,0.789384289
SM 18:1;O2/22:2,0.396661367,0.733273056
SM 18:1;O2/22:1;O,0.43,0.627164995
SM 18:1;O2/24:0;O,NA,NA
SM 18:1;O2/24:0,0.451324133,0.599831152
SM 18:1;O2/24:1),0.267790262,0.641079399
SM 18:1;O2/24:2;O,NA,NA
SM 18:1;O2/24:2,0.374656908,0.693247963
SM 18:1;O2/24:2;O,0.493328994,0.408149482
SM 18:1;O2/26:0;O,NA,NA
SM 18:1;O2/26:0,0.346824225,0.550971291
SM 18:1;O2/26:1;O,NA,NA
SM 18:1;O2/26:1,0.551970594,0.474251497
SM 18:1;O2/26:2 OH,0.444577007,0.657473928
SM 18:1;O2/26:2,0.595897436,0.480329218
CAR DC8:0,NA,NA
Succinic acid,0.754479098,0.990818859
Sucrose,NA,NA
Taurine,0.589454209,0.884480161
Taurochenodeoxycholic acid,NA,NA
Taurocholic acid,0.313964986,0.718230057
Taurodeoxycholic acid,0.605346744,0.891826923
Testosterone,NA,NA
CAR 14:0,1.279475983,0.230293501
CAR 14:0,NA,NA
Tetranor-PGEM,NA,NA
Tetranor-PGFM,NA,NA
Hex3Cer 18:1;O2/16:0,0.719917012,0.809883322
Hex3Cer 18:1;O2/18:0,1.473632702,1.16209218
Hex3Cer 18:1;O2/24:1,NA,NA
Thiamine,NA,NA
Thiamine monophosphate,NA,NA
Thiamine diphosphate,NA,NA
TXB2,NA,NA
Thymidine,1.875511876,0.421098518
TMP,NA,NA
Thymine,NA,NA
CAR(4:1(2Me)),NA,NA
Tiglylglycine,NA,NA
Trimethylamine N-oxide,0.701754386,0.843911613
Tyramine,0.804293972,0.762141968
Uracil,0.743700504,0.595359062
Urea,0.805194805,0.795484728
Ureidopropionic acid,0.56439208,1.197251025
N-Carbamoylaspartic acid,NA,NA
Uric acid,0.66993865,0.851239669
Uridine,0.666752644,0.809838032
UDP,0.89929078,1.25988024
UMP,0.931575643,1.100296234
UDP-N-acetylglucosamine,NA,NA
UDP-glucose,0.98582996,0.738600341
UTP,1.495745888,1.050955414
Vitamin D3,0.739157373,0.691883768
Vitamin K2,0.601861427,0.679948914
Xanthine,1.290930506,0.488822496
Xanthosine,0.840707965,NA
Xanthurenic acid,NA,NA
Zymosterol,0.750677507,0.554315359
